Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0765418,0.08673408,0.19045525,0.26387945,0.19429234,0.25852352,0.47403973,0.40984852,0.19876894,25019.0,0.10367997,1.9059883,2.2470954,0.08213345
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,2.0419748,0.11150945,0.21532601,0.34774815,0.20330122,0.22100232,0.42012099,0.35088505,0.17208156,13389.0,0.12585397,1.834945,2.2490045,0.10138704
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,2.1163371,0.05821152,0.16182287,0.16732588,0.18392089,0.30171969,0.5361135,0.47773001,0.22949269,11630.0,0.15584042,1.8599796,2.3726946,0.12113264
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7103229,0.16319917,0.50893746,0.40979338,0.40251602,0.42664915,0.42058999,0.27903181,0.09960588,125595.0,0.0750441,2.5868753,2.8337704,0.04554717
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,270000,2.6873409,0.17258514,0.509514,0.4599897,0.39801236,0.39886074,0.38405951,0.25940795,0.10491153,66008.0,0.07812221,2.5588299,2.815852,0.04782089
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,270000,2.7357813,0.15280179,0.50829879,0.35418799,0.40750499,0.45743199,0.46105694,0.3007703,0.0937285,59587.0,0.11585078,2.5452068,2.9263558,0.06966
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.5222335,0.25768795,1.0440079,0.44521726,0.66233589,0.56614372,0.34355463,0.15526336,0.04802282,102368.0,0.08687917,3.3793173,3.6651497,0.04057546
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,3.5688182,0.26316463,1.0800761,0.52212244,0.65899073,0.5599839,0.31117736,0.1283266,0.0449765,54673.0,0.11044365,3.3871384,3.7504981,0.05090756
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,3.4688332,0.25141,1.0026628,0.35706049,0.66617046,0.57320474,0.38066883,0.1861411,0.05151483,47695.0,0.13077607,3.2537066,3.6839598,0.062017
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7557414,0.03381203,0.09361934,0.33260619,0.13955038,0.13718718,0.25928619,0.41180391,0.34787614,16503.0,0.13983649,1.5257104,1.9857724,0.13101646
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,180000,1.8450355,0.05070922,0.14669031,0.43676123,0.18132388,0.15106383,0.243026,0.29609929,0.3393617,8460.0,0.22819328,1.4696575,2.2204134,0.20345297
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,180000,1.6618177,0.01603879,0.03779684,0.2230511,0.09561109,0.12259107,0.27638941,0.5335074,0.35683203,8043.0,0.18381078,1.359449,1.9641865,0.1819506
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.2902066,0.1081162,0.30106319,0.45679844,0.28751123,0.20709793,0.34186882,0.36193471,0.22581611,13356.0,0.21458434,1.9372154,2.6431979,0.15413073
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,2.4262248,0.1445245,0.4056196,0.60504323,0.39092219,0.15360231,0.30878963,0.26527378,0.15244957,6940.0,0.28982514,1.9494624,2.9029871,0.19650379
