Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1412961,0.06965897,0.03018429,0.04145284
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 77000,0.16954603,0.08691048,0.0331405,0.04949505
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,77000 to 127000,0.15331249,0.07357593,0.03663071,0.04310584
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 127000,0.10199323,0.04913501,0.02079729,0.03206093
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.33399642,0.14470087,0.08339072,0.10590484
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 111000,0.35989399,0.15739928,0.08967671,0.112818
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,111000 to 185000,0.38739098,0.1701075,0.09850893,0.11877456
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 185000,0.25736933,0.10788764,0.06267501,0.08680668
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.566364,0.22714317,0.14348587,0.19573496
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 189000,0.63671572,0.26618693,0.16128719,0.20924159
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,189000 to 318000,0.5354693,0.21378007,0.13207015,0.18961908
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 318000,0.52877067,0.20246877,0.13759852,0.18870338
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1733609,0.09236562,0.02909037,0.0519049
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 100000,0.17898273,0.08661228,0.03670825,0.05566219
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,100000 to 144000,0.24123932,0.12777778,0.04017094,0.0732906
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 144000,0.10072402,0.06218058,0.0112862,0.02725724
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.25254434,0.10344577,0.07066008,0.0784385
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 129000,0.26537,0.09747373,0.09389671,0.07399955
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,129000 to 183000,0.29692241,0.12267013,0.07022107,0.10403121
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 183000,0.1964018,0.0901692,0.04883273,0.05739987
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0850204,0.05550493,0.01255893,0.01695654
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 41000,0.07868418,0.03253404,0.0,0.04615014
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,41000 to 68000,0.08675193,0.0738417,0.01170367,0.00120656
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 68000,0.08943841,0.05997227,0.02542177,0.00404437
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.2697424,0.15082084,0.05356587,0.0653557
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 67000,0.23454114,0.13173044,0.04341348,0.05939722
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,67000 to 95000,0.30717368,0.18628641,0.05157767,0.0693096
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 95000,0.26743505,0.13492219,0.06524712,0.06726574
"2-4 Units (Own/Rent), 3 BR",All Values,,0.73585844,0.32440307,0.14738488,0.26407049
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 66000,1.1283399,0.57709155,0.21638195,0.3348664
"2-4 Units (Own/Rent), 3 BR",Second Tercile,66000 to 105000,0.70505438,0.24653444,0.1392621,0.31925784
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 105000,0.39381358,0.16068092,0.08988997,0.14324268
"5-49 Units (Own), 0-1 BR",All Values,,0.21812749,0.07868526,0.11653386,0.02290837
"5-49 Units (Own), 0-1 BR",First Tercile,Below 77000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,77000 to 167000,0.50171821,0.27147766,0.23024055,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 167000,0.18024691,0.0,0.12345679,0.05679012
"5-49 Units (Own), 2 BR",All Values,,0.0745098,0.05294118,0.01568627,0.00588235
"5-49 Units (Own), 2 BR",First Tercile,Below 108000,0.25806452,0.19354839,0.05734767,0.00716846
"5-49 Units (Own), 2 BR",Second Tercile,108000 to 200000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",Third Tercile ,Above 200000,0.01023018,0.0,0.0,0.01023018
"5-49 Units (Own), 3 BR",All Values,,0.16165865,0.16165865,0.0,0.0
"5-49 Units (Own), 3 BR",First Tercile,Below 157000,0.0,0.0,0.0,0.0
