Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13950741,0.06415377,0.03185638,0.04349725,240360.0,0.00690232,0.1281531,0.15086172,0.08138858
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.24532907,0.11872204,0.0548754,0.07173163,78250.0,0.01529333,0.22017155,0.27048659,0.10254602
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,159000 to 276000,0.11399311,0.04807298,0.0263606,0.03955954,80461.0,0.01026511,0.09710701,0.13087922,0.14813269
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 276000,0.06323409,0.02770395,0.01521145,0.02031868,81649.0,0.00870499,0.04891437,0.0775538,0.22645562
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36896621,0.16147245,0.09068282,0.11681094,845717.0,0.0059747,0.35913784,0.37879459,0.02663761
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 194000,0.52286304,0.23444561,0.12893608,0.15948135,277719.0,0.01390694,0.49998613,0.54573995,0.04375316
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,194000 to 313000,0.35550743,0.15327107,0.08679916,0.1154372,277952.0,0.00987396,0.33926476,0.37175009,0.04568868
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 313000,0.23450763,0.09946009,0.05777704,0.0772705,290046.0,0.00771428,0.22181764,0.24719762,0.05411335
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.69398881,0.27993907,0.17741991,0.23662982,605321.0,0.00864251,0.67977188,0.70820574,0.02048581
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 265000,0.81410777,0.34090127,0.20507708,0.26812941,200627.0,0.02256611,0.77698652,0.85122903,0.04559747
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,265000 to 424000,0.66657834,0.26101889,0.17390694,0.23165251,192465.0,0.01794028,0.63706657,0.69609011,0.04427352
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 424000,0.60529428,0.23946774,0.15446051,0.21136602,212229.0,0.01385682,0.58249981,0.62808875,0.03765849
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11679376,0.05992747,0.02566153,0.03120475,72521.0,0.00989809,0.1005114,0.13307611,0.13941121
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 139000,0.19586461,0.0876987,0.04747725,0.06068867,23843.0,0.0229755,0.15806992,0.2336593,0.19296334
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,139000 to 221000,0.12602601,0.08570106,0.01793156,0.0223934,23757.0,0.01739196,0.09741624,0.15463579,0.22701481
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.0323422,0.00878777,0.01215842,0.01139601,24921.0,0.00737301,0.0202136,0.0444708,0.37500857
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.30615866,0.13404145,0.07023683,0.10188038,40577.0,0.02280851,0.26863866,0.34367867,0.12255085
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 164000,0.46301349,0.20486585,0.11035319,0.14779445,13194.0,0.05304483,0.37575474,0.55027224,0.18845833
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,164000 to 267000,0.33847689,0.13672655,0.07914939,0.12260095,13026.0,0.04496844,0.26450381,0.41244998,0.21854693
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 267000,0.13268789,0.06651807,0.02528383,0.04088598,14357.0,0.02536227,0.09096696,0.17440882,0.31442908
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.10898433,0.06552823,0.02469734,0.01875876,39235.0,0.01659406,0.0816871,0.13628155,0.25046926
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 81000,0.13046863,0.07177331,0.02670092,0.0319944,12846.0,0.03505668,0.07280039,0.18813686,0.44200844
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,81000 to 115000,0.10192439,0.08161558,0.01361527,0.00669354,13147.0,0.02764974,0.05644056,0.14740822,0.44625068
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 115000,0.09515179,0.04349796,0.03375623,0.0178976,13242.0,0.0246073,0.05467277,0.13563081,0.42541518
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.37027039,0.19002627,0.08237907,0.09786505,68901.0,0.02121569,0.33537058,0.40517019,0.09425492
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 100000,0.42069946,0.20610585,0.09980891,0.1147847,22503.0,0.04129385,0.35277108,0.48862785,0.16146535
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,100000 to 136000,0.46314608,0.26067619,0.09849303,0.10397686,23159.0,0.03975871,0.39774301,0.52854915,0.14121478
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 136000,0.22888248,0.10404923,0.04944275,0.07539051,23239.0,0.02765425,0.18339124,0.27437372,0.1987537
"2-4 Units (Own/Rent), 3 BR",All Values,,0.69826168,0.30810501,0.15859504,0.23156163,13979.0,0.06412783,0.59277139,0.80375196,0.15107558
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 120000,0.91782026,0.42562074,0.21621622,0.2759833,4551.0,0.12883757,0.70588245,1.1297581,0.23091429
"2-4 Units (Own/Rent), 3 BR",Second Tercile,120000 to 182000,0.82165461,0.34832731,0.18738698,0.28594033,4424.0,0.13181874,0.60481279,1.0384964,0.26390873
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 182000,0.38948841,0.16566747,0.08073541,0.14308553,5004.0,0.06971827,0.27480186,0.50417496,0.29445433
