Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1816931,0.09117324,0.04340741,0.04711245
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 70000,0.18500047,0.09480659,0.04940526,0.04078861
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,70000 to 118000,0.22265113,0.11472955,0.05125866,0.05666292
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 118000,0.1393114,0.06514191,0.03015165,0.04401783
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.3815522,0.16903578,0.09158402,0.1209324
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 100000,0.41049356,0.18108931,0.10099237,0.12841188
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,100000 to 171000,0.44622442,0.20541775,0.10072475,0.14008192
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 171000,0.29274885,0.12301638,0.0740795,0.09565297
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.71174564,0.2852394,0.17950049,0.24700575
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 156000,0.78337129,0.30905197,0.1882287,0.28609062
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,156000 to 293000,0.72816195,0.2864166,0.19408012,0.24766522
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 293000,0.63014778,0.26207581,0.15790717,0.21016479
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.23653155,0.12580811,0.04802463,0.06269882
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 87000,0.34604564,0.17317912,0.06533292,0.1075336
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,87000 to 114000,0.26113484,0.13514338,0.0585723,0.06741916
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 114000,0.10465116,0.07007344,0.02050184,0.01407589
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.55456336,0.28233749,0.10952068,0.16270519
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 107000,0.5759903,0.31689572,0.10590137,0.15319321
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,107000 to 142000,0.84412955,0.43238866,0.17287449,0.2388664
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 142000,0.26694122,0.1115687,0.05428678,0.10108574
