Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18956044,0.07448801,0.04551698,0.06955544,16016.0,0.02539216,0.14779034,0.23133054,0.2203524
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,130000,0.20133901,0.08557517,0.05003043,0.06573341,8215.0,0.03598086,0.1421505,0.26052753,0.29397439
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,130000,0.17715677,0.06281246,0.040764,0.07358031,7801.0,0.0407389,0.11014129,0.24417226,0.37828351
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.44372756,0.20290833,0.09964996,0.14116927,111129.0,0.01611106,0.41722487,0.47023025,0.05972739
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,170000,0.50155851,0.23379414,0.10585542,0.16190895,56785.0,0.02717013,0.45686364,0.54625338,0.08911197
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,170000,0.38329898,0.17063521,0.09316576,0.11949801,54344.0,0.02029493,0.34991382,0.41668415,0.08709954
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.77046947,0.33278947,0.18505171,0.25262829,70483.0,0.03306529,0.71607707,0.82486188,0.07059644
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,275000,0.82622535,0.34674004,0.19206388,0.28742143,37071.0,0.04572416,0.7510091,0.9014416,0.09103599
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,275000,0.70860769,0.31731115,0.17727164,0.2140249,33412.0,0.04421055,0.63588134,0.78133403,0.10263274
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.19550409,0.06846049,0.05245232,0.07459128,2936.0,0.06199335,0.09352502,0.29748315,0.52162115
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,110000,0.2785533,0.07614213,0.06345178,0.13895939,1576.0,0.10958231,0.0982904,0.4588162,0.64713969
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,110000,0.09926471,0.05955882,0.03970588,0.0,1360.0,0.05703385,0.00544401,0.1930854,0.94515659
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.5302656,0.27455219,0.11612106,0.13959234,3238.0,0.14273617,0.29546459,0.7650666,0.44279887
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,130000,0.73568019,0.41706444,0.13544153,0.18317422,1676.0,0.25553123,0.31533132,1.1560291,0.57137446
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,130000,0.30985915,0.12163892,0.09539052,0.09282971,1562.0,0.1372039,0.08415874,0.53555957,0.7283968
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.03142509,0.01778319,0.00633374,0.00730816,4105.0,0.01449131,0.00758689,0.05526329,0.75857218
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,62000,0.01771922,0.00999546,0.00772376,0.0,2201.0,0.01436996,-0.00591937,0.0413578,1.3340648
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,62000,0.04726891,0.02678571,0.00472689,0.0157563,1904.0,0.02616677,0.00422456,0.09031325,0.91062702
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.25724196,0.14221431,0.03993625,0.0750914,10667.0,0.04491193,0.18336183,0.33112209,0.28720093
"2-4 Units  (Own/Rent), 2 BR",    Below Median,87000,0.29273621,0.18113963,0.03768433,0.07391225,5493.0,0.06367399,0.1879925,0.39747992,0.3578092
"2-4 Units  (Own/Rent), 2 BR",    Above Median,87000,0.21955934,0.10088906,0.04232702,0.07634325,5174.0,0.05972792,0.12130691,0.31781176,0.44749828
"2-4 Units (Own/Rent), 3 BR",All Values,,0.78961175,0.33709339,0.25786988,0.19464848,3812.0,0.18504295,0.4852161,1.0940074,0.3855004
"2-4 Units (Own/Rent), 3 BR",    Below Median,113000,0.89518987,0.43392405,0.32911392,0.1321519,1975.0,0.30112665,0.39983653,1.3905432,0.55335003
"2-4 Units (Own/Rent), 3 BR",    Above Median,113000,0.67610234,0.23298857,0.18127382,0.26183996,1837.0,0.25155382,0.26229631,1.0899084,0.61204644
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,44.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,100000,0.0,0.0,0.0,0.0,44.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,189.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Below Median,165000,0.0,0.0,0.0,0.0,168.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Above Median,165000,0.0,0.0,0.0,0.0,21.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,29.0,.,.,.,.
"5-49 Units (Own), 3 BR",    Below Median,70000,0.0,0.0,0.0,0.0,29.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.02213175,0.01280533,0.00629164,0.00303479,13510.0,0.00976543,0.00606762,0.03819589,0.72584098
"5-49 Units (Rent), 0-1 BR",    Below Median,82000,0.01203266,0.01074345,0.00128921,0.0,6981.0,0.00824091,-0.00152363,0.02558895,1.1266246
"5-49 Units (Rent), 0-1 BR",    Above Median,82000,0.03293,0.01500996,0.01164037,0.00627968,6529.0,0.0178994,0.00348549,0.06237452,0.8941546
"5-49 Units (Rent), 2 BR",All Values,,0.30795913,0.1785444,0.06439203,0.0650227,15856.0,0.04492871,0.23405141,0.38186685,0.23999198
"5-49 Units (Rent), 2 BR",    Below Median,94000,0.30320988,0.20148148,0.056543209999999997,0.04518519,8100.0,0.05907275,0.20603519,0.40038456,0.32048653
"5-49 Units (Rent), 2 BR",    Above Median,94000,0.31291903,0.15458999,0.07258896,0.08574007,7756.0,0.0716745,0.19501447,0.43082359,0.37678935
"5-49 Units (Rent), 3 BR",All Values,,0.91880135,0.24649589,0.22861286,0.44369261,2069.0,0.25343015,0.50190876,1.335694,0.45373529
"5-49 Units (Rent), 3 BR",    Below Median,102000,0.988,0.2472,0.2768,0.464,1250.0,0.42207902,0.29368002,1.68232,0.70275302
"5-49 Units (Rent), 3 BR",    Above Median,102000,0.81318681,0.24542125,0.15506716,0.41269841,819.0,0.31043533,0.30252069,1.3238529,0.62798131
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,113.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,267000,0.0,0.0,0.0,0.0,113.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.13168724,0.13168724,0.0,0.0,243.0,0.1110311,-0.05095891,0.3143334,1.3869692
"50+ Units (Own), 2 BR",    Below Median,385000,0.085,0.085,0.0,0.0,200.0,0.10183805,-0.08252359,0.25252359,1.9708657
"50+ Units (Own), 2 BR",    Above Median,385000,0.34883721,0.34883721,0.0,0.0,43.0,0.4228213,-0.34670383,1.0443782,1.9938843
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,72.0,.,.,.,.
"50+ Units (Own), 3 BR",    Below Median,250000,0.0,0.0,0.0,0.0,72.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.00877724,0.00302663,0.00575061,0.0,3304.0,0.00864774,-0.0054483,0.02300278,1.6207302
"50+ Units (Rent), 0-1 BR",    Below Median,116000,0.01699883,0.00586166,0.01113716,0.0,1706.0,0.0167925,-0.01062483,0.04462248,1.6250329
"50+ Units (Rent), 0-1 BR",    Above Median,116000,0.0,0.0,0.0,0.0,1598.0,.,.,.,.
