Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.33525386,0.15638,0.07937558,0.09949828,1073315.0,0.00506955,0.32691445,0.34359328,0.02487493
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 216000,0.51220638,0.24348121,0.12445111,0.14427407,357313.0,0.0110079,0.49409838,0.53031439,0.03535294
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,216000 to 497000,0.30603834,0.1386354,0.0733401,0.09406284,347927.0,0.00914774,0.29099031,0.32108636,0.0491704
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 497000,0.19109149,0.08859879,0.0413231,0.0611696,368075.0,0.00491116,0.18301263,0.19917035,0.04227743
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.46287525,0.19880437,0.11382969,0.15024119,3515647.0,0.00274365,0.45836195,0.46738856,0.00975058
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 324000,0.64751522,0.27727756,0.16441534,0.20582232,1138069.0,0.00621349,0.63729403,0.65773641,0.01578525
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,324000 to 628000,0.42518842,0.18125937,0.10262614,0.1413029,1144796.0,0.00460521,0.41761284,0.43276399,0.01781698
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 628000,0.32741799,0.14265296,0.07753439,0.10723064,1232782.0,0.00393119,0.32095118,0.3338848,0.01975093
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.62190537,0.25205594,0.15600871,0.21384072,2707272.0,0.00398052,0.61535741,0.62845333,0.01052887
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 477000,0.83078857,0.34320518,0.21003786,0.27754552,862554.0,0.01065306,0.81326428,0.84831285,0.02109356
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,477000 to 863000,0.58200275,0.23524725,0.14290074,0.20385476,901171.0,0.00721541,0.57013341,0.59387209,0.02039396
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 863000,0.46906301,0.18478465,0.11913662,0.16514175,943547.0,0.00560155,0.45984847,0.47827756,0.01964458
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.33741168,0.15718497,0.0808932,0.09933351,404657.0,0.00796872,0.32430314,0.35052023,0.03885031
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 224000,0.55848127,0.25325061,0.13445497,0.17077569,134744.0,0.01965121,0.52615503,0.5908075,0.0578824
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,224000 to 442000,0.3003888,0.15101111,0.06912524,0.08025245,130401.0,0.01184872,0.28089765,0.31987995,0.06488641
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 442000,0.15850249,0.07017318,0.04016142,0.0481679,139512.0,0.00768237,0.14586499,0.17113999,0.07973061
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46945538,0.20624738,0.1146833,0.14852469,358230.0,0.00965844,0.45356724,0.48534351,0.03384376
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 334000,0.69588693,0.29614083,0.17099695,0.22874915,118160.0,0.0229009,0.65821496,0.73355891,0.05413519
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,334000 to 625000,0.41449647,0.18147324,0.10461938,0.12840384,117808.0,0.01668412,0.38705109,0.44194185,0.06621378
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 625000,0.30357756,0.14324156,0.06995632,0.09037968,122262.0,0.01291264,0.28233627,0.32481886,0.06996992
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.21327141,0.10790168,0.04652778,0.05884196,309643.0,0.00716593,0.20148345,0.22505937,0.0552721
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 119000,0.22670695,0.11765569,0.05263364,0.05641763,102273.0,0.01300614,0.20531186,0.24810204,0.09437334
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,119000 to 183000,0.29490976,0.14890662,0.06155167,0.08445148,103669.0,0.01414736,0.27163736,0.31818216,0.07891363
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 183000,0.11840773,0.05728971,0.02548674,0.03563129,103701.0,0.00927124,0.10315655,0.13365891,0.12880226
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.47984289,0.22703454,0.11591512,0.13689323,521925.0,0.0090784,0.46490892,0.49477686,0.03112263
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 154000,0.58613806,0.2849398,0.13606776,0.1651305,172833.0,0.01822279,0.55616157,0.61611455,0.05114237
