Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.26087174,0.11894922,0.06147853,0.08044398,80093.0,0.01596923,0.23460235,0.28714112,0.10069846
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,350000,0.38136431,0.17422145,0.09661394,0.11052892,40460.0,0.0307104,0.3308457,0.43188292,0.13246812
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,350000,0.13786491,0.06252365,0.02560997,0.04973128,39633.0,0.01422066,0.11447193,0.16125789,0.16968046
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.51347801,0.22214937,0.12342761,0.16790103,413303.0,0.01219888,0.49341086,0.53354515,0.03908084
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,400000,0.63164844,0.27681658,0.15037654,0.20445532,212061.0,0.02035526,0.59816404,0.66513284,0.05301114
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,400000,0.38895459,0.16454319,0.09502986,0.12938154,201242.0,0.01176765,0.36959681,0.40831237,0.04976874
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.79806584,0.32946589,0.204058,0.26454196,691671.0,0.01081638,0.7802729,0.81585879,0.02229509
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,530000,0.90656915,0.37831605,0.23050736,0.29774574,354262.0,0.01774384,0.87738054,0.93575776,0.03219679
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,530000,0.68414298,0.27817575,0.17628753,0.22967971,337409.0,0.01192085,0.66453318,0.70375279,0.02866332
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.24547179,0.11081081,0.06571835,0.06894263,42180.0,0.02268728,0.20815121,0.28279236,0.1520361
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,375000,0.34198747,0.14842388,0.08896009,0.1046035,21223.0,0.03720647,0.28078282,0.40319211,0.17896752
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,375000,0.14773107,0.07272033,0.04218161,0.03282913,20957.0,0.02245074,0.1107996,0.18466254,0.24999122
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46787063,0.21938133,0.11044429,0.138045,72317.0,0.02585324,0.42534204,0.51039921,0.09089817
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,475000,0.60070786,0.28060411,0.14821819,0.17188555,37013.0,0.04417114,0.52804633,0.67336938,0.12095984
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,475000,0.32860299,0.15519488,0.07084183,0.10256628,35304.0,0.02366099,0.28968067,0.36752532,0.11844787
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.28053473,0.13491515,0.06462115,0.08099842,20272.0,0.03570271,0.22180377,0.33926568,0.20935359
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,139000,0.36463117,0.18329262,0.07552516,0.10581339,10235.0,0.05352577,0.27658128,0.45268105,0.24147658
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,139000,0.19477932,0.08558334,0.05350204,0.05569393,10037.0,0.04367563,0.12293291,0.26662573,0.36886057
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.47216848,0.23359131,0.10792777,0.1306494,40314.0,0.03276863,0.41826408,0.52607287,0.11416348
"2-4 Units  (Own/Rent), 2 BR",    Below Median,179000,0.627596,0.34164381,0.12588166,0.16007053,20416.0,0.0569849,0.53385584,0.72133616,0.14936386
"2-4 Units  (Own/Rent), 2 BR",    Above Median,179000,0.31269474,0.1227259,0.08950648,0.10046236,19898.0,0.0353125,0.25460567,0.37078381,0.18576925
"2-4 Units (Own/Rent), 3 BR",All Values,,0.83285288,0.38845901,0.22945431,0.21493956,19773.0,0.07343699,0.71204903,0.95365673,0.14504825
"2-4 Units (Own/Rent), 3 BR",    Below Median,208000,1.0297499,0.46056878,0.28882614,0.28035498,9916.0,0.12248935,0.82825492,1.2312449,0.19567371
"2-4 Units (Own/Rent), 3 BR",    Above Median,208000,0.63477732,0.31591762,0.1697271,0.1491326,9857.0,0.08817212,0.48973418,0.77982045,0.22849451
"5-49 Units (Own), 0-1 BR",All Values,,0.05180229,0.030218,0.01748327,0.00410101,4633.0,0.02861645,0.00472823,0.09887634,0.90872544
"5-49 Units (Own), 0-1 BR",    Below Median,540000,0.03817734,0.0180624,0.01231527,0.00779967,2436.0,0.01756289,0.00928639,0.06706829,0.75675652
"5-49 Units (Own), 0-1 BR",    Above Median,540000,0.06690942,0.04369595,0.02321347,0.0,2197.0,0.05707058,-0.02697168,0.16079053,1.4031074
