Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.12494194,0.05278048,0.02930372,0.04285775,23683.0,0.01853997,0.09444369,0.15544019,0.2440994
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,400000,0.15741968,0.06483935,0.03759523,0.05498509,12076.0,0.03151581,0.10557618,0.20926318,0.32933304
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,400000,0.09115189,0.04023434,0.02067718,0.03024037,11607.0,0.01807379,0.06142051,0.12088327,0.326174
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.37728047,0.17416718,0.0997275,0.10338579,146790.0,0.0127427,0.35631873,0.3982422,0.05556008
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,385000,0.40855197,0.19117826,0.1072368,0.11013691,74135.0,0.0192508,0.3768844,0.44021953,0.07751171
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,385000,0.34537196,0.15680958,0.09206524,0.09649714,72655.0,0.01920933,0.31377262,0.37697131,0.09149366
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.75535314,0.30627412,0.18668775,0.26239128,177746.0,0.01880194,0.72442395,0.78628234,0.04094667
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,500000,0.79322608,0.32536044,0.19642666,0.27143898,93358.0,0.03017351,0.74359065,0.84286151,0.06257413
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,500000,0.71345452,0.28515903,0.17591364,0.25238186,84388.0,0.02223583,0.67687657,0.75003247,0.05126878
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11611216,0.04372789,0.03127083,0.04111345,19507.0,0.01858819,0.08553459,0.14668974,0.26334514
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,300000,0.14749471,0.06290957,0.04456094,0.0400242,9919.0,0.03008418,0.09800624,0.19698318,0.33552709
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,300000,0.08364622,0.02388402,0.0175219,0.0422403,9588.0,0.01966911,0.05129054,0.11600191,0.38681588
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.32968969,0.15950523,0.07119485,0.09898961,27811.0,0.03009819,0.28017816,0.37920122,0.15017616
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,345000,0.48048935,0.23933066,0.10258033,0.13857836,14223.0,0.05246478,0.39418479,0.56679391,0.17961805
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,345000,0.1718428,0.07594937,0.03834266,0.05755078,13588.0,0.03006658,0.12238327,0.22130233,0.28781847
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.00568541,0.00568541,0.0,0.0,3166.0,0.00511377,-0.00272674,0.01409756,1.4796034
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,141000,0.002414,0.002414,0.0,0.0,1657.0,0.00258262,-0.00183441,0.00666241,1.7599029
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,141000,0.00927767,0.00927767,0.0,0.0,1509.0,0.01022211,-0.0075377,0.02609303,1.8124564
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.23806541,0.12166395,0.07292319,0.04347826,7981.0,0.05235213,0.15194615,0.32418466,0.3617462
"2-4 Units  (Own/Rent), 2 BR",    Below Median,176000,0.23172818,0.11121975,0.06599853,0.0545099,4091.0,0.05150253,0.14700652,0.31644984,0.36560793
"2-4 Units  (Own/Rent), 2 BR",    Above Median,176000,0.24473008,0.13264781,0.08020566,0.03187661,3890.0,0.08460001,0.10556307,0.38389709,0.56865512
"2-4 Units (Own/Rent), 3 BR",All Values,,0.71646027,0.29566563,0.19685243,0.22394221,3876.0,0.13494313,0.49447882,0.93844172,0.30983079
"2-4 Units (Own/Rent), 3 BR",    Below Median,202000,0.82347328,0.43082061,0.19179389,0.20085878,2096.0,0.22220646,0.45794365,1.1890029,0.44388766
"2-4 Units (Own/Rent), 3 BR",    Above Median,202000,0.59044944,0.13651685,0.20280899,0.2511236,1780.0,0.18701236,0.28281411,0.89808477,0.52101893
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,3033.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,260000,0.0,0.0,0.0,0.0,1696.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,260000,0.0,0.0,0.0,0.0,1337.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.08772846,0.03550914,0.02496084,0.02725849,9575.0,0.02808499,0.04152865,0.13392827,0.52662285
"5-49 Units (Own), 2 BR",    Below Median,285000,0.12777665,0.04116568,0.04157326,0.0450377,4907.0,0.05292871,0.04070892,0.21484437,0.68140563
"5-49 Units (Own), 2 BR",    Above Median,285000,0.04562982,0.02956298,0.00749786,0.00856898,4668.0,0.019572,0.01343387,0.07782577,0.70559002
"5-49 Units (Own), 3 BR",All Values,,0.16364461,0.04578422,0.01269266,0.10516772,2206.0,0.06103087,0.06324882,0.26404039,0.61349887
"5-49 Units (Own), 3 BR",    Below Median,340000,0.2842725,0.08494533,0.02018503,0.17914214,1189.0,0.1139361,0.09684761,0.47169739,0.65931419
"5-49 Units (Own), 3 BR",    Above Median,340000,0.02261554,0.0,0.00393314,0.0186824,1017.0,0.02196082,-0.01351002,0.05874109,1.5973778
"5-49 Units (Rent), 0-1 BR",All Values,,0.01907888,0.00952319,0.00292521,0.00663048,30767.0,0.00589702,0.00937829,0.02877948,0.50844682
"5-49 Units (Rent), 0-1 BR",    Below Median,158000,0.02800489,0.01371274,0.00495719,0.00933496,15533.0,0.0108141,0.01021569,0.04579409,0.63521759
"5-49 Units (Rent), 0-1 BR",    Above Median,158000,0.00997768,0.00525141,0.00085335,0.00387292,15234.0,0.00384956,0.00364515,0.01631021,0.63466983
"5-49 Units (Rent), 2 BR",All Values,,0.2509642,0.13182476,0.05604435,0.06309509,33188.0,0.0232594,0.21270248,0.28922592,0.15245888
"5-49 Units (Rent), 2 BR",    Below Median,180000,0.2788645,0.14473998,0.06094943,0.0731751,16768.0,0.03593635,0.2197492,0.3379798,0.21198575
"5-49 Units (Rent), 2 BR",    Above Median,180000,0.22247259,0.11863581,0.05103532,0.05280146,16420.0,0.03104079,0.17141049,0.2735347,0.22952086
"5-49 Units (Rent), 3 BR",All Values,,0.99701839,0.45751201,0.22196455,0.31754183,6037.0,0.17931301,0.70204849,1.2919883,0.29585202
"5-49 Units (Rent), 3 BR",    Below Median,194000,1.2797398,0.59572491,0.30576208,0.37825279,3228.0,0.30746457,0.77396057,1.785519,0.39522036
"5-49 Units (Rent), 3 BR",    Above Median,194000,0.67212531,0.29868281,0.1256675,0.24777501,2809.0,0.18685488,0.36474903,0.97950159,0.4573199
"50+ Units (Own), 0-1 BR",All Values,,0.01529637,0.0,0.0,0.01529637,1569.0,0.01567802,-0.01049398,0.04108671,1.6860437
"50+ Units (Own), 0-1 BR",    Below Median,410000,0.02803738,0.0,0.0,0.02803738,856.0,0.02889262,-0.01949098,0.07556575,1.6951783
"50+ Units (Own), 0-1 BR",    Above Median,410000,0.0,0.0,0.0,0.0,713.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.02165605,0.01273885,0.0,0.0089172,2355.0,0.01623001,-0.00504231,0.04835442,1.2328363
"50+ Units (Own), 2 BR",    Below Median,500000,0.04015748,0.02362205,0.0,0.01653543,1270.0,0.03038624,-0.00982789,0.09014285,1.2447337
"50+ Units (Own), 2 BR",    Above Median,500000,0.0,0.0,0.0,0.0,1085.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.31555556,0.15111111,0.04444444,0.12,225.0,0.21669967,-0.04091541,0.67202652,1.1296615
"50+ Units (Own), 3 BR",    Below Median,1155000,0.33023256,0.15813953,0.04651163,0.1255814,215.0,0.22788908,-0.04464498,0.7051101,1.1351926
"50+ Units (Own), 3 BR",    Above Median,1155000,0.0,0.0,0.0,0.0,10.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.01637112,0.00921419,0.00347705,0.00367988,34512.0,0.00420026,0.00946169,0.02328055,0.42205014
"50+ Units (Rent), 0-1 BR",    Below Median,173000,0.01925398,0.01729984,0.00057475,0.00137939,17399.0,0.00740961,0.00706516,0.0314428,0.63305436
"50+ Units (Rent), 0-1 BR",    Above Median,173000,0.01344007,0.0009934,0.00642786,0.00601882,17113.0,0.00603741,0.00350854,0.02337161,0.73894915
"50+ Units (Rent), 2 BR",All Values,,0.09813583,0.0309309,0.02333175,0.04387319,16844.0,0.02083905,0.06385559,0.13241608,0.34931425
"50+ Units (Rent), 2 BR",    Below Median,210000,0.1586336,0.05556855,0.0404773,0.06258774,8548.0,0.04057668,0.09188496,0.22538224,0.4207724
"50+ Units (Rent), 2 BR",    Above Median,210000,0.03580039,0.00554484,0.00566538,0.02459016,8296.0,0.0108523,0.01794836,0.05365241,0.4986546
"50+ Units (Rent), 3 BR",All Values,,0.56657061,0.35158501,0.12910663,0.08587896,1735.0,0.17852014,0.27290498,0.86023624,0.51832133
"50+ Units (Rent), 3 BR",    Below Median,184000,0.66888151,0.37430786,0.19822813,0.09634551,903.0,0.2656794,0.23183889,1.1059241,0.65339319
"50+ Units (Rent), 3 BR",    Above Median,184000,0.45552885,0.32692308,0.05408654,0.07451923,832.0,0.24354792,0.05489252,0.85616518,0.87949717
All Housing Types (Own) 0-1 BR,All Values,,0.05867045,0.02436716,0.01454933,0.01975396,8454.0,0.02160986,0.02312224,0.09421866,0.60589633
All Housing Types (Own) 0-1 BR,    Below Median,300000,0.04376013,0.02662653,0.01366057,0.00347303,4319.0,0.02823129,-0.00268034,0.0902006,1.0612507
All Housing Types (Own) 0-1 BR,    Above Median,300000,0.07424426,0.02200726,0.01547763,0.03675937,4135.0,0.03350043,0.01913605,0.12935246,0.74225548
