Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13649182,0.06388735,0.0308195,0.04178496,104966.0,0.00778655,0.12368294,0.14930069,0.09384356
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 178000,0.14547582,0.06696268,0.03276131,0.04575183,33332.0,0.01598062,0.1191877,0.17176394,0.18070437
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,178000 to 271000,0.14435583,0.06345939,0.03504559,0.04585084,34983.0,0.01409935,0.1211624,0.16754926,0.16066846
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 271000,0.12081526,0.061499,0.02501978,0.03429647,36651.0,0.01451177,0.09694339,0.14468713,0.19758985
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36606822,0.15490042,0.09036237,0.12080543,417862.0,0.00639307,0.35555163,0.37658482,0.02872851
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 221000,0.38283064,0.15846379,0.09028576,0.13408109,126155.0,0.01355704,0.36052931,0.40513198,0.05825378
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,221000 to 330000,0.34254205,0.1438952,0.08707141,0.11157545,143813.0,0.01302332,0.32111868,0.36396542,0.0625423
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 330000,0.37464671,0.16256238,0.09362787,0.11845646,147894.0,0.01019835,0.35787042,0.39142299,0.04477894
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.56273981,0.22113229,0.1421763,0.19943122,280954.0,0.01048745,0.54548795,0.57999167,0.0306569
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 314000,0.52650291,0.20977902,0.13504205,0.18168183,90009.0,0.02162217,0.49093444,0.56207137,0.06755607
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,314000 to 518000,0.55228573,0.21622755,0.13563479,0.2004234,95418.0,0.01700464,0.5243131,0.58025836,0.05064884
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 518000,0.60732568,0.23672888,0.1554325,0.2151643,95527.0,0.02035084,0.57384855,0.64080281,0.05512221
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.18224701,0.0892499,0.03819957,0.05479754,45367.0,0.01302927,0.16081387,0.20368015,0.1176049
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 157000,0.2393544,0.13166209,0.04395604,0.06373626,14560.0,0.02883273,0.19192456,0.28678423,0.19815736
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,157000 to 236000,0.21241494,0.08775196,0.05321607,0.07144691,15578.0,0.02614707,0.16940301,0.25542688,0.20249016
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 236000,0.09678902,0.05023311,0.01733535,0.02922057,15229.0,0.01627613,0.07001479,0.12356326,0.27662471
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.48293422,0.20777745,0.11224275,0.16291402,23761.0,0.04271802,0.41266308,0.55320536,0.14550872
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 183000,0.67354621,0.28660436,0.15758048,0.22936137,7704.0,0.09431872,0.51839191,0.8287005,0.23035434
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,183000 to 293000,0.51127914,0.19659735,0.11279143,0.20189036,7935.0,0.07512282,0.3877021,0.63485618,0.2417017
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 293000,0.27443979,0.14393007,0.06870229,0.06180744,8122.0,0.04007964,0.20850879,0.34037079,0.24023848
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.08448396,0.04788846,0.01427898,0.02231652,44541.0,0.01241896,0.06405478,0.10491314,0.24181138
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 99000,0.07206291,0.03179445,0.02026981,0.01999864,14751.0,0.02178651,0.0362241,0.10790172,0.49732672
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,99000 to 136000,0.05666487,0.03905828,0.00465461,0.01295197,14824.0,0.01647017,0.02957143,0.0837583,0.47813462
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 136000,0.12428171,0.07249766,0.01790726,0.03387679,14966.0,0.02509751,0.0829963,0.16556711,0.33219215
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30456211,0.15344759,0.06699783,0.08411669,102869.0,0.01328845,0.28270261,0.32642162,0.07177354
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 126000,0.27595301,0.14331096,0.06287461,0.06976744,33368.0,0.02733171,0.23099234,0.32091367,0.1629287
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,126000 to 170000,0.346899,0.18849593,0.06565975,0.09274332,34892.0,0.02965274,0.29812025,0.39567775,0.14061369
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 170000,0.28946228,0.12788581,0.07232223,0.08925424,34609.0,0.02509944,0.2481737,0.33075086,0.1426389
"2-4 Units (Own/Rent), 3 BR",All Values,,0.74930373,0.32570568,0.18733534,0.2362627,53140.0,0.03640291,0.68942094,0.80918652,0.07991791
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 142000,0.78522099,0.32550645,0.19705341,0.26266114,17376.0,0.07514507,0.66160735,0.90883464,0.15742529
"2-4 Units (Own/Rent), 3 BR",Second Tercile,142000 to 188000,0.81036223,0.38303241,0.19277784,0.23455198,17834.0,0.07870754,0.68088832,0.93983614,0.15977288
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 188000,0.65376464,0.26887897,0.17250418,0.21238148,17930.0,0.05525885,0.56286384,0.74466544,0.13904209
"5-49 Units (Own), 0-1 BR",All Values,,0.01902214,0.01248328,0.00653886,0.0,6729.0,0.0105322,0.00169667,0.03634762,0.91080553
"5-49 Units (Own), 0-1 BR",First Tercile,Below 106000,0.01542169,0.0,0.01542169,0.0,2075.0,0.01662252,-0.01192236,0.04276573,1.7730906
"5-49 Units (Own), 0-1 BR",Second Tercile,106000 to 200000,0.00520607,0.0,0.00520607,0.0,2305.0,0.00521258,-0.00336863,0.01378077,1.647057
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 200000,0.0357599,0.0357599,0.0,0.0,2349.0,0.02623421,-0.00739538,0.07891517,1.2068065
"5-49 Units (Own), 2 BR",All Values,,0.08312243,0.03265347,0.02307578,0.02739318,20151.0,0.01330145,0.06124155,0.10500331,0.26323678
"5-49 Units (Own), 2 BR",First Tercile,Below 136000,0.07365617,0.0257013,0.01191036,0.03604451,6381.0,0.01904206,0.04233198,0.10498036,0.42527584
"5-49 Units (Own), 2 BR",Second Tercile,136000 to 235000,0.12265959,0.04452307,0.04186938,0.03626714,6783.0,0.03061943,0.07229063,0.17302855,0.41064019
"5-49 Units (Own), 2 BR",Third Tercile ,Above 235000,0.05338486,0.0274796,0.01502791,0.01087734,6987.0,0.01581737,0.02736528,0.07940444,0.48739628
"5-49 Units (Own), 3 BR",All Values,,0.28579434,0.10675259,0.09610535,0.0829364,3569.0,0.08591746,0.14446011,0.42712857,0.49453123
"5-49 Units (Own), 3 BR",First Tercile,Below 159000,0.41791045,0.1744403,0.07182836,0.17164179,1072.0,0.20787554,0.07595518,0.75986572,0.81825011
"5-49 Units (Own), 3 BR",Second Tercile,159000 to 252000,0.20052539,0.14623468,0.04378284,0.01050788,1142.0,0.10939307,0.0205738,0.38047699,0.89740053
"5-49 Units (Own), 3 BR",Third Tercile ,Above 252000,0.25313653,0.0199262,0.15940959,0.07380074,1355.0,0.1192565,0.05695959,0.44931347,0.7749847
"5-49 Units (Rent), 0-1 BR",All Values,,0.03559671,0.01948015,0.00914608,0.00697049,69866.0,0.00540377,0.02670752,0.04448591,0.24971963
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 94000,0.01342048,0.00849673,0.00117647,0.00374728,22950.0,0.00516747,0.00491999,0.02192097,0.63339696
"5-49 Units (Rent), 0-1 BR",Second Tercile,94000 to 129000,0.05083139,0.03140346,0.00775394,0.01167399,23214.0,0.00933386,0.0354772,0.06618559,0.30206126
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 129000,0.04214834,0.01843726,0.01822631,0.00548477,23702.0,0.0126868,0.02127856,0.06301813,0.49515081
"5-49 Units (Rent), 2 BR",All Values,,0.33036806,0.17828682,0.07650395,0.0755773,53958.0,0.02169091,0.29468652,0.36604961,0.10800542
"5-49 Units (Rent), 2 BR",First Tercile,Below 127000,0.38867513,0.22305174,0.08665939,0.07896399,17413.0,0.04350005,0.31711754,0.46023271,0.18410642
"5-49 Units (Rent), 2 BR",Second Tercile,127000 to 173000,0.36240544,0.19213902,0.07082557,0.09944085,18242.0,0.03404411,0.30640288,0.418408,0.15453012
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 173000,0.24296563,0.12189259,0.07250178,0.04857127,18303.0,0.0272636,0.19811701,0.28781426,0.18458834
"5-49 Units (Rent), 3 BR",All Values,,0.96930619,0.45379942,0.20579772,0.30970905,9383.0,0.12250016,0.76779344,1.1708189,0.20789381
"5-49 Units (Rent), 3 BR",First Tercile,Below 127000,1.1646077,0.56160267,0.2196995,0.38330551,2995.0,0.22459728,0.79514515,1.5340702,0.31724205
"5-49 Units (Rent), 3 BR",Second Tercile,127000 to 176000,1.0633159,0.53198433,0.26599216999999997,0.26533943,3064.0,0.20310576,0.72920695,1.3974249,0.31421421
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 176000,0.7066787,0.28459687,0.1377858,0.28429603,3324.0,0.15657136,0.44911882,0.96423858,0.36446532
"50+ Units (Own), 0-1 BR",All Values,,0.0210136,0.0210136,0.0,0.0,3236.0,0.01675106,-0.0065419,0.04856909,1.3113173
"50+ Units (Own), 0-1 BR",First Tercile,Below 115000,0.06896552,0.06896552,0.0,0.0,754.0,0.07012034,-0.04638244,0.18431348,1.6725454
"50+ Units (Own), 0-1 BR",Second Tercile,115000 to 210000,0.0,0.0,0.0,0.0,1199.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 210000,0.01247077,0.01247077,0.0,0.0,1283.0,0.01280746,-0.00859751,0.03353905,1.6894125
"50+ Units (Own), 2 BR",All Values,,0.20640722,0.10621372,0.04472157,0.05547194,4651.0,0.05332807,0.11868254,0.2941319,0.4250078
"50+ Units (Own), 2 BR",First Tercile,Below 151000,0.21352785,0.0464191,0.0928382,0.07427056,1508.0,0.10271151,0.04456742,0.38248828,0.79128053
"50+ Units (Own), 2 BR",Second Tercile,151000 to 250000,0.19011407,0.10012674,0.02534854,0.06463878,1578.0,0.07838567,0.06116964,0.3190585,0.67824769
"50+ Units (Own), 2 BR",Third Tercile ,Above 250000,0.21597444,0.16996805,0.01789137,0.02811502,1565.0,0.09127309,0.06583021,0.36611867,0.69519446
"50+ Units (Own), 3 BR",All Values,,0.14119171,0.0246114,0.09455959,0.02202073,772.0,0.07530461,0.01731563,0.26506779,0.87736084
"50+ Units (Own), 3 BR",First Tercile,Below 387000,0.39,0.0,0.305,0.085,200.0,0.2471792,-0.01660978,0.79660978,1.0425892
"50+ Units (Own), 3 BR",Second Tercile,387000 to 760000,0.08119658,0.08119658,0.0,0.0,234.0,0.08682276,-0.06162686,0.22402002,1.7589834
"50+ Units (Own), 3 BR",Third Tercile ,Above 760000,0.03550296,0.0,0.03550296,0.0,338.0,0.04053096,-0.03117048,0.10217639,1.8779684
"50+ Units (Rent), 0-1 BR",All Values,,0.01763424,0.01220527,0.00027739,0.00515158,50470.0,0.00421877,0.01069436,0.02457412,0.39354569
"50+ Units (Rent), 0-1 BR",First Tercile,Below 65000,0.01502172,0.00699807,0.0,0.00802365,16576.0,0.00807252,0.00174242,0.02830102,0.88400688
"50+ Units (Rent), 0-1 BR",Second Tercile,65000 to 146000,0.02719015,0.02396319,0.0,0.00322696,16734.0,0.00756359,0.01474805,0.03963225,0.45759589
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 146000,0.01083916,0.00576923,0.00081585,0.00425408,17160.0,0.00470053,0.00310679,0.01857154,0.71337388
