Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.11558066,0.05469073,0.02796528,0.03292465
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,0.18427261,0.07994758,0.05242464,0.05190039
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,0.03948897,0.02671312,0.00087108,0.01190476
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.51635989,0.21814255,0.11769447,0.18052287
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,325000,0.49965726,0.20570823,0.08948713,0.20446189
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,325000,0.53425938,0.23146788,0.14792307,0.15486844
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.7857549,0.29310984,0.22020322,0.27244184
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,495000,0.78372959,0.28625991,0.18757758,0.3098921
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,495000,0.78793006,0.30046659,0.25524278,0.23222068
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.10370148,0.05364903,0.01948149,0.03057096
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,260000,0.11833285,0.06295541,0.02593996,0.02943748
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,260000,0.08821715,0.04380012,0.01264651,0.03177051
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.47896254,0.22478386,0.10048031,0.15369837
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,320000,0.64074595,0.29767769,0.11294863,0.23011963
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,320000,0.28438426,0.13711384,0.08548455,0.06178587
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.01302932,0.01302932,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,145000,0.02524797,0.02524797,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,145000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.25686628,0.1332733,0.07609185,0.04750113
"2-4 Units  (Own/Rent), 2 BR",    Below Median,172000,0.2941681,0.16423671,0.05917667,0.07075472
"2-4 Units  (Own/Rent), 2 BR",    Above Median,172000,0.21563981,0.09905213,0.09478673,0.02180095
"2-4 Units (Own/Rent), 3 BR",All Values,,0.6905701,0.3198279,0.21513087,0.15561133
"2-4 Units (Own/Rent), 3 BR",    Below Median,164000,0.9201788,0.38761175,0.31481481,0.21775223
"2-4 Units (Own/Rent), 3 BR",    Above Median,164000,0.39656582,0.23303352,0.08748978,0.07604252
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,192000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,192000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.01680672,0.00472689,0.0,0.01207983
"5-49 Units (Own), 2 BR",    Below Median,275000,0.02857143,0.00803571,0.0,0.02053571
"5-49 Units (Own), 2 BR",    Above Median,275000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",All Values,,0.22924188,0.17509025,0.0,0.05415162
"5-49 Units (Own), 3 BR",    Below Median,300000,0.31818182,0.27556818,0.0,0.04261364
"5-49 Units (Own), 3 BR",    Above Median,300000,0.07425743,0.0,0.0,0.07425743
"5-49 Units (Rent), 0-1 BR",All Values,,0.0329588,0.00961298,0.02022472,0.0031211
"5-49 Units (Rent), 0-1 BR",    Below Median,146000,0.06344629,0.01850517,0.03893295,0.00600817
"5-49 Units (Rent), 0-1 BR",    Above Median,146000,0.0,0.0,0.0,0.0
"5-49 Units (Rent), 2 BR",All Values,,0.17459932,0.08766391,0.0568237,0.0301117
"5-49 Units (Rent), 2 BR",    Below Median,179000,0.18386714,0.08161329,0.04887307,0.05338078
"5-49 Units (Rent), 2 BR",    Above Median,179000,0.16488436,0.09400647,0.06515792,0.00571997
"5-49 Units (Rent), 3 BR",All Values,,1.1111111,0.33633634,0.27727728,0.4974975
"5-49 Units (Rent), 3 BR",    Below Median,193000,1.254766,0.29289428,0.42114385,0.5407279
"5-49 Units (Rent), 3 BR",    Above Median,193000,0.91469194,0.3957346,0.08056872,0.43838863
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Below Median,300000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Above Median,300000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",    Below Median,275000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",    Above Median,275000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.09223301,0.09223301,0.0,0.0
"50+ Units (Own), 3 BR",    Below Median,750000,0.09223301,0.09223301,0.0,0.0
"50+ Units (Own), 3 BR",    Above Median,750000,0.00717455,0.00084962,0.0,0.00632493
"50+ Units (Rent), 0-1 BR",All Values,,0.01382824,0.00163755,0.0,0.01219068
"50+ Units (Rent), 0-1 BR",    Below Median,207000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",    Above Median,207000,0.06786543,0.0396365,0.00618716,0.02204176
"50+ Units (Rent), 2 BR",All Values,,0.07351311,0.02992242,0.0118212,0.03176949
"50+ Units (Rent), 2 BR",    Below Median,269000,0.06166329,0.05030426,0.0,0.01135903
"50+ Units (Rent), 2 BR",    Above Median,269000,0.02696629,0.0,0.0,0.02696629
"50+ Units (Rent), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Rent), 3 BR",    Below Median,355000,0.06936416,0.0,0.0,0.06936416
"50+ Units (Rent), 3 BR",    Above Median,355000,0.02031746,0.00634921,0.00698413,0.00698413
All Housing Types (Own) 0-1 BR,All Values,,0.0,0.0,0.0,0.0
All Housing Types (Own) 0-1 BR,    Below Median,225000,0.04900459,0.01531394,0.01684533,0.01684533
All Housing Types (Own) 0-1 BR,    Above Median,225000,0.06957789,0.03392751,0.01921675,0.01643364
All Housing Types (Own) 2 BR,All Values,,0.10205128,0.04371795,0.03051282,0.02782051
All Housing Types (Own) 2 BR,    Below Median,297000,0.03483747,0.02345357,0.00713208,0.00425182
All Housing Types (Own) 2 BR,    Above Median,297000,0.47279641,0.20150385,0.10861423,0.16267833
All Housing Types (Own) 3 BR,All Values,,0.46397091,0.19088806,0.08059718,0.19248568
All Housing Types (Own) 3 BR,    Below Median,340000,0.48231798,0.21295691,0.13884101,0.13052006
All Housing Types (Own) 3 BR,    Above Median,340000,0.76868255,0.28656271,0.21643206,0.26568779
All Housing Types (Own) 4-5 BR,All Values,,0.76101628,0.27793767,0.18464669,0.29843192
All Housing Types (Own) 4-5 BR,    Below Median,500000,0.77663903,0.29551424,0.24942061,0.23170418
All Housing Types (Own) 4-5 BR,    Above Median,500000,0.01718743,0.00532437,0.0075662,0.00429686
All Housing Types (Rent) 0-1 BR,All Values,,0.03371816,0.0104453,0.01484332,0.00842954
All Housing Types (Rent) 0-1 BR,    Below Median,169000,0.0,0.0,0.0,0.0
All Housing Types (Rent) 0-1 BR,    Above Median,169000,0.18086783,0.09303425,0.04628073,0.04155285
All Housing Types (Rent) 2 BR,All Values,,0.20035041,0.09646501,0.04678965,0.05709574
All Housing Types (Rent) 2 BR,    Below Median,188000,0.16061288,0.08946748,0.04575163,0.02539376
All Housing Types (Rent) 2 BR,    Above Median,188000,0.82793976,0.3577379,0.20057674,0.26962512
All Housing Types (Rent) 3 BR,All Values,,1.120075,0.47342089,0.27861163,0.36804253
All Housing Types (Rent) 3 BR,    Below Median,176000,0.52102497,0.23620237,0.11859396,0.16622865
All Housing Types (Rent) 3 BR,    Above Median,176000,0.94665501,0.36641889,0.19938784,0.38084827
All Housing Types (Rent) 4-5 BR,All Values,,1.0327065,0.36385936,0.17661488,0.49223222
All Housing Types (Rent) 4-5 BR,    Below Median,233000,0.84774436,0.3693609,0.22556391,0.25281955
All Housing Types (Rent) 4-5 BR,    Above Median,233000,1.0714407,0.44783731,0.27274843,0.35085492
