Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13686182,0.06774247,0.01690808,0.05221127,18157.0,0.01905199,0.1055213,0.16820233,0.22899388
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 151000,0.21799598,0.09718499,0.02647453,0.09433646,5968.0,0.04243384,0.14819231,0.28779964,0.3202062
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,151000 to 260000,0.12726656,0.06964921,0.01355702,0.04406033,5901.0,0.03661125,0.06704106,0.18749207,0.47322328
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 260000,0.06886132,0.03800891,0.01097328,0.01987913,6288.0,0.02351411,0.03018061,0.10754204,0.561719
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.2756416,0.12827487,0.06375845,0.08360828,112142.0,0.01152507,0.25668286,0.29460034,0.0687804
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 210000,0.41579647,0.19463506,0.09365592,0.12750549,36869.0,0.0269164,0.371519,0.46007394,0.10648833
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,210000 to 304000,0.25185571,0.11682051,0.06045085,0.07458435,36509.0,0.0207825,0.21766849,0.28604292,0.13574127
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 304000,0.16474048,0.07594675,0.03843773,0.050356,38764.0,0.01359422,0.14237799,0.18710297,0.13574373
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.4666282,0.18098566,0.11620825,0.16943429,93582.0,0.01856461,0.43608941,0.49716698,0.06544564
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 297000,0.54387187,0.21232922,0.13138347,0.20015917,30156.0,0.04332788,0.4725975,0.61514623,0.13104992
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,297000 to 425000,0.44015482,0.14701348,0.11959196,0.17354938,30487.0,0.03021764,0.3904468,0.48986284,0.11293303
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 425000,0.42041349,0.18373357,0.09918334,0.13749658,32939.0,0.03185491,0.36801216,0.47281483,0.12464237
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.14583495,0.08035645,0.02285936,0.04261914,12905.0,0.02498066,0.10474176,0.18692814,0.28177874
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 134000,0.19599905,0.12121934,0.02381519,0.05096452,4199.0,0.04700776,0.11867128,0.27332682,0.39453135
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,134000 to 199000,0.16309413,0.06686859,0.03867661,0.05754893,4292.0,0.04890478,0.08264576,0.24354249,0.49326341
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 199000,0.08133213,0.054599,0.00657,0.02016312,4414.0,0.03796853,0.01887389,0.14379036,0.7679405
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.39202667,0.14415415,0.11640197,0.13147054,36898.0,0.02928766,0.34384847,0.44020486,0.1228952
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 166000,0.47968972,0.16164818,0.151639,0.16640254,11989.0,0.06677606,0.3698431,0.58953633,0.22899514
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,166000 to 228000,0.46928666,0.16190555,0.15009908,0.15728203,12112.0,0.06865157,0.35635482,0.5822185,0.24064574
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 228000,0.23677424,0.11096351,0.05149644,0.07431429,12797.0,0.0347428,0.17962234,0.29392615,0.24137722
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.1729589,0.06360424,0.07643667,0.03291798,5377.0,0.08114997,0.0394672,0.3064506,0.77181168
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 95000,0.28614824,0.05893074,0.12940462,0.09781288,1646.0,0.21374706,-0.06546567,0.63776215,1.2287824
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,95000 to 117000,0.06976744,0.06090808,0.0,0.00885936,1806.0,0.04795735,-0.0091224,0.14865728,1.1307544
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 117000,0.17298701,0.07012987,0.10285714,0.0,1925.0,0.11317065,-0.01317871,0.35915274,1.0761832
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.27290107,0.1542138,0.068982,0.04970527,6277.0,0.05271917,0.18617804,0.3596241,0.31778193
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 113000,0.35066941,0.1791967,0.10453141,0.0669413,1942.0,0.0990033,0.18780899,0.51352984,0.46442723
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,113000 to 144000,0.39449976,0.19914651,0.10905642,0.08629682,2109.0,0.12778366,0.18429564,0.60470389,0.53283715
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 144000,0.08984726,0.08984726,0.0,0.0,2226.0,0.05180534,0.00462748,0.17506704,0.94849617
