Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.12035941,0.05004537,0.03128575,0.03902829
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,230000,0.15956623,0.069959,0.04182804,0.04777918
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,230000,0.07753266,0.02829313,0.01977011,0.02946943
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.3196115,0.14094791,0.07925653,0.09940707
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,250000,0.39333362,0.1787985,0.09500112,0.119534
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,250000,0.24196628,0.1010831,0.06267408,0.07820909
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.67182378,0.26928,0.17202948,0.23051431
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,340000,0.71176538,0.28818013,0.17521168,0.24837357
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,340000,0.63035159,0.24965559,0.16872533,0.21197066
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.16034294,0.07931412,0.04321416,0.03781467
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,200000,0.24510883,0.12864397,0.06899123,0.04747364
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,200000,0.07078816,0.02719736,0.01598079,0.02761001
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.39213291,0.17000883,0.09716401,0.12496006
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,230000,0.4684577,0.20064223,0.12622519,0.14159028
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,230000,0.31478573,0.13896509,0.06771356,0.10810709
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0654673,0.02948641,0.0129143,0.02306659
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,110000,0.0300174,0.01493619,0.0,0.01508121
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,110000,0.10307692,0.04492308,0.02661538,0.03153846
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30662462,0.15706961,0.07762126,0.07193375
"2-4 Units  (Own/Rent), 2 BR",    Below Median,143000,0.38420372,0.19971771,0.10127029,0.08321571
"2-4 Units  (Own/Rent), 2 BR",    Above Median,143000,0.22870644,0.11423509,0.05386887,0.06060248
"2-4 Units (Own/Rent), 3 BR",All Values,,0.42975041,0.20099355,0.11646168,0.11229518
"2-4 Units (Own/Rent), 3 BR",    Below Median,200000,0.64030653,0.31347764,0.15681782,0.17001106
"2-4 Units (Own/Rent), 3 BR",    Above Median,200000,0.21311875,0.08526376,0.07494107,0.05291392
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,150000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,150000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.06905127,0.033448,0.01778091,0.01782236
"5-49 Units (Own), 2 BR",    Below Median,200000,0.07633229,0.0411442,0.01677116,0.01841693
"5-49 Units (Own), 2 BR",    Above Median,200000,0.06087798,0.02480866,0.0189144,0.01715492
"5-49 Units (Own), 3 BR",All Values,,0.14162936,0.05944494,0.03871979,0.04346464
"5-49 Units (Own), 3 BR",    Below Median,280000,0.16813005,0.07119882,0.04755281,0.04937842
"5-49 Units (Own), 3 BR",    Above Median,280000,0.11350005,0.04696872,0.02934391,0.03718741
"5-49 Units (Rent), 0-1 BR",All Values,,0.05375407,0.03022086,0.00969428,0.01383893
"5-49 Units (Rent), 0-1 BR",    Below Median,132000,0.03879095,0.02282965,0.00570046,0.01026083
"5-49 Units (Rent), 0-1 BR",    Above Median,132000,0.06903504,0.03776907,0.01377293,0.01749304
"5-49 Units (Rent), 2 BR",All Values,,0.31385357,0.16856289,0.06820149,0.07708919
"5-49 Units (Rent), 2 BR",    Below Median,155000,0.32885287,0.1848279,0.07463692,0.06938804
"5-49 Units (Rent), 2 BR",    Above Median,155000,0.29866001,0.15208723,0.06168271,0.08489007
"5-49 Units (Rent), 3 BR",All Values,,0.79210445,0.37241211,0.16724298,0.25244935
"5-49 Units (Rent), 3 BR",    Below Median,171000,0.95091133,0.50607555,0.1809897,0.26384609
"5-49 Units (Rent), 3 BR",    Above Median,171000,0.63107143,0.236875,0.15330357,0.24089286
"50+ Units (Own), 0-1 BR",All Values,,0.00803389,0.00219106,0.00219106,0.00365177
"50+ Units (Own), 0-1 BR",    Below Median,270000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Above Median,270000,0.01724138,0.00470219,0.00470219,0.00783699
