Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.25651734,0.1355346,0.05321544,0.0677673,30649.0,0.02266874,0.21922726,0.29380742,0.14537061
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 221000,0.31254933,0.15203236,0.0640292,0.09648777,10136.0,0.04554089,0.23763457,0.38746409,0.23968941
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,221000 to 553000,0.2607776,0.13074134,0.05721193,0.07282434,9928.0,0.04086217,0.19355932,0.32799587,0.25776093
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 553000,0.19886632,0.1242324,0.03911195,0.03552197,10585.0,0.0302451,0.14911314,0.2486195,0.25018405
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36496905,0.17246327,0.08952422,0.10298156,128926.0,0.01477503,0.34066413,0.38927398,0.06659448
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 420000,0.50161059,0.24796031,0.11930122,0.13434906,42531.0,0.03643549,0.44167421,0.56154697,0.11948787
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,420000 to 793000,0.35457861,0.15260377,0.09779939,0.10417545,40307.0,0.0262212,0.31144474,0.39771248,0.12164827
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 793000,0.24796042,0.12016143,0.05480819,0.0729908,46088.0,0.0188543,0.21694509,0.27897575,0.12508177
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.50903865,0.22640712,0.12285807,0.15977346,82811.0,0.01723393,0.48068883,0.53738848,0.05569287
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 650000,0.68208613,0.30462209,0.15210453,0.22535952,26633.0,0.03992049,0.61641693,0.74775533,0.09627699
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,650000 to 942000,0.50983548,0.23959227,0.12446352,0.14577969,27960.0,0.0345143,0.45305945,0.5666115,0.11136146
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 942000,0.34492168,0.13952087,0.09366362,0.11173719,28218.0,0.02362859,0.30605264,0.38379072,0.11268946
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.24135056,0.14330971,0.04818674,0.04985411,11995.0,0.0358137,0.18243703,0.3002641,0.24409944
