Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.20411805,0.09481928,0.05311775,0.05618102,63331.0,0.01483864,0.17970848,0.22852762,0.11958556
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 120000,0.25301378,0.12935323,0.06104095,0.06261959,20904.0,0.02555303,0.21097904,0.29504851,0.16613615
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,120000 to 221000,0.14934086,0.07068152,0.04339155,0.03526779,20557.0,0.0199731,0.1164851,0.18219661,0.22000515
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.2088706,0.08449931,0.05468679,0.0696845,21870.0,0.02648301,0.16530604,0.25243516,0.208572
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36616245,0.16028665,0.08928747,0.11658833,224242.0,0.01180578,0.34674195,0.38558295,0.05303794
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 188000,0.46835862,0.22011877,0.10727621,0.14096364,72579.0,0.02450229,0.42805235,0.50866488,0.08605856
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,188000 to 314000,0.37317629,0.15927174,0.09314736,0.12075719,73271.0,0.02349176,0.33453235,0.41182023,0.10355411
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 314000,0.26498877,0.10583988,0.0690249,0.09012399,78392.0,0.01541565,0.23963003,0.29034752,0.09569743
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.74825473,0.29416958,0.18970497,0.26438018,171034.0,0.01870152,0.71749074,0.77901873,0.04111433
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 248000,0.79126494,0.34422056,0.18443289,0.26261149,55386.0,0.03719529,0.73007868,0.8524512,0.07732714
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,248000 to 400000,0.75540119,0.2846907,0.20295721,0.26775329,54849.0,0.03802052,0.69285744,0.81794495,0.08279541
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 400000,0.70262669,0.25712594,0.18255234,0.2629484,60799.0,0.0344872,0.64589525,0.75935813,0.08074194
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1590604,0.06901566,0.04105145,0.04899329,8940.0,0.03726075,0.09776647,0.22035433,0.38535003
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 107000,0.12405238,0.03859407,0.02825637,0.05720193,2902.0,0.04263612,0.05391597,0.19418879,0.5653774
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,107000 to 177000,0.27524205,0.14799447,0.0857538,0.04149378,2892.0,0.09139568,0.12489616,0.42558793,0.54623154
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 177000,0.08455181,0.02447552,0.01176097,0.04831532,3146.0,0.04598158,0.00891211,0.16019151,0.89459587
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.3651534,0.16231343,0.09338723,0.10945274,9648.0,0.06473818,0.25865909,0.47164771,0.29164266
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 144000,0.43321756,0.1897695,0.11840859,0.12503947,3167.0,0.10747532,0.25642066,0.61001446,0.40810188
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,144000 to 230000,0.55933791,0.26670831,0.13116802,0.16146159,3202.0,0.1335238,0.33969126,0.77898456,0.39269044
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 230000,0.10978957,0.03385178,0.03232693,0.04361086,3279.0,0.0359485,0.05065429,0.16892485,0.53862385
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.03247341,0.03066305,0.00113148,0.00067889,8838.0,0.0164109,0.00547747,0.05946935,0.83132433
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 61000,0.00221484,0.0,0.0,0.00221484,2709.0,0.00207224,-0.001194,0.00562368,1.5390908
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,61000 to 84000,0.01369863,0.01043705,0.00326158,0.0,3066.0,0.01489268,-0.01079983,0.03819709,1.7883874
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 84000,0.07802808,0.07802808,0.0,0.0,3063.0,0.04636672,0.00175482,0.15430133,0.9775104
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.23985827,0.12289502,0.04900673,0.06795653,25119.0,0.02561519,0.19772128,0.28199527,0.17567454
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 91000,0.23646275,0.13034525,0.06529376,0.04082374,8255.0,0.04303376,0.16567222,0.30725328,0.29937286
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,91000 to 113000,0.22275107,0.13957639,0.04236078,0.0408139,8404.0,0.04660212,0.14609059,0.29941155,0.34415315
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 113000,0.26016548,0.09905437,0.03971631,0.1213948,8460.0,0.06149891,0.15899978,0.36133119,0.38885137
"2-4 Units (Own/Rent), 3 BR",All Values,,0.67231963,0.33659097,0.20293188,0.13279678,6958.0,0.09719154,0.51243955,0.83219971,0.23780368
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 106000,0.80222325,0.39370079,0.24733673,0.16118573,2159.0,0.18444739,0.4988073,1.1056392,0.37821885
"2-4 Units (Own/Rent), 3 BR",Second Tercile,106000 to 142000,0.87913978,0.42064516,0.26967742,0.1888172,2325.0,0.20327935,0.54474526,1.2135343,0.38036559
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 142000,0.36459175,0.20776071,0.10145513,0.05537591,2474.0,0.15180623,0.1148705,0.614313,0.68493389
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,277.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 188000,0.0,0.0,0.0,0.0,45.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,188000 to 350000,0.0,0.0,0.0,0.0,102.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 350000,0.0,0.0,0.0,0.0,130.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.02852853,0.02852853,0.0,0.0,666.0,0.03242716,-0.02481415,0.08187121,1.8698013
"5-49 Units (Own), 2 BR",First Tercile,Below 216000,0.11585366,0.11585366,0.0,0.0,164.0,0.13570523,-0.10738144,0.33908876,1.9268714
"5-49 Units (Own), 2 BR",Second Tercile,216000 to 450000,0.0,0.0,0.0,0.0,247.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 450000,0.0,0.0,0.0,0.0,255.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.25757576,0.05151515,0.12424242,0.08181818,330.0,0.19342176,-0.06060305,0.57575456,1.2352824
"5-49 Units (Own), 3 BR",First Tercile,Below 143000,0.55102041,0.0,0.0,0.55102041,49.0,0.67843171,-0.56499976,1.6670406,2.0253699
"5-49 Units (Own), 3 BR",Second Tercile,143000 to 400000,0.33333333,0.0,0.33333333,0.0,123.0,0.38689232,-0.30310453,0.9697712,1.9093136
"5-49 Units (Own), 3 BR",Third Tercile ,Above 400000,0.10759494,0.10759494,0.0,0.0,158.0,0.14259106,-0.12696736,0.34215723,2.1800496
"5-49 Units (Rent), 0-1 BR",All Values,,0.02547582,0.01578201,0.00786145,0.00183237,16918.0,0.00712007,0.01376331,0.03718834,0.45975023
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 63000,0.05164754,0.03109959,0.02054795,0.0,5402.0,0.01998201,0.01877714,0.08451794,0.63643696
"5-49 Units (Rent), 0-1 BR",Second Tercile,63000 to 103000,0.02287401,0.01309721,0.00405829,0.0057185,5421.0,0.01198062,0.00316589,0.04258213,0.86159444
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 103000,0.00459393,0.00459393,0.0,0.0,6095.0,0.00351536,-0.00118884,0.0103767,1.2587859
"5-49 Units (Rent), 2 BR",All Values,,0.21053696,0.1454141,0.03200526,0.03311761,19778.0,0.03488526,0.15315071,0.26792321,0.27257091
"5-49 Units (Rent), 2 BR",First Tercile,Below 80000,0.26588496,0.18428141,0.03581049,0.04579306,6311.0,0.07357376,0.14485613,0.3869138,0.45519248
"5-49 Units (Rent), 2 BR",Second Tercile,80000 to 117000,0.19358256,0.12895414,0.04813077,0.01649765,6607.0,0.04653177,0.1170378,0.27012733,0.39541147
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,0.17594752,0.1255102,0.01297376,0.03746356,6860.0,0.05118257,0.0917522,0.26014284,0.47852519
"5-49 Units (Rent), 3 BR",All Values,,0.71532063,0.37161256,0.21518648,0.1285216,3727.0,0.15386443,0.46221365,0.96842762,0.35383711
"5-49 Units (Rent), 3 BR",First Tercile,Below 102000,1.0456989,0.51433692,0.29301075,0.23835125,1116.0,0.38137165,0.41834256,1.6730553,0.59993976
"5-49 Units (Rent), 3 BR",Second Tercile,102000 to 150000,0.7262181,0.35576179,0.26295437,0.10750193,1293.0,0.23469355,0.34014721,1.112289,0.53161838
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 150000,0.42488619,0.26631259,0.10242792,0.05614568,1318.0,0.16840621,0.14785798,0.7019144,0.65200568
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,77.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,65000 to 166000,0.0,0.0,0.0,0.0,14.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 166000,0.0,0.0,0.0,0.0,63.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,179.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,270000 to 459000,0.0,0.0,0.0,0.0,74.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 459000,0.0,0.0,0.0,0.0,105.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,77.0,.,.,.,.
"50+ Units (Own), 3 BR",First Tercile,Below 202000,0.0,0.0,0.0,0.0,14.0,.,.,.,.
"50+ Units (Own), 3 BR",Second Tercile,202000 to 470000,0.0,0.0,0.0,0.0,12.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 470000,0.0,0.0,0.0,0.0,51.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.02600129,0.01421189,0.00759044,0.00419897,6192.0,0.01329944,0.00412371,0.04787888,0.84140374
"50+ Units (Rent), 0-1 BR",First Tercile,Below 68000,0.00211864,0.00211864,0.0,0.0,1888.0,0.00200749,-0.00118367,0.00542096,1.5586927
"50+ Units (Rent), 0-1 BR",Second Tercile,68000 to 109000,0.07245039,0.03876327,0.02168897,0.01199815,2167.0,0.03851034,0.00910088,0.1357999,0.87438463
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 109000,0.0,0.0,0.0,0.0,2137.0,.,.,.,.
