Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.28770558,0.11301645,0.07902126,0.09566787,9972.0,0.05188785,0.20235006,0.37306109,0.2966766
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,270000,0.25636735,0.11786577,0.07901097,0.05949061,5379.0,0.06793951,0.14460687,0.36812784,0.43593884
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,270000,0.32440671,0.10733725,0.07903331,0.13803614,4593.0,0.09365974,0.17033643,0.47847698,0.47492937
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36809955,0.15979567,0.09034771,0.11795617,74977.0,0.02070533,0.33403929,0.40215981,0.09253003
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,286000,0.47789169,0.20949001,0.11787592,0.15052576,38040.0,0.03545402,0.41956983,0.53621356,0.12203993
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,286000,0.25502883,0.10861738,0.06199746,0.084414,36937.0,0.0247413,0.21432939,0.29572827,0.15958761
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.90944071,0.34312807,0.25315963,0.313153,69391.0,0.03723649,0.84818669,0.97069473,0.06735351
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,0.97997265,0.38989231,0.27742009,0.31266025,35102.0,0.06676412,0.87014567,1.0897996,0.11207148
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,0.83723643,0.29525504,0.22832395,0.31365744,34289.0,0.05480395,0.74708394,0.92738893,0.10767866
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.10008104,0.03727715,0.05267423,0.01012966,2468.0,0.04073555,0.03307105,0.16709102,0.66955728
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,175000,0.16082065,0.06088683,0.08338848,0.01654533,1511.0,0.0682078,0.04861882,0.27302248,0.697683
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,175000,0.00417973,0.0,0.00417973,0.0,957.0,0.00496792,-0.00399249,0.01235195,1.9552044
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.3879047,0.19161067,0.11525148,0.08104256,4911.0,0.09673691,0.22877248,0.54703692,0.41023534
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,187000,0.49269064,0.33544054,0.08850257,0.06874753,2531.0,0.13327183,0.27345848,0.71192279,0.44496919
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,187000,0.27647059,0.03865546,0.14369748,0.09411765,2380.0,0.13481858,0.05469402,0.49824716,0.80217056
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.18625678,0.18625678,0.0,0.0,1106.0,0.13343362,-0.03324152,0.40575508,1.1784714
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,78000,0.31306991,0.31306991,0.0,0.0,658.0,0.22996093,-0.06521582,0.69135564,1.2083107
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,78000,0.0,0.0,0.0,0.0,448.0,.,.,.,.
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.26488797,0.12382075,0.03242925,0.10863797,6784.0,0.06508411,0.15782461,0.37195133,0.40418354
"2-4 Units  (Own/Rent), 2 BR",    Below Median,106000,0.20126692,0.13907285,0.01698819,0.04520587,3473.0,0.05883288,0.10448683,0.298047,0.4808544
"2-4 Units  (Own/Rent), 2 BR",    Above Median,106000,0.33162187,0.10782241,0.04862579,0.17517366,3311.0,0.12429925,0.12714959,0.53609414,0.6165826
"2-4 Units (Own/Rent), 3 BR",All Values,,0.68370044,0.34008811,0.20969163,0.1339207,2270.0,0.20396737,0.34817412,1.0192268,0.49075049
"2-4 Units (Own/Rent), 3 BR",    Below Median,125000,0.77064956,0.33841219,0.25260626,0.17963111,1247.0,0.27228855,0.32273489,1.2185642,0.58121706
"2-4 Units (Own/Rent), 3 BR",    Above Median,125000,0.57771261,0.34213099,0.15738025,0.07820137,1023.0,0.32589992,0.04160725,1.113818,0.92797933
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,146.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,260000,0.0,0.0,0.0,0.0,146.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,101.0,.,.,.,.
