Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.19223389,0.08821172,0.04560299,0.05841918,452865.0,0.00480146,0.18433549,0.20013228,0.04108742
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,0.15518025,0.07047572,0.03649881,0.04820572,145128.0,0.00713745,0.14343916,0.16692135,0.07566103
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 160000,0.22039312,0.11163197,0.05059485,0.0581663,154660.0,0.00795344,0.20730972,0.23347652,0.05936394
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 160000,0.19891297,0.08136428,0.04919093,0.06835775,153077.0,0.00960476,0.18311313,0.2147128,0.07943091
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.39112906,0.16474842,0.0954003,0.13098035,1391285.0,0.00418235,0.38424909,0.39800903,0.01759002
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 140000,0.40050262,0.17039475,0.09816507,0.1319428,448846.0,0.00808245,0.387207,0.41379825,0.03319735
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,140000 to 246000,0.42038236,0.17912365,0.10252393,0.13873478,467208.0,0.00930471,0.4050761,0.43568861,0.03641031
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 246000,0.3535165,0.14528303,0.08578565,0.12244782,475231.0,0.00661759,0.34263056,0.36440244,0.03079329
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.65392105,0.26383106,0.16182459,0.2282654,986457.0,0.00696557,0.64246268,0.66537942,0.01752256
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 225000,0.69125261,0.27526898,0.16782943,0.24815421,324657.0,0.01322654,0.66949495,0.71301027,0.0314757
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,225000 to 387000,0.64074405,0.25771198,0.16199407,0.221038,317882.0,0.01210109,0.62083776,0.66065034,0.03106747
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 387000,0.63085968,0.25868957,0.1559994,0.21617072,343918.0,0.01080263,0.61308936,0.64863,0.02816842
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.16741949,0.08232102,0.03829001,0.04680845,139697.0,0.00839296,0.15361307,0.1812259,0.08246601
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 150000,0.19061822,0.09142744,0.04859756,0.05059321,45599.0,0.01865255,0.15993478,0.22130165,0.16096803
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,150000 to 210000,0.1866535,0.09892893,0.04301445,0.04471012,46589.0,0.01691657,0.15882575,0.21448126,0.14908777
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 210000,0.12629186,0.05729441,0.02376392,0.04523353,47509.0,0.01184903,0.10680021,0.14578351,0.15433816
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.43617178,0.1879182,0.11203272,0.13622086,122250.0,0.01874673,0.40533341,0.46701015,0.07070235
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 183000,0.55596242,0.2292035,0.15435123,0.1724077,39598.0,0.03783107,0.49373031,0.61819453,0.11193582
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,183000 to 270000,0.4843582,0.20116825,0.12181054,0.16137941,40916.0,0.03880518,0.42052368,0.54819272,0.13179197
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 270000,0.27527794,0.1357581,0.06229634,0.0772235,41736.0,0.01908393,0.24388487,0.306671,0.11404134
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.10113712,0.04947372,0.02390218,0.02776122,92251.0,0.00994428,0.08477878,0.11749545,0.16174418
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 75000,0.03284169,0.01927237,0.00878401,0.00478532,30510.0,0.00763932,0.02027501,0.04540838,0.38264424
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,75000 to 113000,0.12025862,0.06001326,0.03007294,0.03017241,30160.0,0.02248812,0.08326567,0.15725157,0.30761164
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 113000,0.14885532,0.06858554,0.03261455,0.04765524,31581.0,0.0214472,0.11357469,0.18413596,0.23701294
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.29702705,0.14132361,0.07444441,0.08125903,269127.0,0.00930383,0.28172225,0.31233186,0.05152664
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 103000,0.28697798,0.14065493,0.07554484,0.07077821,88742.0,0.01496789,0.2623558,0.31160016,0.08579814
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,103000 to 159000,0.40412803,0.19688459,0.09850323,0.10874021,90261.0,0.02186956,0.36815261,0.44010345,0.08901986
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 159000,0.19965825,0.0863366,0.04926546,0.06405619,90124.0,0.01413476,0.17640657,0.22290993,0.11645738
"2-4 Units (Own/Rent), 3 BR",All Values,,0.56737346,0.24777086,0.13705327,0.18254933,152189.0,0.01915926,0.53585648,0.59889045,0.05554892
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 130000,0.7001502,0.31076399,0.16873936,0.22064684,49935.0,0.04069105,0.63321341,0.76708698,0.09560346
"2-4 Units (Own/Rent), 3 BR",Second Tercile,130000 to 206000,0.71633023,0.31359407,0.1742036,0.22853257,50728.0,0.04273933,0.64602403,0.78663643,0.09814775
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 206000,0.29204673,0.12191903,0.0697706,0.1003571,51526.0,0.01974691,0.25956307,0.3245304,0.11122762
"5-49 Units (Own), 0-1 BR",All Values,,0.03553976,0.01680061,0.00698679,0.01175235,24761.0,0.01299239,0.01416728,0.05691224,0.60136828
"5-49 Units (Own), 0-1 BR",First Tercile,Below 105000,0.04950125,0.03092269,0.01234414,0.00623441,8020.0,0.03259837,-0.00412307,0.10312556,1.0832922
"5-49 Units (Own), 0-1 BR",Second Tercile,105000 to 199000,0.04879533,0.01581893,0.00900462,0.02397177,8218.0,0.01942506,0.01684111,0.08074954,0.65486221
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 199000,0.00962103,0.00445852,0.0,0.0051625,8523.0,0.00521143,0.00104822,0.01819383,0.89104894
"5-49 Units (Own), 2 BR",All Values,,0.09683003,0.05106125,0.01879927,0.02696951,90695.0,0.00836057,0.08307689,0.11058318,0.14203385
"5-49 Units (Own), 2 BR",First Tercile,Below 144000,0.13781936,0.06423174,0.03065851,0.04292911,27790.0,0.01804738,0.10813143,0.16750729,0.21541192
"5-49 Units (Own), 2 BR",Second Tercile,144000 to 249000,0.10622262,0.05877995,0.02013012,0.02731255,31048.0,0.01538625,0.08091224,0.13153301,0.2382768
"5-49 Units (Own), 2 BR",Third Tercile ,Above 249000,0.05191952,0.03204947,0.00715698,0.01271306,31857.0,0.01078672,0.03417536,0.06966367,0.34176274
"5-49 Units (Own), 3 BR",All Values,,0.21927172,0.10082818,0.05280224,0.0656413,22821.0,0.02142176,0.18403293,0.25451052,0.16070833
"5-49 Units (Own), 3 BR",First Tercile,Below 243000,0.29649986,0.11483946,0.08518947,0.09647093,6914.0,0.05982994,0.1980796,0.39492011,0.33194031
"5-49 Units (Own), 3 BR",Second Tercile,243000 to 471000,0.26044466,0.13449792,0.05362815,0.07231859,8186.0,0.0436778,0.18859468,0.33229465,0.27587429
