Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1609362,0.07926114,0.03512003,0.04655503,321469.0,0.00577587,0.1514349,0.1704375,0.05903768
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 84000,0.14230119,0.06818915,0.03142738,0.04268466,105354.0,0.0082509,0.12872847,0.15587392,0.09538028
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,84000 to 127000,0.20602169,0.10880306,0.04353418,0.05368444,108076.0,0.01222008,0.18591966,0.22612372,0.09757241
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 127000,0.13400716,0.06050593,0.03030387,0.04319736,108039.0,0.00971723,0.11802232,0.14999201,0.11928354
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35697287,0.15059088,0.08856298,0.117819,1029053.0,0.00412998,0.35017905,0.36376669,0.01903175
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 120000,0.39397396,0.16826135,0.09768957,0.12802303,329636.0,0.00935305,0.37858819,0.40935973,0.03905276
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,120000 to 188000,0.3708318,0.15933262,0.09473388,0.11676529,341694.0,0.00872413,0.3564806,0.38518299,0.03870001
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 188000,0.30963902,0.12595779,0.07425857,0.10942265,357723.0,0.00732569,0.29758826,0.32168978,0.03891874
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.68382507,0.27753301,0.17244115,0.23385092,528157.0,0.00891938,0.66915269,0.69849746,0.02145634
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 170000,0.70235774,0.29392073,0.17667225,0.23176477,173853.0,0.0175948,0.67341429,0.73130119,0.04120899
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,170000 to 297000,0.66806312,0.26829327,0.16417642,0.23559343,166851.0,0.0197151,0.63563179,0.70049446,0.04854532
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 297000,0.68066662,0.27055849,0.17587342,0.23423471,187453.0,0.01746673,0.65193385,0.70939939,0.04221269
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.17663411,0.09590533,0.03397821,0.04675056,53240.0,0.01603497,0.15025659,0.20301163,0.14933425
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 104000,0.29491776,0.17631324,0.04319618,0.07540834,17571.0,0.03839699,0.23175472,0.35808081,0.21417172
