Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13001866,0.0728364,0.02027739,0.03690486,12329.0,0.02259541,0.09284921,0.1671881,0.28587777
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.14964226,0.09316487,0.01187395,0.04460344,6569.0,0.03712297,0.08857497,0.21070955,0.40808853
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.10763889,0.04965278,0.02986111,0.028125,5760.0,0.03213165,0.05478233,0.16049545,0.4910545
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.45752724,0.20017054,0.11198484,0.14537186,52775.0,0.03097263,0.40657726,0.50847722,0.11135945
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,250000,0.53450633,0.22423719,0.14173143,0.16853771,27792.0,0.04953373,0.45302335,0.61598931,0.1524453
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,250000,0.37189289,0.17339791,0.07889365,0.11960133,24983.0,0.03814514,0.30914414,0.43464164,0.16872802
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.82469136,0.36044344,0.20192744,0.26232048,79380.0,0.02891646,0.77712377,0.87225894,0.05767926
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,325000,0.86852679,0.3936756,0.21054067,0.26431052,40320.0,0.04962678,0.78689074,0.95016284,0.0939937
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,325000,0.77944188,0.32613927,0.19303635,0.26026626,39060.0,0.04556601,0.70448579,0.85439798,0.09616637
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.10363698,0.0493349,0.00521973,0.04908234,11878.0,0.03751898,0.04191826,0.16535569,0.59552795
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,155000,0.12829213,0.06188399,0.004201,0.06220714,6189.0,0.0652008,0.02103681,0.23554745,0.83602417
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,155000,0.07681491,0.0356829,0.006328,0.03480401,5689.0,0.03207577,0.02405026,0.12957955,0.68690635
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.28024742,0.14045361,0.07620619,0.06358763,12125.0,0.05608901,0.18798101,0.37251384,0.32923199
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,188000,0.33654893,0.14983663,0.08355376,0.10315855,6427.0,0.07097499,0.21979508,0.45330279,0.34691494
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,188000,0.21674272,0.12987013,0.06791857,0.01895402,5698.0,0.07766339,0.08898645,0.34449899,0.58943743
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.01104101,0.0,0.01104101,0.0,1902.0,0.01585419,-0.01503913,0.03712115,2.3621152
