Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1816931,0.09117324,0.04340741,0.04711245,130093.0,0.0091392,0.16665911,0.19672709,0.08274388
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 70000,0.18500047,0.09480659,0.04940526,0.04078861,42708.0,0.0139391,0.16207064,0.20793029,0.12394468
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,70000 to 118000,0.22265113,0.11472955,0.05125866,0.05666292,42744.0,0.01569351,0.19683531,0.24846696,0.11594742
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 118000,0.1393114,0.06514191,0.03015165,0.04401783,44641.0,0.01676582,0.11173162,0.16689117,0.19797214
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.3815522,0.16903578,0.09158402,0.1209324,473314.0,0.00641919,0.37099264,0.39211177,0.02767529
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 100000,0.41049356,0.18108931,0.10099237,0.12841188,152665.0,0.01334362,0.38854331,0.43244382,0.05347284
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,100000 to 171000,0.44622442,0.20541775,0.10072475,0.14008192,156744.0,0.0143575,0.42260633,0.46984251,0.05292873
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 171000,0.29274885,0.12301638,0.0740795,0.09565297,163905.0,0.01162676,0.27362283,0.31187486,0.0653325
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.71174564,0.2852394,0.17950049,0.24700575,181097.0,0.0168935,0.68395583,0.73953544,0.03904457
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 156000,0.78337129,0.30905197,0.1882287,0.28609062,58838.0,0.0329477,0.72917232,0.83757026,0.06918683
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,156000 to 293000,0.72816195,0.2864166,0.19408012,0.24766522,58785.0,0.03039421,0.67816346,0.77816043,0.06866396
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 293000,0.63014778,0.26207581,0.15790717,0.21016479,63474.0,0.02953971,0.58155495,0.6787406,0.07711338
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.23653155,0.12580811,0.04802463,0.06269882,9745.0,0.03929219,0.17189591,0.3011672,0.27326438
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 87000,0.34604564,0.17317912,0.06533292,0.1075336,3199.0,0.10473885,0.17375023,0.51834105,0.49789794
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,87000 to 114000,0.26113484,0.13514338,0.0585723,0.06741916,3278.0,0.06801148,0.14925596,0.37301372,0.42843338
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 114000,0.10465116,0.07007344,0.02050184,0.01407589,3268.0,0.0378469,0.04239301,0.16690932,0.59491127
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.55456336,0.28233749,0.10952068,0.16270519,7615.0,0.09034564,0.40594478,0.70318194,0.26799206
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 107000,0.5759903,0.31689572,0.10590137,0.15319321,2474.0,0.14678135,0.33453499,0.81744561,0.41920031
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,107000 to 142000,0.84412955,0.43238866,0.17287449,0.2388664,2470.0,0.24065439,0.44825308,1.240006,0.46897596
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 142000,0.26694122,0.1115687,0.05428678,0.10108574,2671.0,0.093244,0.11355484,0.4203276,0.57460732
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05401376,0.02183637,0.01106248,0.02111491,20791.0,0.01253832,0.03338822,0.07463929,0.38185714
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 37000,0.0475825,0.02302379,0.00552571,0.019033,6515.0,0.01754361,0.01872326,0.07644175,0.60650959
