Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16413294,0.08233724,0.0330901,0.04870559,179117.0,0.00855209,0.15006475,0.17820113,0.08571215
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 79000,0.16744296,0.0786572,0.04058197,0.04820379,59041.0,0.01513199,0.14255084,0.19233509,0.14866033
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,79000 to 130000,0.20483777,0.1146551,0.03623321,0.05394945,59945.0,0.01440086,0.18114835,0.22852719,0.11564968
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 130000,0.120304,0.05373268,0.02260066,0.04397066,60131.0,0.01358649,0.09795422,0.14265378,0.18577752
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.33137389,0.14186386,0.08254236,0.10696766,639296.0,0.00532014,0.32262225,0.34012552,0.02641014
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 119000,0.36267744,0.15188648,0.09342436,0.1173666,203448.0,0.01056464,0.34529861,0.38005628,0.04791816
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,119000 to 189000,0.35571934,0.15812221,0.08663751,0.11095963,211248.0,0.01086022,0.33785428,0.37358441,0.05022236
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 189000,0.28012021,0.11749332,0.06883348,0.09379341,224600.0,0.0084488,0.26622194,0.29401848,0.04961538
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.61224426,0.25095653,0.16256499,0.19872273,317553.0,0.01042449,0.59509596,0.62939255,0.02800891
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 177000,0.69628354,0.30143648,0.18002035,0.2148267,102194.0,0.02313315,0.65822951,0.73433757,0.05465307
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,177000 to 313000,0.63094973,0.26027512,0.16496807,0.20570654,107736.0,0.02380721,0.59178687,0.67011259,0.0620697
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 313000,0.51371919,0.19369466,0.14358455,0.17643998,107623.0,0.01687035,0.48596746,0.54147091,0.0540212
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.14767683,0.0831607,0.03466791,0.02984822,23653.0,0.01987792,0.11497765,0.180376,0.22142389
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 101000,0.27235879,0.15520397,0.05753138,0.05962343,7648.0,0.0516845,0.18733779,0.35737978,0.31216542
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,101000 to 151000,0.15055407,0.0841931,0.04649089,0.01987008,7851.0,0.03129052,0.09908116,0.20202698,0.34188988
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 151000,0.02796174,0.01459406,0.00183959,0.01152808,8154.0,0.01473167,0.00372815,0.05219533,0.86666971
