Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.20281661,0.10737048,0.03592722,0.05951891,19456.0,0.03020598,0.15312777,0.25250545,0.24499394
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,125000,0.27550403,0.13266129,0.06008065,0.0827621,9920.0,0.05247982,0.18917473,0.36183334,0.31335042
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,125000,0.12720218,0.08106124,0.01080117,0.03533977,9536.0,0.02718021,0.08249073,0.17191363,0.35149906
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43379596,0.18806409,0.10521413,0.14051773,127749.0,0.01513351,0.40890134,0.45869058,0.05738786
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,185000,0.49555329,0.21961662,0.12028663,0.15565003,66566.0,0.02472864,0.45487467,0.5362319,0.08208727
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,185000,0.3666051,0.15373551,0.08881552,0.12405407,61183.0,0.02101252,0.33203951,0.40117069,0.09428562
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.79871594,0.32328102,0.21736929,0.25806563,86912.0,0.02714665,0.7540597,0.84337218,0.05591004
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,290000,0.88313433,0.37674583,0.23119796,0.27519055,45394.0,0.04351991,0.81154408,0.95472459,0.08106384
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,290000,0.70641649,0.2648249,0.20224963,0.23934197,41518.0,0.03559561,0.64786171,0.76497128,0.08288989
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12319324,0.05792751,0.03802535,0.02724038,8994.0,0.02705483,0.07868804,0.16769844,0.36126334
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,145000,0.19987429,0.09113765,0.06851037,0.04022627,4773.0,0.04876472,0.11965632,0.28009226,0.40134211
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,145000,0.03648425,0.02037432,0.00355366,0.01255627,4221.0,0.02484519,-0.0043861,0.07735459,1.1202189
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.32089249,0.19269777,0.06720757,0.06098715,7395.0,0.06391782,0.21574767,0.42603732,0.3276637
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,169000,0.53552492,0.3295334,0.10763521,0.09835631,3772.0,0.12127302,0.33603081,0.73501903,0.37252069
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,169000,0.09743307,0.05023461,0.02511731,0.02208115,3623.0,0.02911075,0.04954589,0.14532025,0.49148798
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.00487805,0.0,0.0,0.00487805,3895.0,0.0052203,-0.00370935,0.01346544,1.7604157
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,77000,0.0,0.0,0.0,0.0,2291.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,77000,0.01184539,0.0,0.0,0.01184539,1604.0,0.01272383,-0.00908532,0.03277609,1.766992
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.24204682,0.16866747,0.03518908,0.03819028,13328.0,0.04207404,0.17283503,0.31125861,0.28594382
"2-4 Units  (Own/Rent), 2 BR",    Below Median,91000,0.24118235,0.16749964,0.04755105,0.02613166,7003.0,0.06592078,0.13274267,0.34962203,0.44961699
"2-4 Units  (Own/Rent), 2 BR",    Above Median,91000,0.24300395,0.16996047,0.02150198,0.0515415,6325.0,0.04980379,0.16107671,0.32493119,0.33714365
"2-4 Units (Own/Rent), 3 BR",All Values,,0.70043152,0.29161935,0.21462639,0.19418578,4403.0,0.13925208,0.47136185,0.9295012,0.32704078
"2-4 Units (Own/Rent), 3 BR",    Below Median,118000,0.63391376,0.18200663,0.18532338,0.26658375,2412.0,0.17943228,0.33874766,0.92907987,0.46562501
"2-4 Units (Own/Rent), 3 BR",    Above Median,118000,0.78101457,0.42440984,0.25012557,0.10647916,1991.0,0.2300342,0.40260831,1.1594208,0.48450602
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,209.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,200000,0.0,0.0,0.0,0.0,146.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,200000,0.0,0.0,0.0,0.0,63.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.12280084,0.02850106,0.01548205,0.07881773,2842.0,0.05432484,0.03343649,0.2121652,0.72771775
"5-49 Units (Own), 2 BR",    Below Median,140000,0.15636588,0.01915946,0.0092707,0.12793572,1618.0,0.09513913,-0.00013798,0.31286975,1.0008824
"5-49 Units (Own), 2 BR",    Above Median,140000,0.07843137,0.04084967,0.02369281,0.01388889,1224.0,0.05035207,-0.00439779,0.16126053,1.0560718
"5-49 Units (Own), 3 BR",All Values,,0.2233677,0.11168385,0.11168385,0.0,582.0,0.20632344,-0.11603437,0.56276976,1.5194769
"5-49 Units (Own), 3 BR",    Below Median,190000,0.26915114,0.13457557,0.13457557,0.0,483.0,0.25181902,-0.14509114,0.68339342,1.5390694
"5-49 Units (Own), 3 BR",    Above Median,190000,0.0,0.0,0.0,0.0,99.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.01977612,0.00574627,0.01402985,0.0,13400.0,0.01058807,0.00235874,0.0371935,0.88072797
"5-49 Units (Rent), 0-1 BR",    Below Median,85000,0.02346621,0.0,0.02346621,0.0,7074.0,0.01778773,-0.0057946,0.05272703,1.2469337
"5-49 Units (Rent), 0-1 BR",    Above Median,85000,0.0156497,0.01217199,0.00347771,0.0,6326.0,0.01088519,-0.00225645,0.03355585,1.1441846
"5-49 Units (Rent), 2 BR",All Values,,0.20622774,0.1200308,0.04191934,0.0442776,20778.0,0.02889392,0.15869725,0.25375824,0.23047576
"5-49 Units (Rent), 2 BR",    Below Median,106000,0.22056897,0.14402021,0.04239191,0.03415684,10686.0,0.04076802,0.15350557,0.28763237,0.3040473
"5-49 Units (Rent), 2 BR",    Above Median,106000,0.19104241,0.09462941,0.04141895,0.05499405,10092.0,0.04007524,0.12511864,0.25696618,0.345074
"5-49 Units (Rent), 3 BR",All Values,,0.61547479,0.30762016,0.13059789,0.17725674,4265.0,0.13025371,0.40120744,0.82974214,0.34813343
"5-49 Units (Rent), 3 BR",    Below Median,117000,0.48140044,0.22013129,0.11466083,0.14660832,2285.0,0.14709178,0.23943445,0.72336642,0.50262934
"5-49 Units (Rent), 3 BR",    Above Median,117000,0.77020202,0.40858586,0.1489899,0.21262626,1980.0,0.21252144,0.42060426,1.1197998,0.45390398
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,207.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,180000,0.0,0.0,0.0,0.0,207.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,280.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,394000,0.0,0.0,0.0,0.0,187.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,394000,0.0,0.0,0.0,0.0,93.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,4002.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Below Median,120000,0.0,0.0,0.0,0.0,2193.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Above Median,120000,0.0,0.0,0.0,0.0,1809.0,.,.,.,.
"50+ Units (Rent), 2 BR",All Values,,0.02920204,0.01528014,0.0139219,0.0,2945.0,0.01637754,0.00226099,0.05614309,0.92257438
"50+ Units (Rent), 2 BR",    Below Median,138000,0.03513338,0.00845804,0.02667534,0.0,1537.0,0.02208596,-0.00119802,0.07146478,1.0340993
"50+ Units (Rent), 2 BR",    Above Median,138000,0.02272727,0.02272727,0.0,0.0,1408.0,0.02316744,-0.01538316,0.0608377,1.676859
"50+ Units (Rent), 3 BR",All Values,,0.52195122,0.0,0.2195122,0.30243902,205.0,0.42004865,-0.16902882,1.2129313,1.3238403
"50+ Units (Rent), 3 BR",    Below Median,154000,0.52195122,0.0,0.2195122,0.30243902,205.0,0.42004865,-0.16902882,1.2129313,1.3238403
All Housing Types (Own) 0-1 BR,All Values,,0.09378265,0.0292581,0.04258098,0.02194357,3828.0,0.04477189,0.02013289,0.16743242,0.78532395
All Housing Types (Own) 0-1 BR,    Below Median,100000,0.0,0.0,0.0,0.0,2063.0,.,.,.,.
All Housing Types (Own) 0-1 BR,    Above Median,100000,0.20339943,0.06345609,0.09235127,0.04759207,1765.0,0.09950977,0.03970587,0.367093,0.80478869
All Housing Types (Own) 2 BR,All Values,,0.11983294,0.05667669,0.01994613,0.04321012,25619.0,0.01839804,0.08956816,0.15009772,0.25255812
All Housing Types (Own) 2 BR,    Below Median,150000,0.14896287,0.05890603,0.03085554,0.0592013,13547.0,0.02949412,0.10044504,0.1974807,0.32570418
All Housing Types (Own) 2 BR,    Above Median,150000,0.0871438,0.05417495,0.00770378,0.02526508,12072.0,0.0195987,0.05490395,0.11938366,0.36996155
All Housing Types (Own) 3 BR,All Values,,0.38556347,0.16511522,0.09071891,0.12972934,123326.0,0.0149939,0.36089849,0.41022844,0.06397124
All Housing Types (Own) 3 BR,    Below Median,200000,0.41958009,0.18046052,0.09577592,0.14334364,64014.0,0.02184953,0.38363762,0.45552256,0.08566295
