Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.19513055,0.09793942,0.04804517,0.04914596,161702.0,0.00994518,0.17877073,0.21149036,0.08384036
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 86000,0.19269925,0.09658928,0.03872774,0.05738224,52159.0,0.01644476,0.16564762,0.21975087,0.14038262
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,86000 to 148000,0.26058422,0.14888689,0.05928636,0.05241098,54397.0,0.02005194,0.22759879,0.29356966,0.12658262
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 148000,0.13286548,0.04896094,0.04576941,0.03813513,55146.0,0.01531349,0.10767479,0.15805618,0.18959551
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.33669521,0.14439534,0.08180175,0.11049813,664509.0,0.00598637,0.32684764,0.34654279,0.02924774
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 134000,0.39369165,0.1690972,0.09590491,0.12868954,217236.0,0.01254066,0.37306227,0.41432103,0.05239984
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,134000 to 210000,0.37082778,0.16157728,0.09021603,0.11903446,215383.0,0.01285924,0.34967432,0.39198124,0.05704388
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 210000,0.25159774,0.10529561,0.06077451,0.08552762,231890.0,0.0083844,0.2378054,0.26539008,0.054819
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.54415772,0.21600768,0.1378289,0.19032114,295758.0,0.01237428,0.52380203,0.56451341,0.0374077
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 205000,0.66943096,0.25433662,0.18541138,0.22968296,93333.0,0.02678853,0.62536382,0.7134981,0.06582776
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,205000 to 325000,0.56478381,0.22560407,0.13341458,0.20576515,94360.0,0.02473445,0.52409563,0.60547198,0.07204204
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 325000,0.41795216,0.17452459,0.10058761,0.14283996,108065.0,0.01779169,0.38868483,0.44721949,0.07002555
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.20632551,0.09768158,0.05644447,0.05219947,21437.0,0.02900507,0.15861217,0.25403885,0.23125274
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 109000,0.27133758,0.11295117,0.06864827,0.08973815,7065.0,0.04868042,0.19125829,0.35141687,0.29512791
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,109000 to 152000,0.24971412,0.13050314,0.08647799,0.03273299,6996.0,0.06357131,0.14513932,0.35428893,0.41877809
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 152000,0.1029013,0.05192516,0.01626898,0.03470716,7376.0,0.02485396,0.06201653,0.14378607,0.39732024
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46130665,0.23017117,0.10354388,0.12759161,16592.0,0.04268943,0.39108255,0.53153076,0.15222869
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 130000,0.57899663,0.24148259,0.1739049,0.16360914,5342.0,0.08814521,0.43399776,0.7239955,0.25043128
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,130000 to 183000,0.47521708,0.29956585,0.05571635,0.11993488,5528.0,0.08016136,0.34335163,0.60708252,0.27748465
