Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.10630422,0.05255405,0.02665475,0.02709543,79423.0,0.00906879,0.09138606,0.12122238,0.1403346
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 138000,0.12213888,0.06066347,0.02942314,0.03205227,25864.0,0.01355003,0.09984908,0.14442868,0.18249554
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,138000 to 228000,0.11660232,0.06169478,0.0328795,0.02202804,24605.0,0.01517906,0.09163277,0.14157186,0.21414279
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 228000,0.08340816,0.03754231,0.01889204,0.02697382,28954.0,0.01671639,0.05590971,0.11090662,0.32968546
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.31232351,0.1332417,0.0761702,0.1029116,186976.0,0.00975077,0.29628348,0.32836353,0.05135708
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 170000,0.34813112,0.14518283,0.08467871,0.11826957,59153.0,0.01989941,0.31539659,0.38086565,0.09402931
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,170000 to 281000,0.30723966,0.13270004,0.07790818,0.09663144,61688.0,0.01612993,0.28070593,0.33377339,0.08636168
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 281000,0.28503818,0.12306645,0.06693884,0.09503289,66135.0,0.01559929,0.25937734,0.31069902,0.09002596
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.56713488,0.22888443,0.14411844,0.194132,92195.0,0.02093246,0.53270097,0.60156878,0.06071554
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 200000,0.59662836,0.24654721,0.15099526,0.19908588,30193.0,0.04343372,0.52517988,0.66807683,0.11975374
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,200000 to 350000,0.55360172,0.19997231,0.14590328,0.20772612,28889.0,0.04770559,0.47512602,0.63207742,0.1417548
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 350000,0.55204904,0.2380032,0.13629088,0.17775496,33113.0,0.0419862,0.48298174,0.62111635,0.12511082
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11378738,0.05177187,0.03446844,0.02754707,7224.0,0.03125269,0.0623767,0.16519805,0.45181353
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 163000,0.22755282,0.1346831,0.05809859,0.03477113,2272.0,0.08528174,0.08726436,0.36784127,0.61650942
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,163000 to 266000,0.06733584,0.02843998,0.02467587,0.01421999,2391.0,0.02984455,0.01824156,0.11643013,0.72909584
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 266000,0.05622804,0.0,0.0226474,0.03358063,2561.0,0.04848186,-0.02352463,0.1359807,1.418379
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.33053915,0.14821871,0.05601067,0.12630977,5249.0,0.07556591,0.20623323,0.45484507,0.37607018
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 191000,0.54513064,0.25771971,0.06650831,0.22090261,1684.0,0.17747031,0.25319198,0.8370693,0.5355389
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,191000 to 314000,0.34620596,0.13075881,0.12195122,0.09349593,1476.0,0.15191982,0.09629786,0.59611407,0.72184806
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 314000,0.14648157,0.07228339,0.0009574,0.07324079,2089.0,0.07607337,0.02134087,0.27162227,0.8543102
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.03854106,0.0264539,0.00604358,0.00604358,18863.0,0.00992326,0.0222173,0.05486481,0.42354196
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 72000,0.02766393,0.01485656,0.00563525,0.00717213,5856.0,0.01384182,0.00489414,0.05043373,0.82308594
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,72000 to 99000,0.0324575,0.02302937,0.00432767,0.00510046,6470.0,0.01868353,0.00172308,0.06319191,0.94691261
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 99000,0.05430626,0.04023252,0.00810769,0.00596604,6537.0,0.01987267,0.02161571,0.0869968,0.60196645
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.18186467,0.09685287,0.0413454,0.0436664,25420.0,0.02585884,0.13932687,0.22440247,0.23389809
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 103000,0.19749787,0.14684805,0.01093162,0.03971821,8233.0,0.04303926,0.1266983,0.26829745,0.35848273
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,103000 to 145000,0.19759991,0.0583712,0.08703251,0.0521962,8583.0,0.04553954,0.12268737,0.27251244,0.37911221
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 145000,0.15120874,0.08740121,0.02487215,0.03893538,8604.0,0.03533608,0.09308088,0.2093366,0.38442129
"2-4 Units (Own/Rent), 3 BR",All Values,,0.52550529,0.22442908,0.15154432,0.14953189,11429.0,0.07677865,0.39920442,0.65180616,0.24034177
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 118000,0.73472712,0.33559598,0.22264458,0.17648656,3683.0,0.18278428,0.43404699,1.0354073,0.40924055
"2-4 Units (Own/Rent), 3 BR",Second Tercile,118000 to 178000,0.57244591,0.24157765,0.16570803,0.16516023,3651.0,0.13126481,0.3565153,0.78837651,0.37720701
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 178000,0.2954823,0.10915751,0.07496947,0.11135531,4095.0,0.0912308,0.14540763,0.44555696,0.50789733
"5-49 Units (Own), 0-1 BR",All Values,,0.00529101,0.0,0.00529101,0.0,1134.0,0.005728,-0.00413155,0.01471356,1.7808637
"5-49 Units (Own), 0-1 BR",First Tercile,Below 150000,0.0,0.0,0.0,0.0,233.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,150000 to 250000,0.01652893,0.0,0.01652893,0.0,363.0,0.01864662,-0.01414477,0.04720262,1.8557586
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 250000,0.0,0.0,0.0,0.0,538.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.01669275,0.0,0.01669275,0.0,1917.0,0.01688922,-0.01109001,0.04447551,1.664361
"5-49 Units (Own), 2 BR",First Tercile,Below 185000,0.0,0.0,0.0,0.0,530.0,.,.,.,.
"5-49 Units (Own), 2 BR",Second Tercile,185000 to 300000,0.0463097,0.0,0.0463097,0.0,691.0,0.04759021,-0.0319762,0.1245956,1.6904861
"5-49 Units (Own), 2 BR",Third Tercile ,Above 300000,0.0,0.0,0.0,0.0,696.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,534.0,.,.,.,.
"5-49 Units (Own), 3 BR",First Tercile,Below 265000,0.0,0.0,0.0,0.0,89.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,265000 to 414000,0.0,0.0,0.0,0.0,129.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 414000,0.0,0.0,0.0,0.0,316.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.01107288,0.01079606,0.0,0.00027682,25287.0,0.00476226,0.00323896,0.01890681,0.70748708
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 56000,0.00516827,0.00516827,0.0,0.0,8320.0,0.00494111,-0.00295986,0.0132964,1.5726993
"5-49 Units (Rent), 0-1 BR",Second Tercile,56000 to 93000,0.0,0.0,0.0,0.0,8157.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 93000,0.02690125,0.0261067,0.0,0.00079455,8810.0,0.01214274,0.00692644,0.04687606,0.74252349
"5-49 Units (Rent), 2 BR",All Values,,0.20782236,0.10717655,0.03519338,0.06545243,13781.0,0.03455544,0.15097867,0.26466606,0.27352058
"5-49 Units (Rent), 2 BR",First Tercile,Below 92000,0.18604651,0.12710108,0.01565738,0.04328805,4343.0,0.06494052,0.07921936,0.29287367,0.57419595
"5-49 Units (Rent), 2 BR",Second Tercile,92000 to 121000,0.12508087,0.03428941,0.05197326,0.0388182,4637.0,0.04026274,0.05884866,0.19131308,0.52951512
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 121000,0.30743595,0.15955009,0.03665903,0.11122683,4801.0,0.09032452,0.15885212,0.45601978,0.4833001
"5-49 Units (Rent), 3 BR",All Values,,0.95076008,0.56543291,0.19431593,0.19101124,3026.0,0.23185466,0.56935916,1.332161,0.40115369
"5-49 Units (Rent), 3 BR",First Tercile,Below 76000,0.63892013,0.28121485,0.27221597,0.08548931,889.0,0.26772845,0.19850684,1.0793334,0.68930884
"5-49 Units (Rent), 3 BR",Second Tercile,76000 to 119000,1.314121,0.6493756,0.30643612,0.35830932,1041.0,0.50390359,0.48519963,2.1430424,0.6307801
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 119000,0.85857664,0.71624088,0.02463504,0.11770073,1096.0,0.32585241,0.32254943,1.3946039,0.62432075
"50+ Units (Own), 0-1 BR",All Values,,0.09594096,0.09594096,0.0,0.0,271.0,0.10498105,-0.07675286,0.26863478,1.800001
"50+ Units (Own), 0-1 BR",First Tercile,Below 324000,0.0,0.0,0.0,0.0,12.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,324000 to 397000,0.42622951,0.42622951,0.0,0.0,61.0,0.50187403,-0.39935328,1.2518123,1.9369442
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 397000,0.0,0.0,0.0,0.0,198.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.06447188,0.0,0.04115226,0.02331962,729.0,0.05186447,-0.02084518,0.14978894,1.323322
"50+ Units (Own), 2 BR",First Tercile,Below 144000,0.0,0.0,0.0,0.0,63.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,144000 to 300000,0.0,0.0,0.0,0.0,316.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 300000,0.13428571,0.0,0.08571429,0.04857143,350.0,0.11087053,-0.04809631,0.31666774,1.358164
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,55.0,.,.,.,.
"50+ Units (Own), 3 BR",First Tercile,Below 100000,0.0,0.0,0.0,0.0,10.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 100000,0.0,0.0,0.0,0.0,45.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.00039216,0.0,0.0,0.00039216,7650.0,0.00049072,-0.00041508,0.00119939,2.0584466
"50+ Units (Rent), 0-1 BR",First Tercile,Below 33000,0.0,0.0,0.0,0.0,2302.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",Second Tercile,33000 to 97000,0.0,0.0,0.0,0.0,2724.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 97000,0.00114329,0.0,0.0,0.00114329,2624.0,0.00143825,-0.00122263,0.00350922,2.0693943
"50+ Units (Rent), 2 BR",All Values,,0.02337023,0.02337023,0.0,0.0,1626.0,0.0238207,-0.01581482,0.06255528,1.6767076
"50+ Units (Rent), 2 BR",First Tercile,Below 83000,0.09223301,0.09223301,0.0,0.0,412.0,0.09968119,-0.07174254,0.25620856,1.7778402
"50+ Units (Rent), 2 BR",Second Tercile,83000 to 170000,0.0,0.0,0.0,0.0,568.0,.,.,.,.
"50+ Units (Rent), 2 BR",Third Tercile ,Above 170000,0.0,0.0,0.0,0.0,646.0,.,.,.,.
"50+ Units (Rent), 3 BR",All Values,,0.0,0.0,0.0,0.0,158.0,.,.,.,.
"50+ Units (Rent), 3 BR",First Tercile,Below 125000,0.0,0.0,0.0,0.0,28.0,.,.,.,.
"50+ Units (Rent), 3 BR",Second Tercile,125000 to 199000,0.0,0.0,0.0,0.0,7.0,.,.,.,.
"50+ Units (Rent), 3 BR",Third Tercile ,Above 199000,0.0,0.0,0.0,0.0,123.0,.,.,.,.
All Housing Types (Own) 0-1 BR,All Values,,0.0283885,0.01214061,0.01032858,0.0059193,16556.0,0.00918612,0.01327733,0.04349967,0.5322991
All Housing Types (Own) 0-1 BR,First Tercile,Below 120000,0.04384779,0.00888545,0.02182731,0.01313502,5177.0,0.02030053,0.01045341,0.07724216,0.76159769
All Housing Types (Own) 0-1 BR,Second Tercile,120000 to 221000,0.01288475,0.00697924,0.00089477,0.00501074,5588.0,0.00726502,0.0009338,0.02483571,0.92752673
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 221000,0.02952858,0.02003108,0.00915213,0.00034536,5791.0,0.01456273,0.00557288,0.05348428,0.81127165
All Housing Types (Own) 2 BR,All Values,,0.09237165,0.04138287,0.02440227,0.0265865,85156.0,0.00858144,0.07825517,0.10648812,0.15282261
All Housing Types (Own) 2 BR,First Tercile,Below 150000,0.0922358,0.03986341,0.02498203,0.02739037,27820.0,0.01379539,0.06954238,0.11492922,0.24603699
All Housing Types (Own) 2 BR,Second Tercile,150000 to 250000,0.11022311,0.04917305,0.02886003,0.03219003,27027.0,0.01560567,0.08455179,0.13589443,0.23290326
All Housing Types (Own) 2 BR,Third Tercile ,Above 250000,0.07657791,0.03583094,0.01989508,0.02085189,30309.0,0.01458734,0.05258175,0.10057408,0.31335625
All Housing Types (Own) 3 BR,All Values,,0.29591522,0.12468253,0.07237587,0.09885682,184661.0,0.00939114,0.28046679,0.31136365,0.0522056
