Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1205071,0.06230642,0.03378232,0.02441835,13883.0,0.02249258,0.08350679,0.1575074,0.30703836
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.15299641,0.06890362,0.05136703,0.03272577,7242.0,0.0348693,0.0956364,0.21035642,0.3749108
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.08507755,0.05511218,0.01460623,0.01535913,6641.0,0.02387097,0.0458098,0.12434529,0.46155239
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.45233015,0.19344556,0.11707368,0.1418109,37959.0,0.0294179,0.4039377,0.50072259,0.1069848
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,275000,0.49698432,0.21677724,0.14123442,0.13897266,19896.0,0.0418561,0.42813104,0.5658376,0.13854215
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,275000,0.40314455,0.16774622,0.09046116,0.14493716,18063.0,0.04088775,0.3358842,0.4704049,0.16683928
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.94267662,0.41924182,0.25818495,0.26524986,17410.0,0.08367703,0.80502791,1.0803253,0.14601901
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,0.96680269,0.41083048,0.28090879,0.27506342,9067.0,0.10577037,0.79281044,1.1407949,0.17996666
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,0.91645691,0.42838308,0.23348915,0.25458468,8343.0,0.14421397,0.67922494,1.1536889,0.25885775
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.05831996,0.02728732,0.00374532,0.02728732,1869.0,0.03447259,0.00161255,0.11502736,0.97234989
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,250000,0.10158434,0.04753029,0.00652377,0.04753029,1073.0,0.06260473,-0.00140043,0.20456912,1.0137859
