Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13684575,0.06618563,0.03111559,0.03954453,92301.0,0.00977003,0.12077406,0.15291745,0.11744386
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 166000,0.14854417,0.07017602,0.04211219,0.03625596,30395.0,0.01690975,0.12072762,0.17636071,0.1872611
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,166000 to 291000,0.11673464,0.06249782,0.01711457,0.03712224,28689.0,0.01444377,0.09297464,0.14049464,0.20353855
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 291000,0.14351085,0.06571936,0.03314568,0.04464581,33217.0,0.01868515,0.11277378,0.17424793,0.21417945
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.28952126,0.12405956,0.06906838,0.09639332,462947.0,0.00569473,0.28015344,0.29888909,0.03235626
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 245000,0.31481148,0.14176268,0.07809505,0.09495375,149715.0,0.01261567,0.29405869,0.33556426,0.0659213
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,245000 to 371000,0.28975193,0.12194062,0.06763689,0.10017441,156527.0,0.01136415,0.27105791,0.30844595,0.06451733
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 371000,0.26512875,0.10926263,0.06187422,0.0939919,156705.0,0.00984872,0.2489276,0.28132989,0.06110672
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.51572343,0.20841382,0.12792315,0.17938646,602604.0,0.00698461,0.50423375,0.52721311,0.02227876
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 366000,0.54234242,0.22457793,0.13054574,0.18721875,198666.0,0.0169669,0.51443188,0.57025297,0.05146296
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,366000 to 550000,0.49962578,0.19705259,0.12526486,0.17730833,189726.0,0.01347031,0.47746712,0.52178443,0.04435051
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 550000,0.50529382,0.20348533,0.12784531,0.17396318,214212.0,0.01204425,0.48548103,0.52510662,0.03921044
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.21660176,0.10987926,0.05061671,0.05610579,92183.0,0.01204983,0.19677979,0.23642373,0.09151342
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 147000,0.25732355,0.13654237,0.06353627,0.0572449,30518.0,0.02675959,0.21330403,0.30134307,0.17106682
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,147000 to 231000,0.24087492,0.12036974,0.0536331,0.06687208,29534.0,0.02210651,0.20450972,0.27724013,0.15097133
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 231000,0.15561296,0.07491208,0.03557312,0.04512776,32131.0,0.01789405,0.12617724,0.18504868,0.1891598
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.40971161,0.18356289,0.10480271,0.12134602,305078.0,0.01048269,0.39246759,0.42695564,0.0420882
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 191000,0.47525462,0.21177185,0.12318429,0.14029848,100443.0,0.02352458,0.4365567,0.51395255,0.08142567
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,191000 to 297000,0.44374688,0.20102969,0.11315605,0.12956113,100030.0,0.02213179,0.40734008,0.48015367,0.08204406
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 297000,0.31422972,0.13977343,0.07916448,0.09529181,104605.0,0.01297612,0.29288401,0.33557544,0.06793029
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07070844,0.03795927,0.01803234,0.01471683,29558.0,0.01297691,0.04936142,0.09205546,0.30190204
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 92000,0.01767651,0.00664146,0.00163482,0.00940022,9787.0,0.0089038,0.00302975,0.03232327,0.82860015
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,92000 to 129000,0.06004953,0.03043747,0.01320677,0.01640528,9692.0,0.01724388,0.03168335,0.0884157,0.47237973
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 129000,0.13245362,0.07560274,0.0385951,0.01825578,10079.0,0.03498403,0.07490489,0.19000234,0.43448212
