Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13599137,0.06231531,0.0317138,0.04196226,180710.0,0.00570623,0.12660461,0.14537812,0.06902463
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 237000,0.15983049,0.06790815,0.03948388,0.05243846,58049.0,0.0117175,0.1405552,0.17910578,0.12059834
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,237000 to 387000,0.13085209,0.06154191,0.02787944,0.04143074,57928.0,0.00882775,0.11633045,0.14537374,0.11097756
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 387000,0.11921277,0.05799206,0.02817728,0.03304342,64733.0,0.00931201,0.10389452,0.13453102,0.12849504
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.3588186,0.15129869,0.08447122,0.12304869,670832.0,0.00455772,0.35132114,0.36631606,0.02089484
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 318000,0.34035864,0.14228832,0.08179978,0.11627053,212470.0,0.00816872,0.32692109,0.35379619,0.03948057
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,318000 to 486000,0.36026061,0.14923385,0.08311136,0.12791539,215494.0,0.01085848,0.34239841,0.37812282,0.04958134
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 486000,0.37368859,0.16101339,0.08801489,0.12466031,242868.0,0.00886592,0.35910415,0.38827302,0.03902831
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.57024582,0.23064262,0.14176998,0.19783322,484221.0,0.00852921,0.55621527,0.58427636,0.02460438
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 441000,0.53478674,0.21463556,0.1338449,0.18630628,148433.0,0.01547983,0.50932242,0.56025106,0.04761584
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,441000 to 700000,0.55841836,0.23074028,0.13520634,0.19247174,167396.0,0.01674501,0.53087283,0.5859639,0.04932777
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 700000,0.61325954,0.24465533,0.15528054,0.21332367,168392.0,0.01556404,0.58765668,0.63886239,0.04174881
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.20120263,0.09784529,0.05109845,0.05225888,75834.0,0.01315188,0.17956779,0.22283747,0.10752763
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 210000,0.30859937,0.14462385,0.07794075,0.08603476,24339.0,0.03010856,0.25907078,0.35812796,0.16049478
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,210000 to 365000,0.19207842,0.08845769,0.05829166,0.04532907,24995.0,0.024372,0.15198648,0.23217035,0.20872694
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 365000,0.11116981,0.06373585,0.01966038,0.02777358,26500.0,0.0130376,0.08972296,0.13261666,0.19291971
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.45761635,0.21955047,0.10621602,0.13184986,53523.0,0.02623909,0.41445304,0.50077966,0.09432204
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 244000,0.68863476,0.32138647,0.16487857,0.20236972,16964.0,0.06341608,0.5843153,0.79295421,0.15148735
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,244000 to 440000,0.43400287,0.22133319,0.10081669,0.111853,18122.0,0.04053196,0.36732779,0.50067794,0.15362819
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 440000,0.2682649,0.12409828,0.05754732,0.0866193,18437.0,0.03173071,0.21606789,0.32046191,0.19457264
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04142179,0.01902165,0.00813662,0.01426352,92053.0,0.00473703,0.03362938,0.0492142,0.18812347
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 104000,0.01854279,0.01126982,0.00206395,0.00520902,30524.0,0.00447457,0.01118213,0.02590345,0.39695544
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,104000 to 179000,0.06859646,0.03082395,0.01373246,0.02404004,30366.0,0.01129524,0.05001579,0.08717712,0.27086918
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 179000,0.03735199,0.01511408,0.00863203,0.01360588,31163.0,0.00760134,0.02484779,0.04985619,0.33476672
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.2189519,0.10684592,0.05038613,0.06171985,229845.0,0.00850313,0.20496425,0.23293955,0.06388457
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 146000,0.25792285,0.12412793,0.05970326,0.07409166,75825.0,0.01779726,0.22864635,0.28719935,0.11350875
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,146000 to 250000,0.26502281,0.13206296,0.06259992,0.07035992,76933.0,0.01676008,0.23745247,0.29259315,0.10403006
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 250000,0.13464008,0.06468017,0.02903213,0.04092778,77087.0,0.01061593,0.11717687,0.15210329,0.12970293
"2-4 Units (Own/Rent), 3 BR",All Values,,0.51630164,0.21674452,0.13083783,0.16871929,164830.0,0.01741186,0.48765914,0.54494415,0.0554763
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 164000,0.6349332,0.26175052,0.16745188,0.2057308,54338.0,0.03558971,0.57638812,0.69347827,0.09220666
"2-4 Units (Own/Rent), 3 BR",Second Tercile,164000 to 294000,0.60865095,0.24937318,0.15407926,0.20519851,55439.0,0.03276609,0.55475074,0.66255116,0.08855685
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 294000,0.30621401,0.13946561,0.07129493,0.09545347,55053.0,0.0201703,0.27303387,0.33939416,0.10835606
"5-49 Units (Own), 0-1 BR",All Values,,0.01259639,0.00223674,0.00376714,0.0065925,16989.0,0.00599142,0.00274049,0.02245228,0.78243815
"5-49 Units (Own), 0-1 BR",First Tercile,Below 236000,0.01739618,0.0,0.00692106,0.01047512,5346.0,0.01529629,-0.00776622,0.04255859,1.4464323
"5-49 Units (Own), 0-1 BR",Second Tercile,236000 to 400000,0.01142461,0.001731,0.00467371,0.00501991,5777.0,0.00739108,-0.0007337,0.02358293,1.0642214
