Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15630953,0.0717113,0.03676762,0.04783061,418874.0,0.00485237,0.14832739,0.16429168,0.05106627
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 86000,0.16111355,0.07341704,0.03631868,0.05137782,134669.0,0.00849095,0.14714594,0.17508115,0.08669417
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,86000 to 150000,0.18482389,0.09097904,0.04266958,0.05117527,141670.0,0.00982785,0.16865708,0.2009907,0.08747144
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 150000,0.12342933,0.05094889,0.03132564,0.0411548,142535.0,0.00728915,0.11143867,0.13541999,0.09714594
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35185853,0.15162678,0.08388718,0.11634457,1547352.0,0.00339197,0.34627874,0.35743832,0.01585806
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 129000,0.39082002,0.17344756,0.09329787,0.12407459,505317.0,0.00738561,0.37867069,0.40296935,0.03108677
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,129000 to 209000,0.37047414,0.16047742,0.08893221,0.12106451,499684.0,0.00771105,0.35778946,0.38315882,0.03423905
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 209000,0.29840638,0.12314166,0.07047097,0.10479376,542351.0,0.00611569,0.28834607,0.30846669,0.03371346
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.61841229,0.24653037,0.15311733,0.2187646,804984.0,0.00634849,0.60796902,0.62885556,0.01688723
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 194000,0.68317679,0.27960442,0.16906837,0.23450401,253501.0,0.01367823,0.66067611,0.70567747,0.03293537
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,194000 to 340000,0.58275853,0.22988253,0.14149286,0.21138315,268063.0,0.01363225,0.56033348,0.60518358,0.03848086
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 340000,0.59420648,0.23269353,0.14984475,0.2116682,283420.0,0.01071912,0.57657353,0.61183943,0.02967478
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.14276084,0.06981808,0.03355167,0.0393911,109771.0,0.00926984,0.12751195,0.15800973,0.10681422
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 111000,0.21230428,0.09976445,0.05894416,0.05359568,36085.0,0.01961552,0.18003675,0.24457181,0.15198719
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,111000 to 182000,0.15041751,0.07963778,0.02699729,0.04378244,35448.0,0.01733503,0.12190138,0.17893364,0.18957986
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 182000,0.07003504,0.03245463,0.01566505,0.02191537,38238.0,0.00963505,0.05418538,0.0858847,0.22631042
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.37367053,0.16539487,0.08871594,0.11955971,59234.0,0.02509098,0.33239587,0.41494519,0.11045736
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 129000,0.64043615,0.30062233,0.15784601,0.1819678,19443.0,0.06252631,0.53758036,0.74329193,0.16060272
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,129000 to 219000,0.35503486,0.15332599,0.06809247,0.1336164,19077.0,0.04064961,0.28816625,0.42190346,0.18834377
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 219000,0.14043642,0.04957999,0.04282128,0.04803515,20714.0,0.02085642,0.10612761,0.17474523,0.24430138
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04606671,0.02119599,0.00869433,0.01617639,52793.0,0.00802109,0.03287202,0.05926141,0.28642585
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 66000,0.04862179,0.01833669,0.0094641,0.02082101,16906.0,0.01344028,0.02651254,0.07073105,0.45471904
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,66000 to 93000,0.04264607,0.01942019,0.01108126,0.01214462,17868.0,0.01466061,0.01852937,0.06676277,0.5655082
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 93000,0.04706144,0.0256396,0.00560519,0.01581664,18019.0,0.01515638,0.02212919,0.07199368,0.52978088
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.23385943,0.11863679,0.0536554,0.06156724,97828.0,0.01385282,0.21107154,0.25664731,0.09744266
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 86000,0.24341167,0.11914801,0.06101569,0.06324797,32254.0,0.02797872,0.19738668,0.28943666,0.18908294
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,86000 to 120000,0.2950342,0.16645707,0.05373739,0.07483974,32603.0,0.02956722,0.24639612,0.34367227,0.16485572
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 120000,0.16402293,0.07085014,0.04637409,0.0467987,32971.0,0.020862,0.12970494,0.19834092,0.20922679
"2-4 Units (Own/Rent), 3 BR",All Values,,0.56795208,0.26072632,0.12650693,0.18071883,26710.0,0.05354298,0.47987388,0.65603027,0.15508033
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 94000,0.72733612,0.36715481,0.14202696,0.21815435,8604.0,0.10685284,0.5515632,0.90310905,0.24166671
"2-4 Units (Own/Rent), 3 BR",Second Tercile,94000 to 149000,0.61392544,0.23410088,0.17642544,0.20339912,9120.0,0.09773558,0.45315041,0.77470046,0.26188038
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 149000,0.36868462,0.18584465,0.06098375,0.12185622,8986.0,0.06857165,0.25588426,0.48148499,0.30595354
"5-49 Units (Own), 0-1 BR",All Values,,0.04735812,0.0332681,0.0,0.01409002,5110.0,0.02662575,0.00355876,0.09115748,0.92485432
"5-49 Units (Own), 0-1 BR",First Tercile,Below 65000,0.05948447,0.05948447,0.0,0.0,1513.0,0.05883965,-0.03730675,0.15627569,1.627168
"5-49 Units (Own), 0-1 BR",Second Tercile,65000 to 135000,0.0,0.0,0.0,0.0,1820.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 135000,0.08553742,0.0450197,0.0,0.04051773,1777.0,0.08583186,-0.05565598,0.22673083,1.6506624
"5-49 Units (Own), 2 BR",All Values,,0.06892789,0.02027826,0.02164227,0.02700737,21994.0,0.01813333,0.03909857,0.09875721,0.4327613
"5-49 Units (Own), 2 BR",First Tercile,Below 100000,0.0510694,0.03113633,0.00669286,0.01324022,6873.0,0.02210641,0.01470436,0.08743444,0.71207097
"5-49 Units (Own), 2 BR",Second Tercile,100000 to 166000,0.08537091,0.01740572,0.02334577,0.04461942,7239.0,0.03757056,0.02356734,0.14717447,0.72394176
"5-49 Units (Own), 2 BR",Third Tercile ,Above 166000,0.06939863,0.01344836,0.03311342,0.02283684,7882.0,0.0292197,0.02133222,0.11746504,0.69261328
"5-49 Units (Own), 3 BR",All Values,,0.17577706,0.09030011,0.03001072,0.05546624,3732.0,0.09803189,0.01451461,0.33703952,0.91742603
"5-49 Units (Own), 3 BR",First Tercile,Below 138000,0.01339286,0.01339286,0.0,0.0,1120.0,0.0189054,-0.01770652,0.04449223,2.3220867
"5-49 Units (Own), 3 BR",Second Tercile,138000 to 237000,0.19808862,0.12684622,0.0,0.0712424,1151.0,0.10716579,0.0218009,0.37437634,0.88994371
"5-49 Units (Own), 3 BR",Third Tercile ,Above 237000,0.28268309,0.12046543,0.07665982,0.08555784,1461.0,0.23317738,-0.1008937,0.66625989,1.3569145
"5-49 Units (Rent), 0-1 BR",All Values,,0.02233456,0.01178309,0.00367034,0.00688113,163200.0,0.00402285,0.01571697,0.02895215,0.29629371
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 76000,0.01626369,0.00540867,0.00241223,0.00844279,53063.0,0.00533958,0.00748008,0.02504729,0.54007445
"5-49 Units (Rent), 0-1 BR",Second Tercile,76000 to 101000,0.02535036,0.01577519,0.00480593,0.00476924,54516.0,0.00655301,0.01457065,0.03613006,0.4252288
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 101000,0.02517035,0.01395157,0.00375757,0.00746121,55621.0,0.00728552,0.01318567,0.03715503,0.47614287
"5-49 Units (Rent), 2 BR",All Values,,0.21715206,0.11634994,0.04556249,0.05523963,173915.0,0.0092113,0.20199947,0.23230465,0.06977872
"5-49 Units (Rent), 2 BR",First Tercile,Below 98000,0.23442053,0.11859706,0.04128779,0.07453569,56966.0,0.01797122,0.20485788,0.26398319,0.1261095
"5-49 Units (Rent), 2 BR",Second Tercile,98000 to 125000,0.22470182,0.13090752,0.04940363,0.04439067,57850.0,0.01900552,0.19343773,0.2559659,0.13913589
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 125000,0.19311663,0.09993401,0.04592294,0.04725968,59099.0,0.01740033,0.1644931,0.22174017,0.1482189
"5-49 Units (Rent), 3 BR",All Values,,0.70555478,0.31978282,0.16910297,0.21666899,21549.0,0.0568154,0.61209345,0.79901611,0.13246502
