Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.14770686,0.06951327,0.0348863,0.04330729
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 133000,0.17698115,0.08822975,0.04318027,0.04557112
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,133000 to 221000,0.16394583,0.07414388,0.04042103,0.04938093
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.10532779,0.04777199,0.0220102,0.0355456
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.34965602,0.15549536,0.0840789,0.11008176
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 188000,0.40760207,0.18634563,0.09621885,0.1250376
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,188000 to 291000,0.33237431,0.14961223,0.07590227,0.10685982
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 291000,0.31231932,0.13274043,0.0802077,0.09937119
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.64868049,0.2740066,0.15869964,0.21597425
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 260000,0.6501784,0.2648247,0.15808589,0.22726781
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,260000 to 397000,0.64074204,0.27512623,0.16151244,0.20410338
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 397000,0.6543503,0.28162274,0.15676854,0.21595902
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.15136613,0.06919135,0.03906519,0.04310959
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 162000,0.22687887,0.1191676,0.05242359,0.05528768
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,162000 to 216000,0.1253893,0.05128639,0.03138118,0.04272173
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 216000,0.10738524,0.04078767,0.03433519,0.03226238
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46504919,0.21498846,0.12121948,0.12884125
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 185000,0.6896028,0.33290376,0.17973029,0.17696875
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,185000 to 254000,0.58759213,0.25743154,0.1522917,0.17786889
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 254000,0.15260042,0.06989429,0.04054968,0.04215645
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0496931,0.02097873,0.01067855,0.01803582
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 77000,0.01527233,0.00256791,0.00027031,0.01243411
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,77000 to 108000,0.06773684,0.03478049,0.01422838,0.01872796
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 108000,0.06271436,0.02376286,0.01653601,0.02241548
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.23354928,0.12519667,0.05006941,0.0582832
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 100000,0.27675722,0.14263423,0.07305483,0.06106816
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,100000 to 150000,0.28867755,0.16373785,0.05430363,0.07063607
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 150000,0.13709788,0.07008898,0.02368241,0.04332649
"2-4 Units (Own/Rent), 3 BR",All Values,,0.70572718,0.35301014,0.15886043,0.19385662
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 123000,1.0784419,0.50260276,0.22078621,0.35505295
"2-4 Units (Own/Rent), 3 BR",Second Tercile,123000 to 196000,0.65965788,0.39914469,0.1300784,0.13043478
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 196000,0.39635807,0.16712049,0.12763785,0.10159973
"5-49 Units (Own), 0-1 BR",All Values,,0.00602505,0.00602505,0.0,0.0
"5-49 Units (Own), 0-1 BR",First Tercile,Below 106000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,106000 to 198000,0.0186824,0.0186824,0.0,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 198000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.08262374,0.03372805,0.01716338,0.0317323
"5-49 Units (Own), 2 BR",First Tercile,Below 155000,0.07163198,0.02278204,0.01708653,0.03176342
"5-49 Units (Own), 2 BR",Second Tercile,155000 to 251000,0.10524309,0.03031459,0.0343184,0.0406101
"5-49 Units (Own), 2 BR",Third Tercile ,Above 251000,0.0695136,0.04672539,0.0,0.0227882
"5-49 Units (Own), 3 BR",All Values,,0.24043321,0.09602888,0.09386282,0.05054152
"5-49 Units (Own), 3 BR",First Tercile,Below 204000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",Second Tercile,204000 to 326000,0.36910569,0.18211382,0.10406504,0.08292683
"5-49 Units (Own), 3 BR",Third Tercile ,Above 326000,0.19378428,0.03839122,0.12065814,0.03473492
"5-49 Units (Rent), 0-1 BR",All Values,,0.03727209,0.02560848,0.00658651,0.0050771
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 79000,0.01902266,0.01305375,0.00376301,0.0022059
"5-49 Units (Rent), 0-1 BR",Second Tercile,79000 to 109000,0.0532908,0.03218194,0.01229189,0.00881697
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 109000,0.03943605,0.03143747,0.00377148,0.0042271
"5-49 Units (Rent), 2 BR",All Values,,0.32076949,0.19052991,0.05738922,0.07285035
"5-49 Units (Rent), 2 BR",First Tercile,Below 98000,0.26604795,0.16483864,0.05171202,0.04949729
"5-49 Units (Rent), 2 BR",Second Tercile,98000 to 130000,0.41352915,0.23341762,0.07627031,0.10384122
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 130000,0.28281324,0.1733568,0.04440533,0.06505111
"5-49 Units (Rent), 3 BR",All Values,,1.0418749,0.49345166,0.27029123,0.278132
"5-49 Units (Rent), 3 BR",First Tercile,Below 108000,1.3339752,0.5480055,0.38982118,0.39614856
"5-49 Units (Rent), 3 BR",Second Tercile,108000 to 165000,0.81326585,0.45817794,0.17554608,0.17954182
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 165000,0.99359734,0.47782784,0.25160066,0.26416884
"50+ Units (Own), 0-1 BR",All Values,,0.01826246,0.00613097,0.0,0.01213149
"50+ Units (Own), 0-1 BR",First Tercile,Below 106000,0.02051506,0.02051506,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,106000 to 200000,0.03474038,0.0,0.0,0.03474038
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 200000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.00767131,0.00619606,0.0,0.00147525
"50+ Units (Own), 2 BR",First Tercile,Below 160000,0.02032422,0.02032422,0.0,0.0
"50+ Units (Own), 2 BR",Second Tercile,160000 to 300000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 300000,0.00434594,0.0,0.0,0.00434594
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 147000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,147000 to 350000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 350000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.02115409,0.01170915,0.00415103,0.00529391
"50+ Units (Rent), 0-1 BR",First Tercile,Below 94000,0.0204532,0.01590804,0.00154799,0.00299717
"50+ Units (Rent), 0-1 BR",Second Tercile,94000 to 146000,0.03357299,0.01014997,0.0109958,0.01242721
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 146000,0.00976396,0.00919518,0.0,0.00056877
"50+ Units (Rent), 2 BR",All Values,,0.21205258,0.12875632,0.04277048,0.04052578
"50+ Units (Rent), 2 BR",First Tercile,Below 140000,0.26948334,0.16292901,0.06164044,0.04491389
"50+ Units (Rent), 2 BR",Second Tercile,140000 to 187000,0.25408889,0.16726455,0.04134493,0.04547942
