Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18252934,0.08519277,0.0358726,0.06146396,26845.0,0.0214982,0.1471648,0.21789387,0.19374712
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,227000,0.21560677,0.1003699,0.04268032,0.07255655,14058.0,0.0267789,0.17155548,0.25965807,0.20431313
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,227000,0.14616407,0.06850708,0.02838821,0.04926879,12787.0,0.0353647,0.08798914,0.204339,0.39801115
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.46584981,0.21534676,0.10170078,0.14880228,78023.0,0.02561306,0.42371632,0.5079833,0.09044436
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,285000,0.49780805,0.23279257,0.10776471,0.15725077,40375.0,0.03673015,0.43738696,0.55822914,0.12137428
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,285000,0.43157671,0.19663727,0.09519762,0.13974182,37648.0,0.03544571,0.37326852,0.4898849,0.13510503
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.90300222,0.40816354,0.22040345,0.27443523,148024.0,0.02591694,0.86036885,0.94563558,0.04721291
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,385000,0.94635638,0.41515724,0.23129627,0.29990287,76188.0,0.04001288,0.88053519,1.0121776,0.06955222
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,385000,0.85702155,0.40074614,0.20885072,0.24742469,71836.0,0.03735798,0.79556767,0.91847542,0.07170633
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12147988,0.06630468,0.02202287,0.03315234,29651.0,0.02523049,0.07997572,0.16298405,0.34165462
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,189000,0.15421871,0.0860311,0.02854958,0.03963803,15692.0,0.03393074,0.09840265,0.21003477,0.36192794
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,189000,0.08467655,0.04412924,0.01468587,0.02586145,13959.0,0.03067575,0.03421495,0.13513816,0.59593359
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.3892889,0.18017555,0.11029966,0.09881369,29166.0,0.04072453,0.32229705,0.45628075,0.17208774
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,221000,0.56360193,0.261656,0.15391145,0.14803448,15314.0,0.06930002,0.4496034,0.67760047,0.20226783
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,221000,0.19657811,0.09009529,0.0620849,0.04439792,13852.0,0.03180047,0.14426634,0.24888989,0.2661119
