Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15794386,0.07049304,0.03410646,0.05334436
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 74000,0.16297052,0.06804422,0.03918794,0.05573835
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,74000 to 117000,0.17443691,0.07971597,0.03968126,0.05503968
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 117000,0.1376228,0.06400635,0.02410153,0.04951492
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36709638,0.15133202,0.09702748,0.11873688
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 100000,0.39775576,0.16236729,0.1099623,0.12542618
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,100000 to 170000,0.42114698,0.17675897,0.10813857,0.13624944
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 170000,0.28972278,0.11798357,0.07515036,0.09658885
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.57928305,0.221467,0.15204324,0.20577281
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 155000,0.65202873,0.26393889,0.17076865,0.21732119
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,155000 to 270000,0.57684197,0.21919554,0.14754666,0.21009977
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 270000,0.51623989,0.18544625,0.13941007,0.19138357
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12652115,0.07320842,0.00849913,0.0448136
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 87000,0.15942928,0.10297767,0.00620347,0.05024814
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,87000 to 130000,0.11157518,0.0447494,0.01431981,0.05250597
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 130000,0.11169931,0.07305453,0.00529381,0.03335098
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.47526373,0.2331757,0.10076391,0.14132412
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 105000,0.51485149,0.22772277,0.15841584,0.12871287
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,105000 to 147000,0.58585859,0.30037214,0.12546518,0.16002127
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 147000,0.33933033,0.17441279,0.03098451,0.13393303
