Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13817741,0.0541925,0.03033163,0.05365328,14836.0,0.02435047,0.09812088,0.17823394,0.28989205
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,120000,0.17150466,0.07496671,0.03302264,0.06351531,7510.0,0.03519664,0.11360619,0.22940313,0.33759123
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,120000,0.1040131,0.03289653,0.02757303,0.04354354,7326.0,0.02695209,0.05967692,0.14834929,0.42625577
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.44687252,0.18589724,0.11644464,0.14453065,97059.0,0.01853039,0.41639003,0.47735501,0.06821294
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,175000,0.53446215,0.20697211,0.14398406,0.18350598,50200.0,0.03131768,0.48294457,0.58597974,0.09639146
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,175000,0.35303784,0.16331975,0.08694168,0.10277641,46859.0,0.02397428,0.31360015,0.39247552,0.11170952
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.73151664,0.2876182,0.18965081,0.25424764,67155.0,0.02935259,0.68323164,0.77980164,0.06600671
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,260000,0.82479243,0.3426657,0.20699199,0.27513474,34325.0,0.05044711,0.74180692,0.90777793,0.1006138
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,260000,0.6339933,0.23006397,0.17151995,0.23240938,32830.0,0.04247037,0.56412954,0.70385706,0.11019637
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12780989,0.05138086,0.0,0.07642903,1557.0,0.05627417,0.03523889,0.22038089,0.72428669
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,106000,0.16804734,0.07218935,0.0,0.09585799,845.0,0.09493109,0.0118857,0.32420898,0.92927173
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,106000,0.08005618,0.02668539,0.0,0.05337079,712.0,0.06241365,-0.02261428,0.18272664,1.2824801
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.54285714,0.26945055,0.12879121,0.14461538,2275.0,0.16236575,0.27576549,0.8099488,0.49201094
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,132000,0.83601014,0.40405748,0.18596788,0.24598478,1183.0,0.31340817,0.3204537,1.3515666,0.61668682
