Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16837034,0.08116987,0.03979196,0.04740851,300136.0,0.00635144,0.15792222,0.17881846,0.06205438
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 83000,0.17799978,0.08633218,0.04220571,0.04946188,98399.0,0.01227615,0.15780551,0.19819404,0.11345107
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,83000 to 133000,0.2032067,0.10145922,0.04724558,0.0545019,100602.0,0.01254543,0.18256947,0.22384392,0.1015578
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 133000,0.12434864,0.0559648,0.03002917,0.03835467,101135.0,0.01008225,0.10776334,0.14093395,0.13337744
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35413546,0.1573044,0.08648662,0.11034444,881304.0,0.00481777,0.34621023,0.3620607,0.0223791
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 127000,0.41678808,0.19088133,0.10223209,0.12367465,286906.0,0.0090116,0.40196399,0.43161217,0.03556745
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,127000 to 200000,0.36639164,0.16042478,0.09020827,0.11575859,293421.0,0.00975808,0.3503396,0.38244367,0.04381115
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 200000,0.28246344,0.12225519,0.06784904,0.09235922,300977.0,0.00872977,0.26810298,0.29682391,0.05084008
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.60751458,0.24478713,0.14847794,0.21424952,487399.0,0.00915928,0.59244756,0.6225816,0.02480109
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 199000,0.71929836,0.29674303,0.17336519,0.24919014,154039.0,0.01994923,0.68648187,0.75211485,0.04562292
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,199000 to 330000,0.5858747,0.23233568,0.14368606,0.20985297,162347.0,0.01573362,0.5599929,0.6117565,0.04417634
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 330000,0.52736926,0.20980861,0.13060995,0.1869507,171013.0,0.01496299,0.50275515,0.55198338,0.04667339
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.15212634,0.08005407,0.03063983,0.04143243,46606.0,0.01341538,0.13005804,0.17419463,0.14506557
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 106000,0.15349415,0.08249984,0.03307838,0.03791593,15297.0,0.02383252,0.11428966,0.19269864,0.25541361
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,106000 to 154000,0.20788298,0.12044528,0.03773219,0.04970552,15451.0,0.02794983,0.16190552,0.25386045,0.22116993
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 154000,0.09648127,0.03834027,0.02137722,0.03676378,15858.0,0.0251168,0.05516413,0.13779841,0.42824003
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.39672909,0.18914008,0.09812739,0.10946162,32468.0,0.0314853,0.34493577,0.4485224,0.13055084
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 127000,0.53193081,0.26133707,0.11921459,0.15137915,10695.0,0.05894093,0.43497299,0.62888863,0.18227525
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,127000 to 188000,0.55989119,0.25279054,0.15326892,0.15383172,10661.0,0.08091446,0.4267869,0.69299549,0.23773243
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 188000,0.1100612,0.05858531,0.02492801,0.02654788,11112.0,0.01938146,0.07817869,0.1419437,0.28967977
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0380038,0.02296607,0.00881702,0.0062207,57389.0,0.00563743,0.02873022,0.04727738,0.2440171
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 56000,0.01890563,0.00550964,0.00621185,0.00718414,18513.0,0.00642207,0.00834133,0.02946994,0.55879135
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,56000 to 85000,0.0388502,0.02487041,0.0083774,0.00560239,19099.0,0.00968092,0.02292509,0.05477531,0.4099107
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 85000,0.05506396,0.03746777,0.01168023,0.00591596,19777.0,0.01307727,0.03355185,0.07657608,0.39067503
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.22268046,0.11835789,0.05526546,0.04905711,90201.0,0.0156265,0.19697487,0.24838604,0.11543709
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 83000,0.17651217,0.08754923,0.04998485,0.03897809,29709.0,0.01896361,0.14531703,0.20770731,0.17673082
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,83000 to 108000,0.29814735,0.17174295,0.06724555,0.05915885,30173.0,0.0321891,0.24519629,0.35109841,0.17760031
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 108000,0.19281639,0.09541871,0.04851743,0.04888024,30319.0,0.02479387,0.15203048,0.23360229,0.21152719
"2-4 Units (Own/Rent), 3 BR",All Values,,0.65142371,0.34282474,0.14719106,0.16140791,24689.0,0.05698081,0.55769028,0.74515714,0.14389011
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 97000,0.75258827,0.44650916,0.13127157,0.17480754,7534.0,0.0974923,0.59221343,0.9129631,0.21309771
"2-4 Units (Own/Rent), 3 BR",Second Tercile,97000 to 126000,0.68360144,0.37923851,0.1650272,0.13933573,8641.0,0.11346883,0.4969452,0.87025767,0.27304833
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 126000,0.52924595,0.21411792,0.14317595,0.17195208,8514.0,0.0763822,0.40359723,0.65489466,0.23741082
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,2608.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 108000,0.0,0.0,0.0,0.0,752.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,108000 to 212000,0.0,0.0,0.0,0.0,911.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 212000,0.0,0.0,0.0,0.0,945.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.05847902,0.03496503,0.01704545,0.00646853,11440.0,0.01551605,0.03295512,0.08400292,0.43646247
"5-49 Units (Own), 2 BR",First Tercile,Below 105000,0.04131012,0.01770434,0.01799941,0.00560637,3389.0,0.01678455,0.01369954,0.0689207,0.66837322
"5-49 Units (Own), 2 BR",Second Tercile,105000 to 166000,0.08232323,0.04419192,0.02878788,0.00934343,3960.0,0.0345115,0.02555182,0.13909464,0.68961591
"5-49 Units (Own), 2 BR",Third Tercile ,Above 166000,0.04962112,0.04033244,0.00488878,0.0043999,4091.0,0.02579511,0.00718816,0.09205408,0.85513904
"5-49 Units (Own), 3 BR",All Values,,0.13926499,0.00967118,0.06034816,0.06924565,2585.0,0.06470019,0.03283317,0.24569681,0.76423957
"5-49 Units (Own), 3 BR",First Tercile,Below 146000,0.07824726,0.0,0.0,0.07824726,639.0,0.07442591,-0.04418336,0.20067789,1.5646634
"5-49 Units (Own), 3 BR",Second Tercile,146000 to 275000,0.25896861,0.02802691,0.11659193,0.11434978,892.0,0.17472144,-0.02844816,0.54638538,1.1098518
"5-49 Units (Own), 3 BR",Third Tercile ,Above 275000,0.07495256,0.0,0.04933586,0.0256167,1054.0,0.04709586,-0.00252013,0.15242525,1.033623
