Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1430985,0.0662274,0.03446528,0.04240581,5919.0,0.0373054,0.08173112,0.20446588,0.42884713
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,225000,0.21267829,0.09920761,0.05451664,0.05895404,3155.0,0.06350969,0.10820485,0.31715173,0.49122758
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,225000,0.06367583,0.02858177,0.01157742,0.02351664,2764.0,0.02768732,0.01813019,0.10922147,0.71527357
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43119385,0.21119646,0.10037756,0.11961984,38405.0,0.03554431,0.37272346,0.48966425,0.13560118
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,225000,0.43158486,0.19010164,0.10235456,0.13912866,19579.0,0.04581111,0.35622559,0.50694413,0.17461055
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,225000,0.43078721,0.23313503,0.09832147,0.09933071,18826.0,0.04652892,0.35424714,0.50732728,0.17767488
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.85459889,0.36639388,0.22683264,0.26137237,52056.0,0.04271499,0.78433273,0.92486506,0.08222122
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,310000,0.87322102,0.3698405,0.24156737,0.26181316,26771.0,0.0632544,0.76916753,0.97727452,0.11916055
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,310000,0.83488234,0.36274471,0.21123196,0.26090568,25285.0,0.05607603,0.74263727,0.92712742,0.11048871
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.07297234,0.04438764,0.02533116,0.00325354,4303.0,0.02782926,0.02719321,0.11875148,0.62734905
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,150000,0.09570815,0.0472103,0.04248927,0.00600858,2330.0,0.04564126,0.02062828,0.17078802,0.78446681
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,150000,0.04612266,0.04105423,0.00506842,0.0,1973.0,0.02572924,0.00379805,0.08844726,0.9176533
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.25411061,0.13733184,0.04446936,0.07230942,5352.0,0.05570413,0.16247732,0.3457439,0.36060395
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,190000,0.3275154,0.18856947,0.06810404,0.07084189,2922.0,0.09121704,0.17746336,0.47756744,0.45815261
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,190000,0.16584362,0.07572016,0.01604938,0.07407407,2430.0,0.06635492,0.05668977,0.27499747,0.65817332
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1224.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,56000,0.0,0.0,0.0,0.0,808.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,56000,0.0,0.0,0.0,0.0,416.0,.,.,.,.
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.12038591,0.05620805,0.0113255,0.05285235,2384.0,0.04920444,0.03944461,0.2013272,0.67234861
"2-4 Units  (Own/Rent), 2 BR",    Below Median,89000,0.1522763,0.05808477,0.0188383,0.07535322,1274.0,0.08004906,0.02059559,0.283957,0.86474857
"2-4 Units  (Own/Rent), 2 BR",    Above Median,89000,0.08378378,0.05405405,0.0027027,0.02702703,1110.0,0.05387615,-0.00484248,0.17241005,1.0577974
"2-4 Units (Own/Rent), 3 BR",All Values,,0.30684932,0.17945205,0.05205479,0.07534247,730.0,0.1647632,0.03581385,0.57788478,0.88328522
