Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13172413,0.06582732,0.03130863,0.03458818,71961.0,0.01012545,0.11506776,0.1483805,0.12644887
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 185000,0.222072,0.120458,0.05298293,0.04863106,23668.0,0.02371207,0.18306564,0.26107835,0.17564732
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,185000 to 313000,0.12327674,0.05682876,0.02721752,0.03923046,22559.0,0.01677818,0.09567663,0.15087685,0.22388741
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 313000,0.05603482,0.02347089,0.01496075,0.01760317,25734.0,0.01231966,0.03576898,0.07630065,0.36166505
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.37724191,0.16917854,0.09326634,0.11479704,359626.0,0.00775303,0.36448819,0.38999564,0.03380782
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 216000,0.51507806,0.23754576,0.12074233,0.15678997,118815.0,0.01647981,0.48796878,0.54218735,0.05263141
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,216000 to 339000,0.36112151,0.16171222,0.09003702,0.10937227,120195.0,0.01386752,0.33830944,0.38393359,0.06317008
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 339000,0.25752802,0.1092724,0.06941865,0.07883697,120616.0,0.01206388,0.23768293,0.27737311,0.07705992
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.63712158,0.25830991,0.15659743,0.22221424,264353.0,0.01230736,0.61687597,0.65736719,0.03177668
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 291000,0.79719763,0.32901282,0.18632056,0.28186424,86641.0,0.02854185,0.75024629,0.84414898,0.05889549
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,291000 to 442000,0.61695853,0.24917051,0.15425115,0.21353687,86800.0,0.02529724,0.57534456,0.65857249,0.06745019
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 442000,0.50381688,0.19965461,0.13051082,0.17365144,90912.0,0.01973053,0.47136016,0.5362736,0.06442166
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.16679357,0.07754579,0.04764958,0.0415982,24953.0,0.02176935,0.13098299,0.20260415,0.2147
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 140000,0.29587604,0.14921913,0.06905808,0.07759883,8196.0,0.0412834,0.22796485,0.36378723,0.22952582
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,140000 to 221000,0.12575699,0.06738822,0.02989306,0.02847571,7761.0,0.02423701,0.08588711,0.16562687,0.31703908
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.08459315,0.02100934,0.04346376,0.02012005,8996.0,0.0398109,0.01910423,0.15008208,0.77416344
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.39067471,0.18009591,0.10308153,0.10749727,21061.0,0.03542223,0.33240513,0.44894428,0.14915113
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 172000,0.51851852,0.23051623,0.14843415,0.13956814,6993.0,0.07471198,0.39561731,0.64141973,0.23702376
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,172000 to 254000,0.48861646,0.25569177,0.10303561,0.12988908,6852.0,0.08241561,0.35304279,0.62419014,0.27746441
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 254000,0.17378049,0.05945122,0.05917406,0.05515521,7216.0,0.03692184,0.11304406,0.23451692,0.34950085
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07874856,0.03421918,0.01848725,0.02604213,22502.0,0.01506329,0.05396944,0.10352767,0.31466119
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 90000,0.09175928,0.05014909,0.02182163,0.01978856,7378.0,0.0274339,0.04663052,0.13688805,0.49181685
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,90000 to 120000,0.09586667,0.04106667,0.01066667,0.04413333,7500.0,0.02521238,0.0543923,0.13734103,0.43262549
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 120000,0.04931794,0.01206716,0.02295383,0.01429696,7624.0,0.01896062,0.01812773,0.08050816,0.63243143
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.35430282,0.17628067,0.08323876,0.09478339,51106.0,0.02612097,0.31133383,0.39727182,0.1212776
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 107000,0.45291075,0.19220592,0.12244407,0.13826076,16628.0,0.06376991,0.34800924,0.55781226,0.23161629
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,107000 to 140000,0.39598455,0.21446968,0.08762585,0.09388902,17084.0,0.03965502,0.33075205,0.46121705,0.16473497
