Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.12617345,0.0454299,0.03244993,0.04829363,59014.0,0.00946642,0.11060119,0.14174571,0.12341946
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 190000,0.16828979,0.05260988,0.05724738,0.05843252,19407.0,0.02193351,0.13220916,0.20437042,0.21439582
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,190000 to 288000,0.13096589,0.05869953,0.02518783,0.04707854,18501.0,0.01752661,0.10213461,0.15979717,0.22014343
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 288000,0.08324647,0.02719606,0.0160144,0.04003601,21106.0,0.01139646,0.0644993,0.10199364,0.2252008
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35124616,0.14417818,0.08772309,0.1193449,166752.0,0.00961527,0.33542905,0.36706328,0.04503143
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 254000,0.37636089,0.15394659,0.09073856,0.13167574,54376.0,0.0210162,0.34178925,0.41093254,0.0918577
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,254000 to 361000,0.35690435,0.13896468,0.09198802,0.12595165,52409.0,0.01991205,0.32414902,0.38965968,0.09177621
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 361000,0.32352794,0.13987693,0.08126136,0.10238965,59967.0,0.01645682,0.29645648,0.3505994,0.08367581
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.55268632,0.22546036,0.13152367,0.1957023,97587.0,0.0197942,0.52012487,0.58524777,0.05891489
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 312000,0.53479333,0.20206042,0.13673998,0.19599292,31644.0,0.03546888,0.47644701,0.59313964,0.10910068
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,312000 to 469000,0.56205638,0.25180829,0.11992158,0.19032651,29586.0,0.03832981,0.49900384,0.62510891,0.11218187
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 469000,0.56063482,0.22438595,0.1364249,0.19982397,36357.0,0.03436981,0.50409648,0.61717315,0.10084699
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.15820225,0.08815409,0.02504013,0.04500803,15575.0,0.02208275,0.12187612,0.19452837,0.22961827
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 188000,0.17605216,0.09286702,0.0391227,0.04406244,5061.0,0.04166066,0.10752039,0.24458394,0.38926973
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,188000 to 250000,0.14419695,0.07659242,0.02637749,0.04122704,5118.0,0.03381037,0.08857889,0.19981502,0.38570903
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 250000,0.15474426,0.09469978,0.01056338,0.0494811,5396.0,0.04781387,0.07609044,0.23339807,0.50828262
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.52002495,0.22981909,0.08758578,0.20262009,8015.0,0.07373073,0.39873791,0.641312,0.23323313
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 201000,0.53482109,0.32358599,0.07118122,0.14005387,2599.0,0.12325885,0.33206028,0.73758189,0.37911895
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,201000 to 291000,0.62903839,0.222729,0.11554542,0.29076397,2631.0,0.18235365,0.32906664,0.92901014,0.47687352
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 291000,0.4032316,0.14901257,0.07648115,0.17773788,2785.0,0.08621033,0.26141561,0.54504758,0.3516986
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0414959,0.01428023,0.01524078,0.0119749,15616.0,0.01253004,0.02088399,0.06210781,0.49672156
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 91000,0.02460806,0.00535821,0.00654892,0.01270093,5039.0,0.01911774,-0.00684063,0.05605675,1.2779835
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,91000 to 116000,0.03112469,0.01355738,0.00782891,0.0097384,5237.0,0.01686456,0.00338249,0.05886689,0.89132457
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 116000,0.067603,0.02340824,0.03071161,0.01348315,5340.0,0.02528927,0.02600215,0.10920384,0.61536987
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.22084813,0.10364224,0.05397535,0.06323054,25067.0,0.02284394,0.18326984,0.25842642,0.17015444
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 127000,0.26921667,0.12807039,0.08358793,0.05755835,8183.0,0.04457078,0.19589774,0.3425356,0.27234171
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,127000 to 177000,0.26439232,0.14368633,0.03849799,0.08220801,8442.0,0.0421153,0.19511266,0.33367199,0.26203356
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 177000,0.13041933,0.03991945,0.04074864,0.04975124,8442.0,0.03625592,0.07077834,0.19006033,0.4573018
