Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15717333,0.0723291,0.03529826,0.04954596," 227,405 ",0.007,0.146,0.168,7%
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 193000,0.17281501,0.07908483,0.04551529,0.04821489," 74,085 ",0.013,0.151,0.195,13%
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,193000 to 307000,0.16133934,0.07542383,0.0311447,0.05477081," 75,679 ",0.012,0.141,0.181,12%
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 307000,0.1381873,0.06286627,0.02959776,0.04572326," 77,641 ",0.009,0.124,0.152,10%
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36578496,0.15658235,0.08744932,0.12175329," 757,959 ",0.006,0.357,0.375,2%
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 260000,0.39334854,0.17133131,0.09500855,0.12700868," 244,999 ",0.011,0.376,0.411,4%
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,260000 to 398000,0.3482944,0.15102269,0.07878933,0.11848238," 237,951 ",0.010,0.333,0.364,5%
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 398000,0.35636288,0.14825333,0.08820802,0.11990153," 275,009 ",0.008,0.343,0.370,4%
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.56791865,0.22627159,0.14042899,0.20121808," 774,662 ",0.006,0.558,0.578,2%
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 371000,0.54745004,0.22086482,0.13730011,0.18928511," 248,514 ",0.013,0.526,0.568,4%
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,371000 to 595000,0.54068893,0.20913591,0.1328693,0.19868371," 261,189 ",0.011,0.522,0.559,3%
