Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.05784867,0.0185567,0.0131881,0.02610387,25705,0.015,0.034,0.082,0.42
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,310000,0.10011282,0.02986085,0.02549831,0.04475367,13295,0.028,0.054,0.147,0.46
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,310000,0.01257051,0.00644641,0,0.00612409,12410,0.004,0.005,0.02,0.57
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36670389,0.15904984,0.0931073,0.11454675,49255,0.024,0.327,0.406,0.11
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,351000,0.41424129,0.18044813,0.10358026,0.1302129,25082,0.032,0.361,0.468,0.13
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,351000,0.31737889,0.1368469,0.08224052,0.09829148,24173,0.031,0.266,0.369,0.16
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.75128486,0.3031038,0.19467671,0.25350436,114215,0.025,0.71,0.793,0.06
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,553000,0.76456265,0.28750702,0.2131315,0.26392413,58729,0.035,0.707,0.822,0.07
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,553000,0.73723101,0.31961215,0.17514328,0.24247558,55486,0.035,0.68,0.795,0.08
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.23716229,0.13140326,0.03724964,0.06850939,16027,0.028,0.19,0.284,0.2
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,289000,0.276411,0.12735166,0.05197781,0.09708152,8292,0.045,0.202,0.351,0.27
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,289000,0.19508727,0.13574661,0.02146089,0.03787977,7735,0.033,0.141,0.249,0.28
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.43616105,0.19961373,0.11282127,0.12372604,33655,0.033,0.382,0.49,0.12
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,325000,0.49796322,0.21304702,0.13285615,0.15206006,17184,0.053,0.412,0.584,0.17
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,325000,0.37168357,0.18559893,0.09191913,0.0941655,16471,0.036,0.312,0.431,0.16
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.11579085,0.08045377,0.01512583,0.02021124,7669,0.026,0.073,0.159,0.37
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,152000,0.07233826,0.05985736,0.00993377,0.00254712,3926,0.027,0.029,0.116,0.6
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,152000,0.16136789,0.10205717,0.02057173,0.03873898,3743,0.046,0.086,0.237,0.47
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.44856424,0.20855536,0.11382475,0.12618413,13512,0.059,0.351,0.546,0.22
"2-4 Units  (Own/Rent), 2 BR",    Below Median,185000,0.47617664,0.18651947,0.12391052,0.16574666,6884,0.088,0.331,0.621,0.31
"2-4 Units  (Own/Rent), 2 BR",    Above Median,185000,0.41988533,0.23144237,0.10334943,0.08509354,6628,0.077,0.293,0.547,0.3
"2-4 Units (Own/Rent), 3 BR",All Values,,0.71163651,0.33732982,0.16465908,0.2096476,17849,0.063,0.608,0.815,0.15
"2-4 Units (Own/Rent), 3 BR",    Below Median,231000,0.797723,0.36984636,0.18724439,0.24063225,9047,0.095,0.641,0.954,0.2
"2-4 Units (Own/Rent), 3 BR",    Above Median,231000,0.62315383,0.3039082,0.14144513,0.1778005,8802,0.092,0.471,0.775,0.24
"5-49 Units (Own), 0-1 BR",All Values,,0.00825728,0,0.00825728,0,2301,0.008,-0.005,0.022,1.61
"5-49 Units (Own), 0-1 BR",    Below Median,248000,0.01496063,0,0.01496063,0,1270,0.015,-0.009,0.039,1.62
"5-49 Units (Own), 0-1 BR",    Above Median,248000,0,0,0,0,1031,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.12271046,0.03744474,0.04890373,0.036362,11083,0.051,0.038,0.207,0.69
"5-49 Units (Own), 2 BR",    Below Median,350000,0.14960358,0.02068252,0.06394347,0.06497759,5802,0.091,0,0.299,1
"5-49 Units (Own), 2 BR",    Above Median,350000,0.09316417,0.05586063,0.03238023,0.00492331,5281,0.031,0.043,0.143,0.54
"5-49 Units (Own), 3 BR",All Values,,0.31312411,0.20791726,0.07845934,0.0267475,2804,0.083,0.177,0.449,0.43
"5-49 Units (Own), 3 BR",    Below Median,475000,0.32772544,0.21063257,0.0666218,0.05047106,1486,0.125,0.123,0.533,0.63
"5-49 Units (Own), 3 BR",    Above Median,475000,0.29666161,0.20485584,0.09180577,0,1318,0.128,0.086,0.507,0.71
"5-49 Units (Rent), 0-1 BR",All Values,,0.05889231,0.0342528,0.00762136,0.01701814,23093,0.014,0.036,0.081,0.38
"5-49 Units (Rent), 0-1 BR",    Below Median,167000,0.08487022,0.05720628,0.0136612,0.01400273,11712,0.025,0.044,0.126,0.48
"5-49 Units (Rent), 0-1 BR",    Above Median,167000,0.03215886,0.01063175,0.00140585,0.02012125,11381,0.011,0.014,0.051,0.57
"5-49 Units (Rent), 2 BR",All Values,,0.32090138,0.17904257,0.08158003,0.06027878,26759,0.029,0.273,0.369,0.15
"5-49 Units (Rent), 2 BR",    Below Median,217000,0.46297809,0.25443743,0.12335685,0.08518381,13465,0.059,0.367,0.559,0.21
"5-49 Units (Rent), 2 BR",    Above Median,217000,0.17699714,0.1026779,0.03926583,0.03505341,13294,0.037,0.117,0.237,0.34
"5-49 Units (Rent), 3 BR",All Values,,0.89895808,0.33099103,0.1468379,0.42112915,4127,0.2,0.57,1.228,0.37
