Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17494379,0.09317187,0.04110292,0.04066901,25351.0,0.02333293,0.13656113,0.21332645,0.21939997
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,230000,0.19056901,0.09116126,0.04782967,0.05157808,13339.0,0.02926695,0.14242488,0.23871313,0.25263356
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,230000,0.15759241,0.0954046,0.03363303,0.02855478,12012.0,0.03622026,0.09801008,0.21717473,0.37807866
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.44158718,0.19542129,0.0974304,0.14873549,103479.0,0.01591887,0.41540065,0.46777372,0.05930094
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,291000,0.4639444,0.19771088,0.0989121,0.16732142,52946.0,0.02110784,0.429222,0.4986668,0.07484173
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,291000,0.41816239,0.19302238,0.09587794,0.12926207,50533.0,0.02273169,0.38076875,0.45555603,0.08942372
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.82370701,0.33487355,0.21787871,0.27095476,114270.0,0.024008,0.78421386,0.86320016,0.04794563
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,459000,0.85017485,0.34303081,0.21303913,0.29410491,60050.0,0.03893645,0.7861244,0.91422531,0.07533798
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,459000,0.79439321,0.32583917,0.22323866,0.24531538,54220.0,0.03608536,0.7350328,0.85375363,0.07472422
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11712359,0.05339377,0.0262547,0.03747513,18092.0,0.01630523,0.09030149,0.14394569,0.22900679
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,277000,0.14973145,0.06730242,0.03145895,0.05097008,9123.0,0.02772677,0.10412091,0.19534198,0.30461561
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,277000,0.08395585,0.03924629,0.02096109,0.02374847,8969.0,0.018848,0.05295089,0.1149608,0.36930071
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.42682243,0.20834591,0.11911023,0.0993663,23197.0,0.039009,0.36265262,0.49099224,0.1503431
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,424000,0.47239579,0.24146195,0.12873406,0.10219978,11683.0,0.05858166,0.37602895,0.56876263,0.20399597
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,424000,0.38058016,0.17474379,0.10934515,0.09649123,11514.0,0.04453609,0.30731829,0.45384203,0.1925005
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.15133798,0.06431302,0.03972716,0.0472978,13341.0,0.0260944,0.10841268,0.19426328,0.28363862
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,147000,0.10274277,0.04744255,0.03513714,0.02016308,6745.0,0.03517513,0.04487968,0.16060587,0.56318411
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,147000,0.20103093,0.08156458,0.04442086,0.07504548,6596.0,0.04468316,0.12752712,0.27453473,0.36563431
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.33662221,0.17374257,0.0793508,0.08352884,31115.0,0.03304307,0.28226636,0.39097805,0.16147433
"2-4 Units  (Own/Rent), 2 BR",    Below Median,198000,0.34814531,0.17614761,0.07163379,0.10036391,15663.0,0.04225446,0.27863672,0.4176539,0.19965396
"2-4 Units  (Own/Rent), 2 BR",    Above Median,198000,0.32494176,0.17130469,0.08717318,0.06646389,15452.0,0.04597469,0.2493134,0.40057011,0.23274435
"2-4 Units (Own/Rent), 3 BR",All Values,,0.62393651,0.26555556,0.14634921,0.21203175,31500.0,0.04548006,0.54912181,0.6987512,0.11990755
"2-4 Units (Own/Rent), 3 BR",    Below Median,267000,0.73439575,0.3169544,0.16486435,0.25257699,15813.0,0.06792985,0.62265114,0.84614036,0.15215857
"2-4 Units (Own/Rent), 3 BR",    Above Median,267000,0.51259004,0.21374386,0.12768534,0.17116083,15687.0,0.05215282,0.42679865,0.59838144,0.16736844
"5-49 Units (Own), 0-1 BR",All Values,,0.08501081,0.03693229,0.03027782,0.0178007,6011.0,0.03105185,0.03393052,0.13609111,0.6008682
"5-49 Units (Own), 0-1 BR",    Below Median,650000,0.06721363,0.02019565,0.0271379,0.01988009,3169.0,0.03106494,0.01611181,0.11831545,0.76028954
"5-49 Units (Own), 0-1 BR",    Above Median,650000,0.10485574,0.05559465,0.03377903,0.01548205,2842.0,0.05573399,0.01317331,0.19653816,0.87436725
"5-49 Units (Own), 2 BR",All Values,,0.19151344,0.12772277,0.03762376,0.0261669,14140.0,0.02864642,0.14439008,0.23863679,0.24605771
