Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16568404,0.07800837,0.03500004,0.05267562
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 90000,0.20277611,0.09248381,0.04286245,0.06742985
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,90000 to 157000,0.1978216,0.09963547,0.04341868,0.05476745
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 157000,0.09734529,0.04233615,0.01892245,0.03608669
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.32863614,0.13704019,0.08024363,0.11135232
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 142000,0.40329313,0.17289231,0.09793373,0.13246708
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,142000 to 231000,0.33720418,0.13656246,0.08400313,0.11663859
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 231000,0.24967058,0.10366002,0.05982261,0.08618795
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.59490855,0.23690971,0.15091325,0.2070856
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 243000,0.66603602,0.26227416,0.172089,0.23167286
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,243000 to 407000,0.56268041,0.2224904,0.14006873,0.20012129
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 407000,0.55790506,0.22654187,0.14110427,0.19025892
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1564991,0.0774578,0.03956091,0.03948039
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 116000,0.22103329,0.10508475,0.05815806,0.05779048
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,116000 to 167000,0.1718813,0.08467059,0.0433836,0.04382711
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 167000,0.07875233,0.04355753,0.01775594,0.01743886
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.30118648,0.11720394,0.08166555,0.10231699
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 166000,0.43253804,0.17237206,0.11760028,0.1425657
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,166000 to 245000,0.28738333,0.11599409,0.07255086,0.09883838
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 245000,0.19060521,0.06629888,0.05660377,0.06770255
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05160043,0.02770359,0.01285526,0.01104158
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 58000,0.03979979,0.02574926,0.0067539,0.00729663
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,58000 to 89000,0.0578287,0.03164212,0.0170334,0.00915318
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 89000,0.05703756,0.02579853,0.01474201,0.01649702
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.26974152,0.1441146,0.06067128,0.06495563
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 79000,0.27103949,0.14919886,0.05450201,0.06733862
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,79000 to 108000,0.28448224,0.13589432,0.06784087,0.08074704
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 108000,0.25371276,0.14729553,0.05961673,0.0468005
"2-4 Units (Own/Rent), 3 BR",All Values,,0.73291925,0.36697416,0.17214892,0.19379617
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 86000,1.1417693,0.61657335,0.26159015,0.26360582
"2-4 Units (Own/Rent), 3 BR",Second Tercile,86000 to 138000,0.70716477,0.33567046,0.18525416,0.18624014
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 138000,0.35963283,0.15462791,0.07179543,0.13320949
"5-49 Units (Own), 0-1 BR",All Values,,0.11764706,0.05532906,0.062318,0.0
"5-49 Units (Own), 0-1 BR",First Tercile,Below 147000,0.0032538,0.0032538,0.0,0.0
