Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.20673306,0.07954745,0.0459574,0.08122821,39863.0,0.02158785,0.17122105,0.24224508,0.17177715
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,180000,0.29741506,0.11637129,0.06036424,0.12067953,20426.0,0.03906177,0.23315844,0.36167167,0.21605031
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,180000,0.11143695,0.04084993,0.03081751,0.03976951,19437.0,0.01889272,0.08035842,0.14251548,0.27888892
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.38867238,0.16477464,0.09771104,0.1261867,383099.0,0.00852679,0.37464581,0.40269894,0.0360884
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,215000,0.46081734,0.19665123,0.1189628,0.14520332,196490.0,0.01449584,0.43697169,0.484663,0.05174644
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,215000,0.31270732,0.13121018,0.07533399,0.10616315,186609.0,0.00966939,0.29680117,0.32861346,0.05086592
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.71386587,0.28585079,0.1842463,0.24376878,331757.0,0.01321147,0.692133,0.73559875,0.03044392
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,340000,0.77338792,0.30564752,0.20491245,0.26282794,167330.0,0.02213015,0.73698381,0.80979202,0.04707095
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,340000,0.65329295,0.26570454,0.16321529,0.22437313,164427.0,0.01739431,0.62467931,0.68190659,0.0437991
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11968931,0.07265173,0.02572254,0.02131503,27680.0,0.02014234,0.08655516,0.15282345,0.27683466
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,158000,0.13922827,0.08987368,0.02788707,0.02146752,14487.0,0.02871916,0.09198525,0.1864713,0.33932061
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,158000,0.09823391,0.05374062,0.02334571,0.02114758,13193.0,0.03372447,0.04275716,0.15371066,0.5647413
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.25500159,0.10467168,0.0650471,0.08528281,56682.0,0.01713087,0.22682131,0.28318187,0.11051021
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,201000,0.3114556,0.12888413,0.08065184,0.10191962,28964.0,0.02900204,0.26374724,0.35916396,0.15317868
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,201000,0.19600981,0.07937081,0.04874089,0.06789812,27718.0,0.02269455,0.15867727,0.23334235,0.19046261
