Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.14949343,0.06427767,0.04761726,0.0375985,26650.0,0.01800707,0.1198718,0.17911507,0.19814674
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 85000,0.176337,0.05643238,0.06619734,0.05370728,8807.0,0.03137935,0.12471797,0.22795603,0.29272942
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,85000 to 166000,0.12679338,0.05567137,0.03274065,0.03838136,8155.0,0.02748575,0.08157932,0.17200744,0.35659636
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 166000,0.14419901,0.078654,0.04324938,0.02229562,9688.0,0.03443324,0.08755632,0.20084169,0.39280911
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.31143289,0.14320014,0.07035511,0.09787764,67472.0,0.01809147,0.28167242,0.34119336,0.09555981
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 133000,0.33960553,0.16046248,0.08329177,0.09585128,22055.0,0.02840297,0.29288264,0.38632843,0.1375799
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,133000 to 236000,0.29820845,0.14019063,0.06574883,0.092269,22662.0,0.02975166,0.24926697,0.34714994,0.16411836
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 236000,0.2972973,0.12946605,0.06240387,0.10542738,22755.0,0.03445159,0.24062443,0.35397017,0.19062692
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.65957903,0.29347114,0.15400807,0.21209982,79340.0,0.02198585,0.6234123,0.69574576,0.05483305
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 209000,0.54392372,0.23189288,0.14209779,0.16993305,24645.0,0.03622238,0.4843379,0.60350953,0.10954811
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,209000 to 319000,0.64975781,0.28433579,0.15034898,0.21507304,26219.0,0.04343739,0.5783033,0.72121232,0.10997099
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 319000,0.76871752,0.35517629,0.16768507,0.24585616,28476.0,0.04539756,0.69403852,0.84339651,0.09714751
