Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.05784867,0.0185567,0.0131881,0.02610387
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,310000,0.10011282,0.02986085,0.02549831,0.04475367
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,310000,0.01257051,0.00644641,0.0,0.00612409
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36670389,0.15904984,0.0931073,0.11454675
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,351000,0.41424129,0.18044813,0.10358026,0.1302129
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,351000,0.31737889,0.1368469,0.08224052,0.09829148
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.75128486,0.3031038,0.19467671,0.25350436
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,553000,0.76456265,0.28750702,0.2131315,0.26392413
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,553000,0.73723101,0.31961215,0.17514328,0.24247558
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.23716229,0.13140326,0.03724964,0.06850939
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,289000,0.276411,0.12735166,0.05197781,0.09708152
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,289000,0.19508727,0.13574661,0.02146089,0.03787977
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.43616105,0.19961373,0.11282127,0.12372604
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,325000,0.49796322,0.21304702,0.13285615,0.15206006
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,325000,0.37168357,0.18559893,0.09191913,0.0941655
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.11579085,0.08045377,0.01512583,0.02021124
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,152000,0.07233826,0.05985736,0.00993377,0.00254712
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,152000,0.16136789,0.10205717,0.02057173,0.03873898
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.44856424,0.20855536,0.11382475,0.12618413
"2-4 Units  (Own/Rent), 2 BR",    Below Median,185000,0.47617664,0.18651947,0.12391052,0.16574666
"2-4 Units  (Own/Rent), 2 BR",    Above Median,185000,0.41988533,0.23144237,0.10334943,0.08509354
"2-4 Units (Own/Rent), 3 BR",All Values,,0.71163651,0.33732982,0.16465908,0.2096476
"2-4 Units (Own/Rent), 3 BR",    Below Median,231000,0.797723,0.36984636,0.18724439,0.24063225
"2-4 Units (Own/Rent), 3 BR",    Above Median,231000,0.62315383,0.3039082,0.14144513,0.1778005
"5-49 Units (Own), 0-1 BR",All Values,,0.00825728,0.0,0.00825728,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,248000,0.01496063,0.0,0.01496063,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,248000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.12271046,0.03744474,0.04890373,0.036362
"5-49 Units (Own), 2 BR",    Below Median,350000,0.14960358,0.02068252,0.06394347,0.06497759
"5-49 Units (Own), 2 BR",    Above Median,350000,0.09316417,0.05586063,0.03238023,0.00492331
"5-49 Units (Own), 3 BR",All Values,,0.31312411,0.20791726,0.07845934,0.0267475
"5-49 Units (Own), 3 BR",    Below Median,475000,0.32772544,0.21063257,0.0666218,0.05047106
"5-49 Units (Own), 3 BR",    Above Median,475000,0.29666161,0.20485584,0.09180577,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.05889231,0.0342528,0.00762136,0.01701814
