Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.14868964,0.06878698,0.03152621,0.04837646
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 84000,0.13548769,0.06421871,0.02905101,0.04221797
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,84000 to 129000,0.19625148,0.09044392,0.04363585,0.06217171
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 129000,0.11480054,0.05192568,0.0220196,0.04085526
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.33753913,0.14382794,0.08397519,0.10973601
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 115000,0.34422915,0.14711908,0.08867057,0.1084395
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,115000 to 183000,0.35996135,0.15673882,0.08540437,0.11781816
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 183000,0.30945676,0.12818288,0.07819048,0.1030834
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.59688033,0.23679743,0.14874245,0.21134046
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 173000,0.63310041,0.2544908,0.1544587,0.22415092
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,173000 to 300000,0.54785695,0.21115153,0.13619416,0.20051127
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 300000,0.61024508,0.24500974,0.15562209,0.20961324
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.13886776,0.06535627,0.03454312,0.03896837
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 105000,0.17931694,0.09579498,0.04808611,0.03543584
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,105000 to 159000,0.17444838,0.0732368,0.04213455,0.05907703
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 159000,0.06596949,0.02881837,0.01432562,0.02282549
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.38087531,0.18106028,0.09593624,0.10387879
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 121000,0.51715676,0.2592123,0.12543454,0.13250992
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,121000 to 189000,0.46200251,0.20896523,0.12040218,0.13263511
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 189000,0.17185702,0.07882731,0.0441544,0.04887531
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04023381,0.02279418,0.00792516,0.00951446
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 64000,0.01792257,0.00996798,0.00396079,0.00399379
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,64000 to 83000,0.04036462,0.02408444,0.01100272,0.00527747
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 83000,0.06110593,0.03361292,0.00866729,0.01882572
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.19344915,0.10588765,0.04294196,0.04461954
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 81000,0.1703653,0.10439969,0.02955438,0.03641123
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,81000 to 106000,0.21394076,0.11087046,0.05280103,0.05026927
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 106000,0.19565154,0.10239775,0.04622776,0.04702604
"2-4 Units (Own/Rent), 3 BR",All Values,,0.57657835,0.26482813,0.13826455,0.17348567
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 91000,0.59320822,0.27381591,0.15859398,0.16079833
"2-4 Units (Own/Rent), 3 BR",Second Tercile,91000 to 131000,0.68745189,0.32924735,0.14981939,0.20838515
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 131000,0.45071082,0.19235945,0.10688586,0.15146551
"5-49 Units (Own), 0-1 BR",All Values,,0.00542618,0.00293918,0.002487,0.0
"5-49 Units (Own), 0-1 BR",First Tercile,Below 63000,0.00953778,0.00953778,0.0,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,63000 to 148000,0.00794798,0.0,0.00794798,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 148000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.04134797,0.01876181,0.00616395,0.01642221
"5-49 Units (Own), 2 BR",First Tercile,Below 83000,0.05729403,0.02282691,0.01194255,0.02252457
"5-49 Units (Own), 2 BR",Second Tercile,83000 to 135000,0.03638529,0.0117756,0.00172003,0.02288965
"5-49 Units (Own), 2 BR",Third Tercile ,Above 135000,0.03290699,0.02197939,0.00558798,0.00533962
"5-49 Units (Own), 3 BR",All Values,,0.18386346,0.08430308,0.04034135,0.05921903
"5-49 Units (Own), 3 BR",First Tercile,Below 100000,0.32355637,0.20073327,0.04307974,0.07974335
"5-49 Units (Own), 3 BR",Second Tercile,100000 to 166000,0.22979398,0.07527734,0.04199683,0.11251981
"5-49 Units (Own), 3 BR",Third Tercile ,Above 166000,0.04491413,0.00792602,0.03698811,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.02205023,0.01049963,0.00593346,0.00561715
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 67000,0.02240923,0.01099975,0.00549987,0.00590961
"5-49 Units (Rent), 0-1 BR",Second Tercile,67000 to 90000,0.02092838,0.01248174,0.00347803,0.00496861
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 90000,0.02283243,0.00802915,0.00881544,0.00598784
"5-49 Units (Rent), 2 BR",All Values,,0.24379303,0.13021593,0.05395133,0.05962577
"5-49 Units (Rent), 2 BR",First Tercile,Below 88000,0.24506519,0.13268478,0.05379513,0.05858529
"5-49 Units (Rent), 2 BR",Second Tercile,88000 to 117000,0.28640137,0.1510871,0.06290684,0.07240743
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,0.20004207,0.10698182,0.04516952,0.04789073
"5-49 Units (Rent), 3 BR",All Values,,0.78617482,0.37353345,0.18109432,0.23154705
"5-49 Units (Rent), 3 BR",First Tercile,Below 87000,0.92109536,0.45730057,0.18822383,0.27557095
"5-49 Units (Rent), 3 BR",Second Tercile,87000 to 123000,0.74124473,0.34483122,0.21118143,0.18523207
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 123000,0.70126242,0.32160596,0.14476407,0.23489238
