Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.10525168,0.05039738,0.02178588,0.03306841,32085.0,0.01320372,0.08353155,0.1269718,0.20636367
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,185000,0.15347956,0.08107778,0.03189344,0.04050834,16367.0,0.02404878,0.11391932,0.19303981,0.2577558
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,185000,0.05503245,0.01845018,0.01126097,0.02532129,15718.0,0.00961089,0.03922254,0.07084236,0.28728341
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.41691931,0.17769705,0.1092219,0.13000036,196261.0,0.01377535,0.39425885,0.43957976,0.05435214
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,220000,0.44789904,0.18963949,0.12362178,0.13463777,102215.0,0.01938257,0.4160147,0.47978337,0.07118643
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,220000,0.38324862,0.16471727,0.09357123,0.12496013,94046.0,0.01706732,0.35517289,0.41132436,0.07325724
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.82061102,0.32503786,0.20747988,0.28809328,193479.0,0.01796527,0.79105816,0.85016389,0.03601324
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,315000,0.8255008,0.31935681,0.20910614,0.29703785,99691.0,0.02939908,0.7771393,0.87386229,0.05858443
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,315000,0.81541349,0.33107647,0.20575127,0.27858575,93788.0,0.02809466,0.76919777,0.8616292,0.05667764
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.05183376,0.01731968,0.01343606,0.02107802,31929.0,0.01084271,0.03399749,0.06967002,0.3441052
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,155000,0.06626687,0.02596702,0.01367316,0.02662669,16675.0,0.01743712,0.03758281,0.09495093,0.43285672
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,155000,0.03605612,0.00786679,0.01317687,0.01501246,15254.0,0.00958695,0.02028559,0.05182665,0.43738852
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.19003412,0.07471899,0.04335608,0.07195905,19928.0,0.02609962,0.14710025,0.232968,0.2259272
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,0.28776017,0.11561963,0.07026924,0.1018713,10474.0,0.0475312,0.20957135,0.36594899,0.27171523
