Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.20110368,0.09778115,0.04545089,0.05787165,174144.0,0.00819034,0.18763057,0.2145768,0.06699585
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 75000,0.20572748,0.08967339,0.05074961,0.06530448,57163.0,0.01749709,0.17694477,0.2345102,0.13990701
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,75000 to 115000,0.24350744,0.11969938,0.05397771,0.06983035,58413.0,0.01575425,0.21759169,0.26942319,0.10642692
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 115000,0.15429928,0.08383418,0.03177503,0.03869007,58568.0,0.01409539,0.13111236,0.1774862,0.15027238
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.4071985,0.18093008,0.09819267,0.12807575,635577.0,0.00597076,0.3973766,0.4170204,0.02412066
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 111000,0.47220025,0.21206706,0.11278574,0.14734745,204822.0,0.0122068,0.45212006,0.49228044,0.04252473
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,111000 to 178000,0.4313493,0.19252988,0.11026854,0.12855088,217587.0,0.01316832,0.40968741,0.45301119,0.05021891
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 178000,0.32009026,0.13917192,0.07184474,0.10907359,213168.0,0.01086831,0.30221189,0.33796863,0.05585416
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.70732475,0.29927686,0.17609346,0.23195443,257210.0,0.01435488,0.68371098,0.73093853,0.03338463
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 177000,0.80983752,0.33969799,0.21473236,0.25540717,83639.0,0.0338415,0.75416826,0.86550678,0.06874127
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,177000 to 300000,0.67651523,0.26662842,0.16884793,0.24103888,83667.0,0.02674075,0.6325267,0.72050377,0.06502224
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 300000,0.64062778,0.29205597,0.14689002,0.20168179,89904.0,0.02725718,0.59578971,0.68546585,0.06999083
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1699943,0.11701369,0.02745294,0.02552767,14024.0,0.0323691,0.11674712,0.22324147,0.31322918
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 98000,0.13769248,0.08748047,0.02588708,0.02432493,4481.0,0.03885815,0.07377083,0.20161413,0.46423488
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,98000 to 129000,0.1818372,0.13517472,0.02636535,0.02029713,4779.0,0.05493892,0.09146269,0.27221172,0.49700786
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 129000,0.18849706,0.12657431,0.03001679,0.03190596,4764.0,0.07083625,0.07197143,0.30502269,0.61818273
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.49792432,0.29083506,0.07887594,0.12821332,12526.0,0.06895968,0.38448564,0.61136299,0.22782312
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 116000,0.52457421,0.28199513,0.08345499,0.15912409,4110.0,0.12090639,0.32568319,0.72346523,0.37914753
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,116000 to 153000,0.64223602,0.4310559,0.08173913,0.12944099,4025.0,0.13339443,0.42280219,0.86166986,0.34167164
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 153000,0.34069688,0.17057618,0.07196538,0.09815532,4391.0,0.0746748,0.21785683,0.46353693,0.36055525
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05470998,0.02185063,0.01146741,0.02139194,23981.0,0.01065809,0.03717742,0.07224254,0.32046367
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 53000,0.03265306,0.02079082,0.00752551,0.00433673,7840.0,0.01762407,0.00366147,0.06164466,0.88786763
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,53000 to 79000,0.05454771,0.02410537,0.01292247,0.01751988,8048.0,0.01606493,0.0281209,0.08097453,0.48447153
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 79000,0.07623872,0.02063512,0.01383912,0.04176449,8093.0,0.02374739,0.03717427,0.11530318,0.51239653
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.27463836,0.14930447,0.06830402,0.05702987,28827.0,0.02884519,0.22718802,0.3220887,0.1727739
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 78000,0.28624105,0.15729035,0.06373788,0.06521281,9492.0,0.04990064,0.2041545,0.36832759,0.28677421
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,78000 to 99000,0.2317574,0.13088344,0.05243761,0.04843635,9497.0,0.04469705,0.15823074,0.30528405,0.31725699
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 99000,0.30483838,0.15938199,0.08802602,0.05743037,9838.0,0.05116015,0.22067993,0.38899683,0.27607564
"2-4 Units (Own/Rent), 3 BR",All Values,,0.89295473,0.47130807,0.21052632,0.21112035,8417.0,0.11583765,0.7024018,1.0835077,0.21339596
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 85000,1.1037245,0.59871846,0.21585903,0.28914698,2497.0,0.18282658,0.80297474,1.4044742,0.27248624
"2-4 Units (Own/Rent), 3 BR",Second Tercile,85000 to 119000,0.80091384,0.40992167,0.21279373,0.17819843,3064.0,0.18316992,0.49959932,1.1022284,0.3762134
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 119000,0.80742297,0.42577031,0.20343137,0.17822129,2856.0,0.17966472,0.5118745,1.1029714,0.36603922
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,912.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 66000,0.0,0.0,0.0,0.0,153.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,66000 to 84000,0.0,0.0,0.0,0.0,223.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 84000,0.0,0.0,0.0,0.0,536.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.03884965,0.01210898,0.0,0.02674067,1982.0,0.028834,-0.00858229,0.08628158,1.2209104
"5-49 Units (Own), 2 BR",First Tercile,Below 57000,0.15555556,0.04848485,0.0,0.10707071,495.0,0.11880431,-0.03987753,0.35098864,1.2563556
