Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17127208,0.07748169,0.04424888,0.04954151,16249.0,0.02840342,0.12454845,0.21799571,0.27280353
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,150000,0.19481754,0.09497207,0.04790206,0.05194342,8413.0,0.03731037,0.13344198,0.25619311,0.31504126
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,150000,0.14599285,0.05870342,0.0403267,0.04696274,7836.0,0.04151989,0.07769263,0.21429307,0.46783263
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.40257978,0.17778855,0.10147629,0.12331494,134120.0,0.01482378,0.37819465,0.4269649,0.06057215
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,189000,0.45551591,0.20420329,0.12306733,0.12824529,68946.0,0.02478332,0.41474734,0.49628448,0.08949977
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,189000,0.34657992,0.14984503,0.07863565,0.11809924,65174.0,0.02122712,0.31166131,0.38149854,0.10075199
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.78297988,0.34931036,0.17491141,0.25875811,91715.0,0.02939916,0.73461827,0.83134149,0.0617661
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,0.81965868,0.34285895,0.18888491,0.28791482,47521.0,0.04301615,0.74889711,0.89042025,0.08633053
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,0.74353985,0.35624745,0.15988596,0.22740644,44194.0,0.04011379,0.67755266,0.80952703,0.08874734
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12562634,0.04545455,0.0511811,0.02899069,2794.0,0.0456137,0.0505918,0.20066088,0.5972835
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,119000,0.16261808,0.07624831,0.07962213,0.00674764,1482.0,0.07057537,0.04652161,0.27871456,0.71392108
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,119000,0.08384146,0.01067073,0.01905488,0.05411585,1312.0,0.06186405,-0.01792491,0.18560783,1.2137952
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.5001168,0.35832749,0.06190142,0.07988788,4281.0,0.12348232,0.29698838,0.70324521,0.40616196
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,143000,0.65968586,0.4925829,0.06980803,0.09729494,2292.0,0.21036757,0.31363122,1.0057405,0.5245749
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,143000,0.31623932,0.20361991,0.05279035,0.05982906,1989.0,0.11771104,0.12260465,0.50987398,0.61230422
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.09835575,0.02810164,0.01704036,0.05321375,3345.0,0.04604595,0.02261017,0.17410134,0.77011848
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,76000,0.01336432,0.00522952,0.00813481,0.0,1721.0,0.01039087,-0.00372865,0.0304573,1.2790006
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,76000,0.18842365,0.0523399,0.02647783,0.10960591,1624.0,0.09757309,0.02791592,0.34893137,0.85184493
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.32944503,0.16525274,0.11470484,0.04948745,5658.0,0.06309546,0.22565299,0.43323707,0.31505116
"2-4 Units  (Own/Rent), 2 BR",    Below Median,94000,0.25933267,0.14767096,0.0769739,0.03468781,3027.0,0.08197982,0.12447587,0.39418947,0.52001469
"2-4 Units  (Own/Rent), 2 BR",    Above Median,94000,0.41011022,0.18548081,0.15811479,0.06651463,2631.0,0.11576636,0.21967456,0.60054589,0.4643524
"2-4 Units (Own/Rent), 3 BR",All Values,,0.64683613,0.37804218,0.10329908,0.16549486,1849.0,0.17976676,0.35111981,0.94255245,0.45717348
"2-4 Units (Own/Rent), 3 BR",    Below Median,109000,0.78874459,0.46926407,0.12294372,0.1965368,1155.0,0.27006357,0.34449002,1.2329992,0.56324262
"2-4 Units (Own/Rent), 3 BR",    Above Median,109000,0.41066282,0.22622478,0.07060519,0.11383285,694.0,0.17677622,0.11986594,0.70145971,0.70811593
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,166.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,220000,0.0,0.0,0.0,0.0,137.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,220000,0.0,0.0,0.0,0.0,29.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,217.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Below Median,290000,0.0,0.0,0.0,0.0,199.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Above Median,290000,0.0,0.0,0.0,0.0,18.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.65384615,0.1025641,0.1025641,0.44871795,78.0,0.62596697,-0.37586951,1.6835618,1.5748592
"5-49 Units (Own), 3 BR",    Below Median,80000,0.65384615,0.1025641,0.1025641,0.44871795,78.0,0.62596697,-0.37586951,1.6835618,1.5748592
"5-49 Units (Rent), 0-1 BR",All Values,,0.01778809,0.00966744,0.0,0.00812065,12930.0,0.0075248,0.00540979,0.03016639,0.69587578
"5-49 Units (Rent), 0-1 BR",    Below Median,94000,0.03486962,0.01895088,0.0,0.01591874,6596.0,0.01492999,0.01030979,0.05942945,0.70433326
"5-49 Units (Rent), 0-1 BR",    Above Median,94000,0.0,0.0,0.0,0.0,6334.0,.,.,.,.
"5-49 Units (Rent), 2 BR",All Values,,0.23496841,0.15412677,0.04820533,0.03263631,15351.0,0.03567382,0.17628497,0.29365185,0.24975034
"5-49 Units (Rent), 2 BR",    Below Median,108000,0.21242588,0.13302398,0.04395463,0.03544728,7758.0,0.04675488,0.1355141,0.28933767,0.36206409
"5-49 Units (Rent), 2 BR",    Above Median,108000,0.25800079,0.17568813,0.0525484,0.02976426,7593.0,0.05293104,0.17092923,0.34507236,0.33748565
"5-49 Units (Rent), 3 BR",All Values,,0.90725806,0.44203629,0.29435484,0.17086694,1984.0,0.299822,0.41405088,1.4004652,0.54362392
"5-49 Units (Rent), 3 BR",    Below Median,102000,0.5333927,0.36420303,0.06500445,0.10418522,1123.0,0.20637516,0.19390556,0.87287984,0.63646754
"5-49 Units (Rent), 3 BR",    Above Median,102000,1.3948897,0.54355401,0.59349593,0.25783972,861.0,0.7039128,0.2369531,2.5528262,0.83012771
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,58.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,215000,0.0,0.0,0.0,0.0,58.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,67.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,120000,0.0,0.0,0.0,0.0,67.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.00460564,0.0,0.0,0.00460564,6948.0,0.00454487,-0.00287067,0.01208196,1.6232949
"50+ Units (Rent), 0-1 BR",    Below Median,105000,0.0,0.0,0.0,0.0,3534.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Above Median,105000,0.00937317,0.0,0.0,0.00937317,3414.0,0.00926183,-0.00586254,0.02460888,1.6254599
"50+ Units (Rent), 2 BR",All Values,,0.12086659,0.05473204,0.05131129,0.01482326,3508.0,0.04482853,0.04712366,0.19460952,0.61011841
"50+ Units (Rent), 2 BR",    Below Median,123000,0.14656085,0.02380952,0.0952381,0.02751323,1890.0,0.05906599,0.04939729,0.2437244,0.6629571
"50+ Units (Rent), 2 BR",    Above Median,123000,0.0908529,0.0908529,0.0,0.0,1618.0,0.05653303,-0.00214393,0.18384974,1.0235978
"50+ Units (Rent), 3 BR",All Values,,0.69325153,0.27607362,0.14110429,0.27607362,163.0,0.50772306,-0.14195291,1.528456,1.2047639
"50+ Units (Rent), 3 BR",    Below Median,127000,0.79577465,0.31690141,0.16197183,0.31690141,142.0,0.61618595,-0.21785124,1.8094005,1.27376
"50+ Units (Rent), 3 BR",    Above Median,127000,0.0,0.0,0.0,0.0,21.0,.,.,.,.
All Housing Types (Own) 0-1 BR,All Values,,0.1077951,0.08485523,0.00979955,0.01314031,4490.0,0.03568332,0.04909604,0.16649416,0.54454297
All Housing Types (Own) 0-1 BR,    Below Median,90000,0.08764429,0.05899957,0.0102608,0.01838392,2339.0,0.04450535,0.01443298,0.1608556,0.83532317
All Housing Types (Own) 0-1 BR,    Above Median,90000,0.12970711,0.11297071,0.009298,0.0074384,2151.0,0.06220743,0.02737589,0.23203834,0.78894074
All Housing Types (Own) 2 BR,All Values,,0.15412059,0.06914021,0.04059936,0.04438102,14015.0,0.02870465,0.10690143,0.20133974,0.306378
All Housing Types (Own) 2 BR,    Below Median,175000,0.15907813,0.07448004,0.04117482,0.04342327,7116.0,0.02985301,0.10996993,0.20818634,0.30870495
All Housing Types (Own) 2 BR,    Above Median,175000,0.1490071,0.06363241,0.0400058,0.04536889,6899.0,0.04634786,0.07276487,0.22524934,0.51166847
All Housing Types (Own) 3 BR,All Values,,0.36984052,0.15720014,0.09400662,0.11863375,119949.0,0.01426893,0.34636813,0.3933129,0.06346624
All Housing Types (Own) 3 BR,    Below Median,200000,0.39824902,0.16756774,0.10852131,0.12215997,61223.0,0.02057096,0.3644098,0.43208825,0.08497001
All Housing Types (Own) 3 BR,    Above Median,200000,0.34022409,0.14639172,0.07887477,0.1149576,58726.0,0.02260888,0.30303249,0.3774157,0.10931503
All Housing Types (Own) 4-5 BR,All Values,,0.75884396,0.33482841,0.17279649,0.25121906,86952.0,0.02952945,0.71026801,0.80741991,0.06401309
All Housing Types (Own) 4-5 BR,    Below Median,300000,0.79432432,0.33202703,0.18975225,0.27254505,44400.0,0.04511819,0.72010489,0.86854375,0.09343719
All Housing Types (Own) 4-5 BR,    Above Median,300000,0.72182271,0.33775146,0.15510434,0.22896691,42552.0,0.0399784,0.65605825,0.78758717,0.09110889
All Housing Types (Rent) 0-1 BR,All Values,,0.0212792,0.00665741,0.00151119,0.0131106,24484.0,0.00578024,0.01177071,0.03078769,0.44684434
All Housing Types (Rent) 0-1 BR,    Below Median,93000,0.03227889,0.00702066,0.00234022,0.02291801,12392.0,0.01066779,0.01473037,0.04982741,0.54365318
