Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16697351,0.08414967,0.038223,0.04460084,159145.0,0.0078478,0.15406389,0.17988314,0.07731542
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 177000,0.2193484,0.11686941,0.04645228,0.05602671,52118.0,0.01746826,0.19061312,0.24808368,0.13100293
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,177000 to 340000,0.16702086,0.07494405,0.04462791,0.04744889,53173.0,0.01514159,0.14211293,0.19192878,0.14913061
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 340000,0.1162402,0.06157388,0.02393508,0.03073124,53854.0,0.01031094,0.09927871,0.1332017,0.1459176
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.33389712,0.14309491,0.08086346,0.10993875,555764.0,0.0056683,0.32457277,0.34322147,0.02792582
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 270000,0.42534605,0.18360497,0.09806787,0.14367321,179957.0,0.01289296,0.40413713,0.44655498,0.04986274
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,270000 to 419000,0.30283574,0.12522061,0.07779594,0.09981918,184714.0,0.01036224,0.28578985,0.31988162,0.05628755
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 419000,0.27780191,0.12222321,0.06762676,0.08795194,191093.0,0.00869396,0.26350034,0.29210348,0.05148118
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.56774265,0.21963641,0.14664939,0.20145685,290216.0,0.01173419,0.54843991,0.58704538,0.03399909
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 378000,0.62752284,0.24924967,0.1673445,0.21092866,91960.0,0.02548698,0.58559676,0.66944892,0.06681204
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,378000 to 561000,0.54610699,0.21197848,0.13895036,0.19517815,98510.0,0.02068622,0.51207816,0.58013583,0.06231166
