Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16751269,0.08812183,0.0314044,0.04798646
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,0.24710022,0.14635736,0.05056692,0.05017594
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,0.08152633,0.02520417,0.01070121,0.04562095
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.34980978,0.14824372,0.08657675,0.11498931
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,350000,0.38478353,0.16939761,0.08763874,0.12774718
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,350000,0.31141167,0.1250186,0.08541078,0.10098229
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.68839449,0.27900032,0.17615409,0.23324007
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,485000,0.75859686,0.32436885,0.20244486,0.23178315
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,485000,0.61644059,0.23249986,0.14920739,0.23473334
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.18580092,0.10821832,0.04381012,0.03377248
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,250000,0.28695832,0.15799295,0.08231391,0.04665146
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,250000,0.0828939,0.05758279,0.00464037,0.02067074
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.45877944,0.20372353,0.11676184,0.13829408
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,281000,0.53477357,0.23116913,0.12719501,0.17640943
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,281000,0.37812653,0.17459539,0.10568906,0.09784208
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05761436,0.01910828,0.02518819,0.01331789
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,108000,0.10693176,0.0354648,0.04674906,0.02471789
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,108000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.41352431,0.20578778,0.09646302,0.11127351
"2-4 Units  (Own/Rent), 2 BR",    Below Median,135000,0.47828539,0.28764805,0.07163001,0.11900733
"2-4 Units  (Own/Rent), 2 BR",    Above Median,135000,0.34385113,0.11771845,0.12317961,0.10295307
"2-4 Units (Own/Rent), 3 BR",All Values,,0.68684211,0.37719298,0.10241228,0.20723684
"2-4 Units (Own/Rent), 3 BR",    Below Median,177000,0.92194524,0.52390682,0.1181038,0.27993461
"2-4 Units (Own/Rent), 3 BR",    Above Median,177000,0.41457643,0.20728822,0.08424042,0.1230478
"5-49 Units (Own), 0-1 BR",All Values,,0.01829826,0.01829826,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,210000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,210000,0.04175365,0.04175365,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.02635826,0.0,0.0,0.02635826
"5-49 Units (Own), 2 BR",    Below Median,320000,0.02254283,0.0,0.0,0.02254283
"5-49 Units (Own), 2 BR",    Above Median,320000,0.032,0.0,0.0,0.032
"5-49 Units (Own), 3 BR",All Values,,0.0626151,0.0626151,0.0,0.0
