Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18436183,0.07841161,0.04474904,0.06120118,104181.0,0.01114569,0.16602717,0.20269649,0.09944932
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 55000,0.24697214,0.11887716,0.06097488,0.0671201,33522.0,0.02289483,0.20931014,0.28463413,0.15249491
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,55000 to 97000,0.18543379,0.06733101,0.04169377,0.07640901,33818.0,0.01889381,0.15435347,0.21651411,0.16760871
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 97000,0.12640808,0.05176298,0.03278956,0.04185554,36841.0,0.01575929,0.10048404,0.15233212,0.20508214
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.29671886,0.10877165,0.07305685,0.11489036,484253.0,0.00599468,0.28685762,0.30658011,0.0332343
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 85000,0.38551416,0.15250064,0.0977287,0.13528483,144983.0,0.01285233,0.36437209,0.40665624,0.05484124
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,85000 to 130000,0.29486593,0.10582448,0.07345506,0.1155864,168307.0,0.01042146,0.27772263,0.31200923,0.05813932
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 130000,0.22324129,0.07458924,0.05174219,0.09690986,170963.0,0.00920175,0.20810441,0.23837816,0.06780498
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.26728622,0.10111026,0.06416426,0.1020117,154198.0,0.01199186,0.24755961,0.28701283,0.07380332
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 105000,0.38172828,0.15877753,0.09240421,0.13054654,45907.0,0.02511121,0.34042034,0.42303621,0.10821293
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,105000 to 177000,0.25370696,0.09089094,0.05787764,0.10493838,55099.0,0.01639462,0.22673782,0.28067611,0.10630039
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 177000,0.18258385,0.06192661,0.04630396,0.07435329,53192.0,0.01917536,0.15104038,0.21412731,0.17276153
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1902437,0.08475213,0.05737773,0.04811384,23964.0,0.02107149,0.1555811,0.2249063,0.18220103
