Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.28644068,0.12308313,0.05916061,0.10419693,12390.0,0.04166441,0.21790272,0.35497864,0.23927453
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,80000,0.38520801,0.17812018,0.06764253,0.1394453,6490.0,0.06566439,0.27719009,0.49322593,0.28041452
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,80000,0.17779661,0.06254237,0.04983051,0.06542373,5900.0,0.04371793,0.10588062,0.2497126,0.4044846
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.48774129,0.16659687,0.12412703,0.19701739,74029.0,0.0253227,0.44608544,0.52939714,0.08540562
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,102000,0.57239306,0.20710481,0.15541432,0.20987394,37918.0,0.0386121,0.50887616,0.63590996,0.11096728
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,102000,0.39885353,0.12406192,0.09127413,0.18351749,36111.0,0.03028831,0.34902926,0.44867781,0.12491872
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.36020978,0.13260564,0.08873065,0.13887349,23453.0,0.03877971,0.29641716,0.4240024,0.17709852
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,180000,0.41871141,0.17231281,0.08120943,0.16518917,12634.0,0.05416632,0.32960781,0.50781502,0.21280433
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,180000,0.29189389,0.08623718,0.09751363,0.10814308,10819.0,0.05353747,0.20382476,0.37996302,0.30171626
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.22592747,0.09879116,0.10004168,0.02709462,2399.0,0.06771901,0.1145297,0.33732523,0.49306871
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,55000,0.2169059,0.1291866,0.0661882,0.0215311,1254.0,0.09496215,0.06069316,0.37311864,0.72018666
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,55000,0.23580786,0.06550218,0.1371179,0.03318777,1145.0,0.09627384,0.07743739,0.39417833,0.67160809
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.48847926,0.1965538,0.12161891,0.17030655,4991.0,0.07811815,0.35997491,0.61698361,0.26307023
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,90000,0.59786096,0.21069519,0.13333333,0.25383244,2805.0,0.12242507,0.39647172,0.7992502,0.33684962
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,90000,0.34812443,0.17840805,0.10658737,0.063129,2186.0,0.1223466,0.14686427,0.54938459,0.57812709
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04483188,0.0,0.0,0.04483188,803.0,0.04522673,-0.02956609,0.11922985,1.6594881
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,39000,0.06642066,0.0,0.0,0.06642066,542.0,0.06799707,-0.04543452,0.17827585,1.6840419
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,39000,0.0,0.0,0.0,0.0,261.0,.,.,.,.
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.14227016,0.09244992,0.01643554,0.03338469,1947.0,0.06058859,0.04260193,0.24193839,0.70055613
"2-4 Units  (Own/Rent), 2 BR",    Below Median,51000,0.12268744,0.1090555,0.0,0.01363194,1027.0,0.08301974,-0.01388003,0.2592549,1.1131332
"2-4 Units  (Own/Rent), 2 BR",    Above Median,51000,0.16413043,0.07391304,0.03478261,0.05543478,920.0,0.08784055,0.01963273,0.30862814,0.88038335
"2-4 Units (Own/Rent), 3 BR",All Values,,0.60013932,0.23615465,0.15743643,0.20654824,2871.0,0.13722779,0.37439961,0.82587904,0.37614552
"2-4 Units (Own/Rent), 3 BR",    Below Median,114000,0.74932065,0.25747283,0.25,0.24184783,1472.0,0.2349953,0.36275339,1.1358879,0.51589031
"2-4 Units (Own/Rent), 3 BR",    Above Median,114000,0.4431737,0.21372409,0.06004289,0.16940672,1399.0,0.15656862,0.18561832,0.70072907,0.58116124
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,246.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,150000,0.0,0.0,0.0,0.0,246.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.07859848,0.01893939,0.04545455,0.01420455,1056.0,0.04646351,0.00216601,0.15503096,0.97244206
"5-49 Units (Own), 2 BR",    Below Median,140000,0.1197411,0.03236246,0.0631068,0.02427184,618.0,0.07883883,-0.00994878,0.24943098,1.0830858
"5-49 Units (Own), 2 BR",    Above Median,140000,0.02054795,0.0,0.02054795,0.0,438.0,0.01949361,-0.01151904,0.05261493,1.5605932
