Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.12857617,0.06077113,0.02339901,0.04440603,42224.0,0.01523893,0.10350813,0.15364421,0.19496646
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 209000,0.14129958,0.07771111,0.01646422,0.04712425,13666.0,0.0284585,0.09448534,0.18811381,0.33131194
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,209000 to 290000,0.10717575,0.05057732,0.0218885,0.03470992,14117.0,0.02123374,0.07224625,0.14210525,0.32590863
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 290000,0.13745585,0.05470535,0.03143827,0.05131224,14441.0,0.02431157,0.09746333,0.17744838,0.29094814
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35151109,0.14828496,0.08612503,0.1171011,129939.0,0.01163741,0.33236756,0.37065463,0.05446068
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 250000,0.36023553,0.15503423,0.09360469,0.11159661,42797.0,0.02381023,0.3210677,0.39940336,0.10872839
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,250000 to 351000,0.35059062,0.14711116,0.09257154,0.11090792,40466.0,0.02384726,0.31136188,0.38981936,0.11189331
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 351000,0.34430971,0.14311423,0.07367812,0.12751735,46676.0,0.02129512,0.30927924,0.37934018,0.10174117
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.49126163,0.18221303,0.12244054,0.18660807,58020.0,0.02313513,0.45320435,0.52931892,0.07746847
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 298000,0.50481199,0.18679989,0.13431501,0.18369708,19015.0,0.04853633,0.42496973,0.58465425,0.15816238
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,298000 to 475000,0.43704153,0.15774089,0.10600629,0.17329436,18131.0,0.03560449,0.37847215,0.49561091,0.13401331
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 475000,0.52601322,0.19929098,0.12589825,0.20082399,20874.0,0.04177306,0.45729653,0.59472991,0.13063681
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12679426,0.09186603,0.01590909,0.01901914,8360.0,0.03200787,0.0741413,0.17944721,0.41526292
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 182000,0.25091979,0.15930831,0.03642384,0.05518764,2718.0,0.07352781,0.12996655,0.37187304,0.48203947
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,182000 to 276000,0.08379681,0.06785317,0.0126066,0.00333704,2697.0,0.03743001,0.02222445,0.14536918,0.73478172
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 276000,0.0516129,0.0516129,0.0,0.0,2945.0,0.03670156,-0.00876116,0.11198696,1.1697474
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.4344942,0.16791045,0.11567164,0.15091211,4824.0,0.08697241,0.29142457,0.57756382,0.32927856
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 226000,0.82860999,0.28205128,0.20985155,0.33670715,1482.0,0.22778752,0.45389951,1.2033205,0.45221574
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,226000 to 348000,0.39694656,0.18256997,0.08333333,0.13104326,1572.0,0.12994505,0.18318696,0.61070617,0.53850976
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 348000,0.13785311,0.05932203,0.06553672,0.01299435,1770.0,0.06725598,0.02721702,0.2484892,0.80256508
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0651765,0.02806713,0.015625,0.02148438,13824.0,0.01811498,0.03537737,0.09497564,0.45720673
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 89000,0.06360035,0.01804577,0.02860915,0.01694542,4544.0,0.03158774,0.01163851,0.11556219,0.8170055
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,89000 to 124000,0.04094454,0.02491334,0.00693241,0.00909879,4616.0,0.02502415,-0.00022019,0.08210927,1.0053778
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 124000,0.09069468,0.04095197,0.01157804,0.03816467,4664.0,0.03280776,0.03672591,0.14466345,0.5950599
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.28303143,0.14646599,0.06517492,0.07139052,45048.0,0.02312949,0.24498342,0.32107945,0.13443036
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 117000,0.36396631,0.19427515,0.07676505,0.09292611,14603.0,0.05911259,0.26672609,0.46120653,0.26716818
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,117000 to 178000,0.3398294,0.16377953,0.08484252,0.09120735,15240.0,0.04316449,0.26882381,0.41083498,0.20894481
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 178000,0.14837225,0.08319632,0.03433081,0.03084512,15205.0,0.02697985,0.10399039,0.19275411,0.29912508
"2-4 Units (Own/Rent), 3 BR",All Values,,0.64193455,0.25781874,0.16192584,0.22218997,27562.0,0.04601987,0.56623185,0.71763724,0.11792899
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 126000,0.68975501,0.27939866,0.17305122,0.23730512,8980.0,0.08409528,0.55141828,0.82809174,0.20055922
"2-4 Units (Own/Rent), 3 BR",Second Tercile,126000 to 184000,0.75646646,0.32452872,0.1978299,0.23410785,9124.0,0.1049766,0.58377995,0.92915297,0.22828046
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 184000,0.48604356,0.17297526,0.11672658,0.19634172,9458.0,0.06591742,0.37760941,0.59447771,0.22309554
"5-49 Units (Own), 0-1 BR",All Values,,0.00791557,0.0,0.0,0.00791557,1137.0,0.00917067,-0.00717018,0.02300132,1.9058328
"5-49 Units (Own), 0-1 BR",First Tercile,Below 143000,0.0,0.0,0.0,0.0,345.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,143000 to 230000,0.02419355,0.0,0.0,0.02419355,372.0,0.02872828,-0.02306447,0.07145156,1.9533312
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 230000,0.0,0.0,0.0,0.0,420.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0495182,0.02703426,0.0,0.02248394,3736.0,0.02518674,0.00808602,0.09095039,0.8367062
"5-49 Units (Own), 2 BR",First Tercile,Below 171000,0.01487314,0.0,0.0,0.01487314,1143.0,0.01609915,-0.01160996,0.04135624,1.7805992
"5-49 Units (Own), 2 BR",Second Tercile,171000 to 275000,0.0624025,0.02028081,0.0,0.04212168,1282.0,0.04293661,-0.00822823,0.13303322,1.1318574
"5-49 Units (Own), 2 BR",Third Tercile ,Above 275000,0.06712433,0.05720824,0.0,0.00991609,1311.0,0.05528524,-0.02381989,0.15806855,1.3548622
"5-49 Units (Own), 3 BR",All Values,,0.05818182,0.0,0.0,0.05818182,275.0,0.06637951,-0.05101248,0.16737612,1.876777
"5-49 Units (Own), 3 BR",First Tercile,Below 162000,0.0,0.0,0.0,0.0,12.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,162000 to 295000,0.0,0.0,0.0,0.0,89.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 295000,0.09195402,0.0,0.0,0.09195402,174.0,0.10633099,-0.08296046,0.26686851,1.902195
"5-49 Units (Rent), 0-1 BR",All Values,,0.02613594,0.01010645,0.00654434,0.00948515,24143.0,0.00757842,0.01366944,0.03860244,0.47698694
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 74000,0.0104534,0.0,0.00579345,0.00465995,7940.0,0.00791173,-0.00256139,0.02346819,1.2450292
"5-49 Units (Rent), 0-1 BR",Second Tercile,74000 to 115000,0.0715685,0.03186627,0.01462714,0.02507509,7657.0,0.02248871,0.03457457,0.10856243,0.51690242
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 115000,0.0,0.0,0.0,0.0,8546.0,.,.,.,.
"5-49 Units (Rent), 2 BR",All Values,,0.29808424,0.1558199,0.05975517,0.08250916,14459.0,0.03274844,0.24421306,0.35195542,0.18072469
"5-49 Units (Rent), 2 BR",First Tercile,Below 107000,0.39586847,0.17453626,0.1279511,0.09338111,4744.0,0.07215522,0.27717312,0.51456381,0.29983531
