Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15277127,0.0800165,0.03382766,0.03892711,160017.0,0.00781403,0.13991719,0.16562535,0.08413937
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 90000,0.18374585,0.09710763,0.04263632,0.0440019,52725.0,0.01747062,0.15500668,0.21248502,0.1564072
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,90000 to 159000,0.18479179,0.09707809,0.04237431,0.04533939,53287.0,0.01629798,0.1579816,0.21160197,0.1450832
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 159000,0.09093602,0.04649569,0.01679474,0.02764559,54005.0,0.00878253,0.07648876,0.10538329,0.15887285
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.30462692,0.13298661,0.07602826,0.09561205,723915.0,0.00478239,0.29675989,0.31249396,0.02582515
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 140000,0.36278935,0.15742469,0.09532447,0.11004019,230434.0,0.01124443,0.34429225,0.38128644,0.05098577
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,140000 to 225000,0.32823151,0.14254528,0.08306418,0.10262205,246448.0,0.00891222,0.31357092,0.34289211,0.04466542
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 225000,0.22682395,0.10065457,0.05100938,0.07516,247033.0,0.00801349,0.21364175,0.24000614,0.05811643
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.56785068,0.22834866,0.13963445,0.19986757,376039.0,0.00955403,0.5521343,0.58356705,0.02767695
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 221000,0.58246891,0.24152418,0.137089,0.20385573,119251.0,0.02095655,0.54799538,0.61694244,0.05918519
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,221000 to 378000,0.62417499,0.26153401,0.15250858,0.2101324,124393.0,0.0190851,0.59278001,0.65556998,0.05029837
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 378000,0.50176366,0.18530156,0.12983119,0.18663092,132395.0,0.0181155,0.47196366,0.53156366,0.05939052
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.14871942,0.07848483,0.03619341,0.03404118,27878.0,0.01772964,0.11955417,0.17788467,0.19610923
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 113000,0.18135687,0.09762824,0.03309432,0.05063431,9065.0,0.03482396,0.12407146,0.23864228,0.31587119
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,113000 to 165000,0.18763418,0.11485616,0.05592529,0.01685273,9316.0,0.03269391,0.1338527,0.24141566,0.28662944
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 165000,0.07939349,0.02453406,0.01979572,0.0350637,9497.0,0.01959061,0.04716694,0.11162005,0.40590931
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.26076944,0.10667841,0.0603495,0.09374153,29528.0,0.02460289,0.22029768,0.3012412,0.15520132
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 160000,0.41414034,0.16535934,0.10663557,0.14214543,9434.0,0.05322872,0.32657911,0.50170158,0.2114289
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,160000 to 233000,0.29150758,0.13362914,0.06800124,0.08987721,9691.0,0.05201803,0.20593792,0.37707725,0.29354182
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 233000,0.09305008,0.0283572,0.01124676,0.05344612,10403.0,0.02014067,0.05991867,0.12618149,0.35605997
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07771267,0.04500686,0.01442048,0.01828533,24063.0,0.01771004,0.04857965,0.10684569,0.37488117
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 50000,0.09819843,0.04821111,0.02664298,0.02334433,7882.0,0.03318793,0.04360428,0.15279257,0.55595743
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,50000 to 90000,0.03991623,0.01478379,0.00246396,0.02266847,8117.0,0.01269367,0.01903513,0.06079732,0.52312298
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 90000,0.09573413,0.07229663,0.01450893,0.00892857,8064.0,0.04053605,0.02905233,0.16241593,0.69653114
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.23118763,0.12472542,0.04370201,0.06276019,47801.0,0.01582915,0.20514868,0.25722659,0.11263126
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 85000,0.30082948,0.17501425,0.05458114,0.07123409,15793.0,0.03702709,0.23991992,0.36173905,0.20247207
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,85000 to 113000,0.21190582,0.10039982,0.05324618,0.05825982,15757.0,0.03059459,0.16157772,0.26223391,0.23750219
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 113000,0.18220417,0.09944003,0.02387545,0.05888868,16251.0,0.02605617,0.13934178,0.22506656,0.23524375
"2-4 Units (Own/Rent), 3 BR",All Values,,0.72796664,0.33467107,0.18917218,0.20412339,12708.0,0.07765171,0.60022957,0.8557037,0.17547104
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 99000,0.94470812,0.50379687,0.23065971,0.21025154,4214.0,0.16521342,0.67293203,1.2164842,0.28768259
"2-4 Units (Own/Rent), 3 BR",Second Tercile,99000 to 154000,0.86237189,0.33601757,0.29526598,0.23108834,4098.0,0.16865587,0.58493299,1.1398108,0.32171608
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 154000,0.39490446,0.17129208,0.05050045,0.17311192,4396.0,0.08209877,0.25985198,0.52995693,0.34198772
"5-49 Units (Own), 0-1 BR",All Values,,0.02746694,0.02746694,0.0,0.0,1966.0,0.02730116,-0.01744348,0.07237735,1.6350717
"5-49 Units (Own), 0-1 BR",First Tercile,Below 85000,0.0,0.0,0.0,0.0,522.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,85000 to 200000,0.08244275,0.08244275,0.0,0.0,655.0,0.08293809,-0.05399042,0.21887591,1.6548837
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 200000,0.0,0.0,0.0,0.0,789.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.03575477,0.02277177,0.00618238,0.00680062,9705.0,0.01096839,0.01771177,0.05379777,0.50463203
"5-49 Units (Own), 2 BR",First Tercile,Below 120000,0.06662375,0.03604763,0.01094303,0.01963309,3107.0,0.02801892,0.02053262,0.11271488,0.69181227
"5-49 Units (Own), 2 BR",Second Tercile,120000 to 185000,0.01308901,0.00850785,0.00458115,0.0,3056.0,0.01052755,-0.00422882,0.03040683,1.323082
"5-49 Units (Own), 2 BR",Third Tercile ,Above 185000,0.02823264,0.02343309,0.00338792,0.00141163,3542.0,0.01613526,0.00169014,0.05477514,0.94013535
"5-49 Units (Own), 3 BR",All Values,,0.13695691,0.05810835,0.03486501,0.04398355,5593.0,0.03886162,0.07302955,0.20088427,0.46676989
"5-49 Units (Own), 3 BR",First Tercile,Below 143000,0.10067873,0.01470588,0.03959276,0.04638009,1768.0,0.07376589,-0.02066615,0.22202362,1.2052683
"5-49 Units (Own), 3 BR",Second Tercile,143000 to 262000,0.23512586,0.10125858,0.06864989,0.06521739,1748.0,0.09466005,0.07941008,0.39084164,0.66226566
"5-49 Units (Own), 3 BR",Third Tercile ,Above 262000,0.08521907,0.05873857,0.00240732,0.02407318,2077.0,0.04851873,0.00540576,0.16503238,0.93656636
"5-49 Units (Rent), 0-1 BR",All Values,,0.04080761,0.01849994,0.01231472,0.00999294,53838.0,0.00855802,0.02672966,0.05488556,0.34498347
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 87000,0.02624388,0.00762837,0.00762837,0.01098713,17566.0,0.00877499,0.01180902,0.04067874,0.55002777
"5-49 Units (Rent), 0-1 BR",Second Tercile,87000 to 121000,0.05974403,0.02677025,0.01698988,0.0159839,17893.0,0.01756879,0.03084337,0.08864469,0.48374137
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 121000,0.03629142,0.020839,0.01224223,0.00321019,18379.0,0.01617706,0.00968015,0.06290269,0.73326616
"5-49 Units (Rent), 2 BR",All Values,,0.29587534,0.15919647,0.05908193,0.07759695,79449.0,0.01661594,0.26854212,0.32320856,0.09238086
"5-49 Units (Rent), 2 BR",First Tercile,Below 100000,0.37384105,0.23144721,0.06348964,0.07890419,26209.0,0.03555645,0.31535069,0.43233141,0.15645783
"5-49 Units (Rent), 2 BR",Second Tercile,100000 to 133000,0.31397014,0.1505579,0.0767114,0.08670084,26528.0,0.03182943,0.26161072,0.36632957,0.1667656
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 133000,0.20140761,0.09688529,0.03724918,0.06727314,26712.0,0.02297429,0.1636149,0.23920031,0.1876429
"5-49 Units (Rent), 3 BR",All Values,,0.8609182,0.43071545,0.19473316,0.23546959,21455.0,0.07748364,0.73345762,0.98837878,0.14805191
"5-49 Units (Rent), 3 BR",First Tercile,Below 112000,1.0557712,0.51027742,0.298117,0.24737674,6957.0,0.14524899,0.81683658,1.2947058,0.22631285
"5-49 Units (Rent), 3 BR",Second Tercile,112000 to 157000,0.73111952,0.33081127,0.14964271,0.25066555,7137.0,0.11109635,0.54836602,0.91387301,0.24996391
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 157000,0.80260834,0.45238419,0.14074175,0.20948241,7361.0,0.12666108,0.59425087,1.0109658,0.25960043
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,932.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 138000,0.0,0.0,0.0,0.0,276.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,138000 to 205000,0.0,0.0,0.0,0.0,243.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 205000,0.0,0.0,0.0,0.0,413.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.00971548,0.0,0.00971548,0.0,1441.0,0.00992822,-0.00661645,0.0260474,1.681022
"50+ Units (Own), 2 BR",First Tercile,Below 167000,0.0,0.0,0.0,0.0,413.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,167000 to 309000,0.0,0.0,0.0,0.0,509.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 309000,0.02697495,0.0,0.02697495,0.0,519.0,0.027704,-0.01859813,0.07254803,1.6894592
"50+ Units (Own), 3 BR",All Values,,0.01283697,0.01283697,0.0,0.0,779.0,0.01384289,-0.00993459,0.03560853,1.7739044
"50+ Units (Own), 3 BR",First Tercile,Below 258000,0.04405286,0.04405286,0.0,0.0,227.0,0.04881477,-0.03624744,0.12435317,1.8228169
"50+ Units (Own), 3 BR",Second Tercile,258000 to 387000,0.0,0.0,0.0,0.0,203.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 387000,0.0,0.0,0.0,0.0,349.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.02792387,0.01474814,0.00623543,0.0069403,18443.0,0.01128036,0.00936768,0.04648007,0.664528
"50+ Units (Rent), 0-1 BR",First Tercile,Below 89000,0.05578162,0.0332316,0.01152933,0.01102068,5898.0,0.02575248,0.01341879,0.09814445,0.75944057
"50+ Units (Rent), 0-1 BR",Second Tercile,89000 to 139000,0.02138106,0.01203674,0.00744378,0.00190054,6314.0,0.01436269,-0.00224557,0.04500769,1.1050261
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 139000,0.00818488,0.0,0.0,0.00818488,6231.0,0.00788543,-0.00478665,0.02115642,1.5848162
"50+ Units (Rent), 2 BR",All Values,,0.13253118,0.05726331,0.03179343,0.04347444,11386.0,0.02459557,0.09207147,0.17299089,0.30528448
"50+ Units (Rent), 2 BR",First Tercile,Below 127000,0.19892038,0.08960864,0.06504723,0.04426451,3705.0,0.05394214,0.11018555,0.28765521,0.44608214
"50+ Units (Rent), 2 BR",Second Tercile,127000 to 171000,0.17187911,0.07542707,0.02155059,0.07490145,3805.0,0.05340576,0.08402664,0.25973157,0.51112942
"50+ Units (Rent), 2 BR",Third Tercile ,Above 171000,0.03044376,0.00851393,0.01006192,0.01186791,3876.0,0.016629,0.00308906,0.05779845,0.89853229
"50+ Units (Rent), 3 BR",All Values,,0.63538576,0.40727003,0.07418398,0.15393175,2696.0,0.18871043,0.32495711,0.94581441,0.48856722
"50+ Units (Rent), 3 BR",First Tercile,Below 135000,0.5472155,0.39830508,0.05084746,0.09806295,826.0,0.23302915,0.16388255,0.93054845,0.70051552
"50+ Units (Rent), 3 BR",Second Tercile,135000 to 185000,0.7849711,0.57919075,0.0300578,0.17572254,865.0,0.35972603,0.19322179,1.3767204,0.75384853
"50+ Units (Rent), 3 BR",Third Tercile ,Above 185000,0.57910448,0.26666667,0.13134328,0.18109453,1005.0,0.32406005,0.04602569,1.1121833,0.92052265
All Housing Types (Own) 0-1 BR,All Values,,0.0604579,0.02491269,0.01094296,0.02460225,12885.0,0.01409354,0.03727402,0.08364177,0.38347138
All Housing Types (Own) 0-1 BR,First Tercile,Below 86000,0.08778626,0.04604008,0.02743321,0.01431298,4192.0,0.03316785,0.03322514,0.14234738,0.62152231
All Housing Types (Own) 0-1 BR,Second Tercile,86000 to 175000,0.03569729,0.0145169,0.00618753,0.01499286,4202.0,0.01427607,0.01221316,0.05918142,0.65786872
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 175000,0.05811623,0.01491873,0.0,0.04319751,4491.0,0.02390496,0.01879257,0.0974399,0.67663822
All Housing Types (Own) 2 BR,All Values,,0.0841465,0.0413368,0.01680202,0.02600768,146649.0,0.00560287,0.07492978,0.09336321,0.10953177
All Housing Types (Own) 2 BR,First Tercile,Below 101000,0.10964614,0.05631167,0.0198622,0.03347227,47024.0,0.01436006,0.08602384,0.13326844,0.21544121
All Housing Types (Own) 2 BR,Second Tercile,101000 to 193000,0.07068555,0.03370903,0.01666839,0.02030814,48355.0,0.00776317,0.05791514,0.08345597,0.18066516
All Housing Types (Own) 2 BR,Third Tercile ,Above 193000,0.07345426,0.03479618,0.01412132,0.02453677,51270.0,0.00905363,0.05856104,0.08834749,0.2027551
All Housing Types (Own) 3 BR,All Values,,0.25127339,0.10815843,0.06068023,0.08243473,664368.0,0.00530982,0.24253874,0.26000804,0.03476155
All Housing Types (Own) 3 BR,First Tercile,Below 150000,0.28207706,0.11795287,0.07263709,0.0914871,213899.0,0.01043006,0.26491961,0.2992345,0.06082538
All Housing Types (Own) 3 BR,Second Tercile,150000 to 244000,0.26328457,0.11325153,0.06339531,0.08663773,223944.0,0.00785122,0.25036931,0.27619983,0.04905437
All Housing Types (Own) 3 BR,Third Tercile ,Above 244000,0.21031233,0.09387485,0.04670566,0.06973182,226525.0,0.00707026,0.19868176,0.2219429,0.05530143
All Housing Types (Own) 4-5 BR,All Values,,0.53945339,0.21397411,0.13380846,0.19167083,356674.0,0.00973046,0.52344678,0.55546001,0.02967191
All Housing Types (Own) 4-5 BR,First Tercile,Below 237000,0.51020174,0.21187609,0.12082074,0.17750491,113118.0,0.01784242,0.48085096,0.53955252,0.0575278
All Housing Types (Own) 4-5 BR,Second Tercile,237000 to 393000,0.62109751,0.25442683,0.15270424,0.21396644,116336.0,0.02123271,0.58616971,0.65602531,0.05623562
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 393000,0.49080333,0.17884767,0.12807735,0.18387832,127220.0,0.01884444,0.45980424,0.52180243,0.06315992
All Housing Types (Rent) 0-1 BR,All Values,,0.05084385,0.02669786,0.01157036,0.01257564,103454.0,0.0070304,0.03927884,0.06240887,0.22746137
All Housing Types (Rent) 0-1 BR,First Tercile,Below 75000,0.0442214,0.02314391,0.00932841,0.01174908,33875.0,0.00996697,0.02782573,0.06061707,0.37076319
All Housing Types (Rent) 0-1 BR,Second Tercile,75000 to 116000,0.07204469,0.03485006,0.01618039,0.02101424,34548.0,0.01408283,0.04887844,0.09521094,0.32155388
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 116000,0.03633924,0.02209472,0.00919186,0.00505267,35031.0,0.01102322,0.01820605,0.05447244,0.49899766
All Housing Types (Rent) 2 BR,All Values,,0.27577109,0.14873736,0.05850975,0.06852399,191028.0,0.00983219,0.25959713,0.29194505,0.05864994
All Housing Types (Rent) 2 BR,First Tercile,Below 92000,0.31585771,0.17547826,0.06618182,0.07419763,63250.0,0.01773581,0.2866823,0.34503311,0.09236882
All Housing Types (Rent) 2 BR,Second Tercile,92000 to 125000,0.30742668,0.17595396,0.06609902,0.0653737,63420.0,0.01918421,0.27586865,0.33898471,0.1026522
All Housing Types (Rent) 2 BR,Third Tercile ,Above 125000,0.2051804,0.09563691,0.0434911,0.06605239,64358.0,0.01491209,0.18065001,0.22971079,0.11955524
All Housing Types (Rent) 3 BR,All Values,,0.69155594,0.32115701,0.17749006,0.19290886,132306.0,0.02201974,0.65533347,0.72777841,0.05237822
All Housing Types (Rent) 3 BR,First Tercile,Below 108000,0.67641232,0.31878316,0.17387344,0.18375572,43917.0,0.03820885,0.61355877,0.73926587,0.09292195
All Housing Types (Rent) 3 BR,Second Tercile,108000 to 151000,0.74390909,0.33693182,0.19543182,0.21154545,44000.0,0.04546003,0.66912734,0.81869084,0.10052539
All Housing Types (Rent) 3 BR,Third Tercile ,Above 151000,0.65464417,0.30786907,0.1632837,0.18349141,44389.0,0.03566933,0.59596811,0.71332022,0.08963046
All Housing Types (Rent) 4-5 BR,All Values,,0.95660482,0.44461816,0.21437009,0.29761657,28782.0,0.06954423,0.84220457,1.0710051,0.11958987
All Housing Types (Rent) 4-5 BR,First Tercile,Below 120000,0.91795143,0.43357973,0.21055966,0.27381204,9470.0,0.11280662,0.73238454,1.1035183,0.20215328
All Housing Types (Rent) 4-5 BR,Second Tercile,120000 to 193000,1.1735434,0.49875596,0.2849886,0.38979888,9646.0,0.13865794,0.94545112,1.4016358,0.19436205
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 193000,0.77798469,0.40140699,0.14763087,0.22894682,9666.0,0.0979927,0.61678669,0.93918269,0.20719945
