Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13000598,0.07663735,0.02446418,0.02890445
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.16871921,0.09425287,0.04031199,0.03415435
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.08806262,0.05755204,0.00729408,0.02321651
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.32814279,0.15452431,0.08197417,0.09164431
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,215000,0.38262884,0.17828748,0.09980171,0.10453965
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,215000,0.27229377,0.1301667,0.06370068,0.07842639
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.68699965,0.28176315,0.17426185,0.23097465
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,0.7567416,0.32691893,0.18689865,0.24292402
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,0.61141441,0.23282403,0.16056628,0.21802411
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12166764,0.06153974,0.0304792,0.0296487
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,145000,0.15313299,0.08280051,0.04267903,0.02765345
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,145000,0.08764045,0.03854797,0.01728608,0.0318064
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.25081139,0.10603884,0.05778132,0.08699122
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,0.3392153,0.14520899,0.08665221,0.1073541
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,200000,0.14715062,0.06010866,0.02392787,0.06311409
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.15129836,0.11208267,0.01324854,0.02596714
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,83000,0.12278978,0.06925344,0.02455796,0.02897839
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,83000,0.18469505,0.16225547,0.0,0.02243959
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.16768218,0.10004874,0.02778455,0.03984889
"2-4 Units  (Own/Rent), 2 BR",    Below Median,102000,0.20298084,0.12562101,0.04187367,0.03548616
"2-4 Units  (Own/Rent), 2 BR",    Above Median,102000,0.13018346,0.07288263,0.01281729,0.04448354
"2-4 Units (Own/Rent), 3 BR",All Values,,0.53596652,0.24718807,0.11535443,0.17342401
"2-4 Units (Own/Rent), 3 BR",    Below Median,132000,0.62898551,0.32801932,0.14057971,0.16038647
"2-4 Units (Own/Rent), 3 BR",    Above Median,132000,0.42612664,0.15173987,0.0855676,0.18881917
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,150000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,150000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.01627219,0.01442308,0.0,0.00184911
"5-49 Units (Own), 2 BR",    Below Median,180000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",    Above Median,180000,0.03511572,0.0311253,0.0,0.00399042
"5-49 Units (Own), 3 BR",All Values,,0.08908686,0.03563474,0.0315516,0.02190052
"5-49 Units (Own), 3 BR",    Below Median,200000,0.12148962,0.05860806,0.02686203,0.03601954
"5-49 Units (Own), 3 BR",    Above Median,200000,0.03882576,0.0,0.03882576,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.02234715,0.00213715,0.01440253,0.00580747
"5-49 Units (Rent), 0-1 BR",    Below Median,119000,0.03247925,0.00297726,0.01822447,0.01127752
"5-49 Units (Rent), 0-1 BR",    Above Median,119000,0.01159004,0.00124521,0.01034483,0.0
"5-49 Units (Rent), 2 BR",All Values,,0.29319647,0.14728139,0.06162416,0.08429092
"5-49 Units (Rent), 2 BR",    Below Median,128000,0.36512637,0.19068935,0.0857379,0.08869913
"5-49 Units (Rent), 2 BR",    Above Median,128000,0.21871212,0.10233188,0.03665407,0.07972616
"5-49 Units (Rent), 3 BR",All Values,,0.8882903,0.45913804,0.20298841,0.22616385
"5-49 Units (Rent), 3 BR",    Below Median,139000,0.86045582,0.43522591,0.23990404,0.18532587
"5-49 Units (Rent), 3 BR",    Above Median,139000,0.91708023,0.48387097,0.16480562,0.26840364
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
