Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15885782,0.07653902,0.04134386,0.04097494,40659.0,0.01434346,0.13526283,0.1824528,0.14852895
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,0.20097598,0.09834835,0.05653153,0.0460961,13320.0,0.02837642,0.15429676,0.24765519,0.23226265
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 162000,0.15787456,0.07353167,0.04408833,0.04025456,13042.0,0.02316185,0.11977331,0.19597581,0.24133876
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 162000,0.12051479,0.05896342,0.02469049,0.03686088,14297.0,0.02469975,0.0798837,0.16114589,0.3371461
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36318623,0.15786598,0.09680944,0.10851081,87853.0,0.01606993,0.3367512,0.38962127,0.07278645
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 132000,0.45459655,0.18027892,0.13538483,0.1389328,28467.0,0.03398881,0.39868496,0.51050814,0.12299167
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,132000 to 216000,0.36559103,0.17259707,0.08234685,0.11064711,28975.0,0.03208082,0.31281808,0.41836397,0.14434967
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 216000,0.27532801,0.12285028,0.07447963,0.07799809,30411.0,0.02262724,0.23810619,0.31254982,0.13519079
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.69310928,0.29236816,0.16388211,0.23685902,93372.0,0.02158118,0.65760825,0.72861032,0.05121997
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 188000,0.69983153,0.29878109,0.1621577,0.23889274,30273.0,0.04679308,0.62285692,0.77680614,0.1099902
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,188000 to 307000,0.7069083,0.3149271,0.17049326,0.22148794,29356.0,0.05078349,0.62336946,0.79044714,0.11817493
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 307000,0.67507335,0.26698871,0.15967756,0.24840708,33743.0,0.03677823,0.61457316,0.73557354,0.08962017
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.05042392,0.02885617,0.00371858,0.01784917,6723.0,0.01793365,0.02092306,0.07992477,0.58505676
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 132000,0.0715281,0.0320483,0.0116117,0.02786809,2153.0,0.03144788,0.01979633,0.12325987,0.723237
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,132000 to 186000,0.06616674,0.03970004,0.0,0.0264667,2267.0,0.04197554,-0.00288301,0.1352165,1.043572
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 186000,0.01519757,0.01519757,0.0,0.0,2303.0,0.0153173,-0.00999939,0.04039453,1.6579602
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.24468297,0.09739614,0.08010336,0.06718346,5031.0,0.0710441,0.12781543,0.3615505,0.47762842
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 170000,0.43878955,0.17537827,0.14580468,0.1176066,1454.0,0.18189507,0.13957215,0.73800694,0.68191551
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,170000 to 262000,0.30692521,0.10858726,0.10581717,0.09252078,1805.0,0.11885304,0.11141196,0.50243846,0.63700617
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 262000,0.02200903,0.02200903,0.0,0.0,1772.0,0.01879606,-0.0089105,0.05292856,1.4048564
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.1045041,0.03616596,0.03416907,0.03416907,4507.0,0.05050748,0.02141929,0.18758891,0.79503872
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 54000,0.01994092,0.0,0.0,0.01994092,1354.0,0.01779663,-0.00933454,0.04921637,1.4681099
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,54000 to 71000,0.19329389,0.03616042,0.07363577,0.0834977,1521.0,0.14506992,-0.04534613,0.4319339,1.2345968
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 71000,0.09191176,0.06617647,0.02573529,0.0,1632.0,0.04634378,0.01567625,0.16814728,0.82944243
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.2406687,0.13615813,0.06813164,0.03637893,9511.0,0.04825513,0.16128901,0.32004839,0.32982971
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 76000,0.31351939,0.19173614,0.09858644,0.02319681,2759.0,0.10882793,0.13449745,0.49254133,0.57100755
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,76000 to 99000,0.26547619,0.10922619,0.0875,0.06875,3360.0,0.07300393,0.14538473,0.38556765,0.45236245
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 99000,0.15683962,0.11762972,0.02417453,0.01503538,3392.0,0.06551122,0.04907366,0.26460558,0.68710928
"2-4 Units (Own/Rent), 3 BR",All Values,,0.56572645,0.27514635,0.07663651,0.21394359,1879.0,0.16714511,0.29077275,0.84068015,0.48601882
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 111000,0.92249527,0.5463138,0.09451796,0.28166352,529.0,0.45252269,0.17809545,1.6668951,0.80694161
"2-4 Units (Own/Rent), 3 BR",Second Tercile,111000 to 157000,0.50724638,0.07407407,0.10305958,0.33011272,621.0,0.24461529,0.10485423,0.90963852,0.79328738
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 157000,0.35665295,0.24965706,0.04115226,0.06584362,729.0,0.19325991,0.03874039,0.67456551,0.8913779
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,249.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 173000,0.0,0.0,0.0,0.0,28.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,173000 to 663000,0.0,0.0,0.0,0.0,14.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 663000,0.0,0.0,0.0,0.0,207.0,.,.,.,.
