Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16038133,0.07517875,0.03466283,0.05053974,28532.0,0.01785709,0.13100642,0.18975624,0.18315668
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,162000,0.19189925,0.09115044,0.05466304,0.04608577,14690.0,0.03058372,0.14158903,0.24220947,0.26216997
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,162000,0.12693252,0.05822858,0.01343736,0.05526658,13842.0,0.02421664,0.08709615,0.1667689,0.31383898
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.39368047,0.17250927,0.1021314,0.11903981,243784.0,0.01149877,0.37476499,0.41259595,0.04804779
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,225000,0.43733448,0.19975881,0.11295356,0.12462212,122723.0,0.01739467,0.40872026,0.46594871,0.0654287
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,225000,0.34942715,0.14488564,0.09116065,0.11338086,121061.0,0.01420094,0.32606661,0.37278769,0.06685382
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.65261173,0.27576369,0.16234904,0.21449899,165446.0,0.01773578,0.62343637,0.68178709,0.04470554
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,355000,0.73610438,0.30511823,0.19040466,0.24058149,84541.0,0.02839812,0.68938947,0.78281928,0.06346234
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,355000,0.56536679,0.24508992,0.13303257,0.1872443,80905.0,0.02131254,0.53030766,0.60042592,0.0620113
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1038277,0.05934683,0.01890437,0.0255765,17086.0,0.02886973,0.05633699,0.1513184,0.45739921
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,175000,0.16340736,0.08960336,0.02850514,0.04529886,9051.0,0.0544702,0.07380389,0.25301083,0.54834417
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,175000,0.03671437,0.02526447,0.00808961,0.0033603,8035.0,0.01135897,0.01802887,0.05539988,0.50894238
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.18276746,0.07603326,0.05627462,0.05045958,15993.0,0.02833712,0.1361529,0.22938202,0.25504847
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,242000,0.25159485,0.11135982,0.07252378,0.06771125,8935.0,0.04650054,0.17510147,0.32808823,0.30403396
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,242000,0.09563616,0.03131199,0.03570417,0.02862001,7058.0,0.02827233,0.04912817,0.14214414,0.48630125
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.03930499,0.02361673,0.00455466,0.0111336,5928.0,0.02014598,0.00616486,0.07244513,0.84315331
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,78000,0.0,0.0,0.0,0.0,3045.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,78000,0.08081859,0.04856053,0.00936524,0.02289282,2883.0,0.0423778,0.01110712,0.15053007,0.8625673
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.21027789,0.10974099,0.03628533,0.06425158,16949.0,0.02927742,0.16211653,0.25843925,0.22903673
"2-4 Units  (Own/Rent), 2 BR",    Below Median,101000,0.24316845,0.11691456,0.04531304,0.08094085,8673.0,0.03880418,0.17933558,0.30700133,0.26250475
"2-4 Units  (Own/Rent), 2 BR",    Above Median,101000,0.17580957,0.1022233,0.02682455,0.04676172,8276.0,0.03942667,0.1109527,0.24066644,0.36890409
"2-4 Units (Own/Rent), 3 BR",All Values,,0.71828538,0.36319753,0.19019116,0.1648967,5179.0,0.14677813,0.47683537,0.9597354,0.33614775
"2-4 Units (Own/Rent), 3 BR",    Below Median,127000,0.93368237,0.44467714,0.27399651,0.21500873,2865.0,0.25130893,0.52027919,1.3470856,0.4427664
"2-4 Units (Own/Rent), 3 BR",    Above Median,127000,0.45159896,0.26231634,0.08643042,0.1028522,2314.0,0.14464973,0.21365015,0.68954777,0.52690291
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,587.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,251000,0.0,0.0,0.0,0.0,354.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,251000,0.0,0.0,0.0,0.0,233.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.07265569,0.07265569,0.0,0.0,2794.0,0.04631248,-0.00352834,0.14883972,1.0485624
"5-49 Units (Own), 2 BR",    Below Median,210000,0.11217336,0.11217336,0.0,0.0,1569.0,0.08109888,-0.0212343,0.24558101,1.1892989
"5-49 Units (Own), 2 BR",    Above Median,210000,0.02204082,0.02204082,0.0,0.0,1225.0,0.02388243,-0.01724579,0.06132742,1.7824477
"5-49 Units (Own), 3 BR",All Values,,0.46241135,0.33333333,0.12907801,0.0,705.0,0.3249697,-0.07216381,0.9969865,1.1560598
"5-49 Units (Own), 3 BR",    Below Median,270000,0.72283814,0.5210643,0.20177384,0.0,451.0,0.52741386,-0.14475766,1.5904339,1.2002629
"5-49 Units (Own), 3 BR",    Above Median,270000,0.0,0.0,0.0,0.0,254.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.03909095,0.01552756,0.01619721,0.00736617,23893.0,0.01923499,0.00744939,0.07073251,0.80943448
"5-49 Units (Rent), 0-1 BR",    Below Median,114000,0.02409836,0.01122951,0.01131148,0.00155738,12200.0,0.01208908,0.00421182,0.0439849,0.82522363
"5-49 Units (Rent), 0-1 BR",    Above Median,114000,0.0547336,0.02001197,0.02129479,0.01342684,11693.0,0.0342942,-0.00168036,0.11114756,1.0307006
"5-49 Units (Rent), 2 BR",All Values,,0.22376117,0.12837987,0.03368833,0.06169297,36244.0,0.02465918,0.18319682,0.26432552,0.18128413
"5-49 Units (Rent), 2 BR",    Below Median,130000,0.21933528,0.14593483,0.0282018,0.04519866,18474.0,0.03423819,0.16301346,0.2756571,0.25678414
"5-49 Units (Rent), 2 BR",    Above Median,130000,0.22836241,0.11012943,0.03939223,0.07884074,17770.0,0.03276904,0.17445735,0.28226747,0.23605051
"5-49 Units (Rent), 3 BR",All Values,,0.61817123,0.31916133,0.14001165,0.15899825,8585.0,0.09504395,0.46182394,0.77451852,0.25291907
