Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.2875447,0.13360232,0.07019139,0.083751
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,0.30208636,0.1407648,0.07215192,0.08916964
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 155000,0.36313234,0.1756426,0.08739512,0.10009462
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 155000,0.19801945,0.08471466,0.05113422,0.06217057
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.45408579,0.19740734,0.11140793,0.14527052
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 144000,0.5415814,0.23013294,0.13471662,0.17673184
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,144000 to 228000,0.50181138,0.22217919,0.12427424,0.15535795
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 228000,0.3256418,0.14273991,0.07704486,0.10585702
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.71936963,0.29309319,0.18189638,0.24438006
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 228000,0.81943432,0.32692056,0.20454916,0.2879646
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,228000 to 376000,0.68811314,0.28794992,0.17192908,0.22823414
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 376000,0.6560742,0.26661445,0.17027669,0.21918306
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.30116988,0.14840799,0.07451041,0.07825148
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 120000,0.40646812,0.20246934,0.10211062,0.10188816
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,120000 to 185000,0.3827228,0.18671405,0.09879716,0.09721159
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 185000,0.11713695,0.05746751,0.02337846,0.03629098
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.42347082,0.18950447,0.09872174,0.13524461
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 155000,0.54688107,0.23125922,0.1331469,0.18247495
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,155000 to 247000,0.53440921,0.25127204,0.13008172,0.15305546
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 247000,0.19488625,0.08843366,0.03455305,0.07189954
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.09634641,0.05433483,0.01914734,0.02286425
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 78000,0.08747996,0.04461264,0.01953695,0.02333037
