Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.20650324,0.10095285,0.04959026,0.05596013
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.25258667,0.14085333,0.05765333,0.05408
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,159000 to 282000,0.20502912,0.08817286,0.05578839,0.06106787
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 282000,0.1643677,0.07511075,0.03624648,0.05301047
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.46651597,0.2307715,0.10959705,0.12614742
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 228000,0.52595046,0.25210961,0.12138947,0.15245138
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,228000 to 356000,0.43422245,0.21800991,0.10838569,0.10782685
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 356000,0.44133435,0.22281708,0.09976674,0.11875053
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.86399504,0.37323817,0.20517202,0.28558485
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 297000,0.8506028,0.36851609,0.20671254,0.27537417
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,297000 to 442000,0.87398547,0.38077848,0.19934202,0.29386498
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 442000,0.86588112,0.37011594,0.20936739,0.28639779
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.15433606,0.09478824,0.02977391,0.02977391
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 138000,0.13036276,0.09110485,0.00861355,0.03064436
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,138000 to 238000,0.15478842,0.09035953,0.02608972,0.03833917
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 238000,0.17610063,0.1024697,0.05292223,0.0207087
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.39509739,0.18541997,0.08404478,0.12563264
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 189000,0.59538294,0.27296834,0.12852909,0.19388551
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,189000 to 286000,0.36489664,0.18094852,0.06890961,0.11503851
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 286000,0.23788042,0.10898675,0.05657,0.07232367
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05857312,0.03681514,0.01828932,0.00346866
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 80000,0.03807564,0.03807564,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,80000 to 107000,0.03339475,0.00437586,0.02901889,0.0
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 107000,0.10098743,0.06732496,0.02378815,0.00987433
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.2774318,0.15793633,0.05617551,0.06331995
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 98000,0.26773788,0.15158262,0.04704288,0.06911238
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,98000 to 123000,0.29506811,0.17519962,0.07195867,0.04790982
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 123000,0.26921272,0.14685183,0.04926339,0.07309749
"2-4 Units (Own/Rent), 3 BR",All Values,,0.59839431,0.29527487,0.14628915,0.1568303
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 124000,0.55299796,0.28754409,0.13718211,0.12827177
"2-4 Units (Own/Rent), 3 BR",Second Tercile,124000 to 176000,0.89212008,0.46791745,0.16097561,0.26322702
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 176000,0.3625,0.13839286,0.14107143,0.08303571
"5-49 Units (Own), 0-1 BR",All Values,,0.03167155,0.02228739,0.0,0.00938416
"5-49 Units (Own), 0-1 BR",First Tercile,Below 150000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,150000 to 225000,0.05046481,0.05046481,0.0,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 225000,0.02564103,0.0,0.0,0.02564103
"5-49 Units (Own), 2 BR",All Values,,0.04775023,0.03109012,0.00865801,0.0080021
"5-49 Units (Own), 2 BR",First Tercile,Below 173000,0.06110075,0.03824627,0.00746269,0.01539179
"5-49 Units (Own), 2 BR",Second Tercile,173000 to 250000,0.01466049,0.00733025,0.00733025,0.0
"5-49 Units (Own), 2 BR",Third Tercile ,Above 250000,0.06754416,0.04710772,0.01073779,0.00969865
"5-49 Units (Own), 3 BR",All Values,,0.18133276,0.10038445,0.03951303,0.04143528
"5-49 Units (Own), 3 BR",First Tercile,Below 209000,0.19230769,0.13197587,0.0188537,0.04147813
"5-49 Units (Own), 3 BR",Second Tercile,209000 to 276000,0.25290023,0.12470998,0.0638051,0.06438515
"5-49 Units (Own), 3 BR",Third Tercile ,Above 276000,0.09681373,0.04901961,0.03063725,0.01715686
"5-49 Units (Rent), 0-1 BR",All Values,,0.03138975,0.01477498,0.00857628,0.00803849
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 89000,0.02620163,0.01058476,0.01344786,0.00216901
"5-49 Units (Rent), 0-1 BR",Second Tercile,89000 to 117000,0.03180629,0.016789,0.00185607,0.01316123
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 117000,0.03598025,0.01681868,0.01054305,0.00861853
"5-49 Units (Rent), 2 BR",All Values,,0.28085876,0.15545984,0.07665871,0.04874021
"5-49 Units (Rent), 2 BR",First Tercile,Below 115000,0.29455293,0.14614594,0.10092497,0.04748201
"5-49 Units (Rent), 2 BR",Second Tercile,115000 to 149000,0.31912641,0.18491066,0.07723362,0.05698213
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 149000,0.22934322,0.13499735,0.05263506,0.04171081
"5-49 Units (Rent), 3 BR",All Values,,0.73534921,0.38526893,0.16082419,0.18925609
"5-49 Units (Rent), 3 BR",First Tercile,Below 135000,0.5674984,0.32245681,0.12603967,0.11900192
"5-49 Units (Rent), 3 BR",Second Tercile,135000 to 165000,0.92597656,0.50761719,0.22363281,0.19472656
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 165000,0.69857949,0.32068496,0.12998638,0.24790815
"50+ Units (Own), 0-1 BR",All Values,,0.0255814,0.0,0.0,0.0255814
"50+ Units (Own), 0-1 BR",First Tercile,Below 240000,0.08301887,0.0,0.0,0.08301887
"50+ Units (Own), 0-1 BR",Second Tercile,240000 to 332000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 332000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.02250563,0.01125281,0.01125281,0.0
"50+ Units (Own), 2 BR",First Tercile,Below 276000,0.08547009,0.04273504,0.04273504,0.0
"50+ Units (Own), 2 BR",Second Tercile,276000 to 481000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 481000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 262000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,262000 to 366000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 366000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.01234947,0.0097361,0.00076864,0.00184473
"50+ Units (Rent), 0-1 BR",First Tercile,Below 99000,0.01697846,0.00911806,0.00220091,0.00565949
"50+ Units (Rent), 0-1 BR",Second Tercile,99000 to 149000,0.00462749,0.00447324,0.00015425,0.0
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 149000,0.01543996,0.01543996,0.0,0.0
"50+ Units (Rent), 2 BR",All Values,,0.15136719,0.07527669,0.03401693,0.04207357
"50+ Units (Rent), 2 BR",First Tercile,Below 131000,0.13764976,0.11929646,0.0,0.0183533
"50+ Units (Rent), 2 BR",Second Tercile,131000 to 174000,0.20560059,0.06976173,0.08278064,0.05305822
"50+ Units (Rent), 2 BR",Third Tercile ,Above 174000,0.11248253,0.04028878,0.01886353,0.05333023
"50+ Units (Rent), 3 BR",All Values,,0.51831375,0.16378715,0.10089841,0.2536282
"50+ Units (Rent), 3 BR",First Tercile,Below 141000,0.40490798,0.11349693,0.21779141,0.07361963
"50+ Units (Rent), 3 BR",Second Tercile,141000 to 183000,0.28148148,0.15,0.0462963,0.08518519
"50+ Units (Rent), 3 BR",Third Tercile ,Above 183000,0.8020654,0.20481928,0.08605852,0.51118761
All Housing Types (Own) 0-1 BR,All Values,,0.1317312,0.03716066,0.03337784,0.0611927
All Housing Types (Own) 0-1 BR,First Tercile,Below 175000,0.08135126,0.00930714,0.02102723,0.05101689
All Housing Types (Own) 0-1 BR,Second Tercile,175000 to 298000,0.21391841,0.06067878,0.07781968,0.07541995
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 298000,0.1022082,0.04100946,0.00378549,0.05741325
All Housing Types (Own) 2 BR,All Values,,0.14020177,0.06952142,0.0297015,0.04097886
All Housing Types (Own) 2 BR,First Tercile,Below 200000,0.10249665,0.05146355,0.01750526,0.03352784
All Housing Types (Own) 2 BR,Second Tercile,200000 to 314000,0.16888742,0.08644475,0.03338199,0.04906069
All Housing Types (Own) 2 BR,Third Tercile ,Above 314000,0.14732072,0.07024169,0.0367308,0.04034823
All Housing Types (Own) 3 BR,All Values,,0.40060671,0.1991059,0.09382396,0.10767685
All Housing Types (Own) 3 BR,First Tercile,Below 251000,0.37705953,0.17611099,0.08499892,0.11594962
All Housing Types (Own) 3 BR,Second Tercile,251000 to 366000,0.41191409,0.21299545,0.10384894,0.0950697
All Housing Types (Own) 3 BR,Third Tercile ,Above 366000,0.40998275,0.20547286,0.09166901,0.11284088
All Housing Types (Own) 4-5 BR,All Values,,0.82920392,0.35917011,0.19609411,0.27393971
All Housing Types (Own) 4-5 BR,First Tercile,Below 314000,0.76205209,0.32769809,0.18561728,0.24873672
All Housing Types (Own) 4-5 BR,Second Tercile,314000 to 450000,0.8700531,0.38688053,0.19474274,0.28842983
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 450000,0.85365641,0.36318817,0.2066204,0.28384784
All Housing Types (Rent) 0-1 BR,All Values,,0.03821683,0.01998818,0.00967034,0.00855832
All Housing Types (Rent) 0-1 BR,First Tercile,Below 87000,0.03608605,0.01431298,0.01188411,0.00988897
All Housing Types (Rent) 0-1 BR,Second Tercile,87000 to 121000,0.04118479,0.0262085,0.00578251,0.00919378
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 121000,0.03728913,0.01920828,0.01144146,0.00663939
All Housing Types (Rent) 2 BR,All Values,,0.27167363,0.1506327,0.06683802,0.05420291
All Housing Types (Rent) 2 BR,First Tercile,Below 105000,0.26005776,0.14634146,0.06061819,0.0530981
All Housing Types (Rent) 2 BR,Second Tercile,105000 to 141000,0.30410495,0.16986881,0.07597687,0.05825927
All Housing Types (Rent) 2 BR,Third Tercile ,Above 141000,0.25090797,0.13577695,0.06386545,0.05126558
All Housing Types (Rent) 3 BR,All Values,,0.70317063,0.34240991,0.15909461,0.2016661
