Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.26395824,0.14911484,0.05129369,0.0635497,8812.0,0.04444259,0.19085017,0.33706631,0.27696831
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,0.30815841,0.19476304,0.06340619,0.04998918,4621.0,0.06331213,0.20400995,0.41230686,0.33797052
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,0.2152231,0.09878311,0.03793844,0.07850155,4191.0,0.05888097,0.1183639,0.3120823,0.45004093
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.59952027,0.31897357,0.13921891,0.1413278,62118.0,0.0265891,0.55578119,0.64325934,0.07295679
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,340000,0.62463673,0.32361489,0.15468267,0.14633918,32001.0,0.0382096,0.56178193,0.68749153,0.10062616
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,340000,0.57283262,0.3140419,0.12278779,0.13600292,30117.0,0.0506066,0.48958476,0.65608047,0.14532667
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,1.1297929,0.5016799,0.26904104,0.35907191,116971.0,0.03114047,1.0785668,1.1810189,0.04534113
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,400000,1.1372174,0.5015818,0.26477738,0.37085817,60058.0,0.04742038,1.0592108,1.2152239,0.06859421
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,400000,1.1219581,0.50178342,0.27354032,0.34663434,56913.0,0.04068878,1.055025,1.1888911,0.05965734
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11866572,0.07480483,0.02157559,0.02228531,7045.0,0.0308568,0.06790628,0.16942516,0.42775153
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,235000,0.15429043,0.1069857,0.02145215,0.02585259,3636.0,0.05044855,0.07130257,0.23727829,0.53786786
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,235000,0.08066882,0.04048108,0.02170725,0.01848049,3409.0,0.03828275,0.0176937,0.14364394,0.78066252
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.37649452,0.19075888,0.07140485,0.11433079,24088.0,0.03532581,0.31838356,0.43460548,0.15434742
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,230000,0.47509789,0.23469068,0.08277212,0.15763508,12770.0,0.05335087,0.3873357,0.56286007,0.18472442
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,230000,0.26524121,0.14119102,0.05857925,0.06547093,11318.0,0.03830536,0.2022289,0.32825352,0.23756607
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1084.0,.,.,.,.
