Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.11821904,0.06230809,0.01999104,0.03591991,31264.0,0.01326784,0.09639344,0.14004464,0.18462002
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.16705548,0.10771884,0.02008317,0.03925347,9859.0,0.03245851,0.11366124,0.22044973,0.31961983
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,159000 to 250000,0.12724665,0.06003824,0.02456979,0.04263862,10460.0,0.02044873,0.09360849,0.16088481,0.26435399
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 250000,0.06560073,0.02357241,0.01553221,0.02649612,10945.0,0.01261495,0.04484914,0.08635232,0.31633166
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.33439602,0.13273075,0.10002102,0.10164425,85632.0,0.01469939,0.31021552,0.35857652,0.07231096
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 194000,0.31416377,0.11668113,0.10630064,0.091182,27648.0,0.02962028,0.26543841,0.36288914,0.15509543
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,194000 to 309000,0.32644287,0.12633281,0.09603082,0.10407925,29074.0,0.027158,0.28176795,0.37111779,0.1368537
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 309000,0.36174334,0.15451401,0.09802836,0.10920097,28910.0,0.02631627,0.31845307,0.40503361,0.11967123
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.47005907,0.18129143,0.11270686,0.17606078,44354.0,0.02710986,0.42546334,0.5146548,0.0948726
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 225000,0.55799007,0.21764534,0.13774467,0.20260006,13692.0,0.05612425,0.46566568,0.65031445,0.16545883
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,225000 to 387000,0.43257147,0.16409455,0.09669857,0.17177834,15357.0,0.04468428,0.35906582,0.50607711,0.16992718
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 387000,0.42901013,0.16602418,0.10637047,0.15661549,15305.0,0.04291209,0.35841974,0.49960052,0.16454248
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.13895971,0.07853136,0.02396736,0.03646099,3922.0,0.0422447,0.06946718,0.20845225,0.50009123
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 178000,0.25198238,0.18325991,0.04052863,0.02819383,1135.0,0.10981867,0.07133066,0.4326341,0.71692203
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,178000 to 249000,0.10716981,0.03169811,0.02792453,0.04754717,1325.0,0.05645166,0.01430683,0.20003279,0.86650319
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 249000,0.08002736,0.03967168,0.00752394,0.03283174,1462.0,0.05478913,-0.01010075,0.17015547,1.1262163
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.51621541,0.26837251,0.07854805,0.16929485,3361.0,0.13227366,0.29862525,0.73380558,0.4215104
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 241000,0.48313492,0.12797619,0.05753968,0.29761905,1008.0,0.17849857,0.18950478,0.77676506,0.60776013
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,241000 to 366000,0.6259542,0.38167939,0.18102508,0.06324973,917.0,0.25796788,0.20159704,1.0503114,0.67793643
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 366000,0.46935933,0.29456825,0.02785515,0.14693593,1436.0,0.2202316,0.10707835,0.83164032,0.77186275
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0607537,0.04494382,0.00755693,0.00825296,10057.0,0.01771539,0.03161189,0.08989552,0.47967145
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 87000,0.00994513,0.00994513,0.0,0.0,2916.0,0.00992013,-0.00637348,0.02626374,1.6408645
