Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13917929,0.0658603,0.03223234,0.04108665,195611.0,0.00599272,0.12932126,0.14903732,0.07082972
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 106000,0.14240338,0.06632765,0.02600532,0.05007041,63910.0,0.0114504,0.12356748,0.16123928,0.13227147
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,106000 to 191000,0.16515318,0.07532257,0.04502232,0.04480829,65412.0,0.01187684,0.14561579,0.18469058,0.11829862
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 191000,0.11044065,0.05607265,0.02561511,0.02875289,66289.0,0.00726909,0.098483,0.12239829,0.10827216
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.30366632,0.13280238,0.07336766,0.09749628,873900.0,0.00429086,0.29660785,0.3107248,0.02324417
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 170000,0.34415081,0.1542326,0.08749085,0.10242736,281458.0,0.00845123,0.33024855,0.35805308,0.04039585
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,170000 to 288000,0.29855516,0.13072152,0.06950808,0.09832556,290067.0,0.00825396,0.2849774,0.31213292,0.04547824
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 288000,0.27088549,0.11485076,0.06392394,0.09211079,302375.0,0.00803192,0.25767298,0.284098,0.04877527
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.56146421,0.2207658,0.14116314,0.19953527,846517.0,0.00572553,0.55204571,0.57088271,0.01677489
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 311000,0.57698244,0.22734419,0.14607506,0.20356319,277953.0,0.01321009,0.55525185,0.59871303,0.03766248
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,311000 to 531000,0.5490614,0.22031955,0.13423014,0.19451171,279140.0,0.01165699,0.52988565,0.56823716,0.03492461
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 531000,0.55852314,0.21487852,0.14313257,0.20051205,289424.0,0.01035098,0.54149578,0.57555049,0.03048639
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.20971427,0.10873066,0.04920245,0.05178117,91906.0,0.01174437,0.19039479,0.22903376,0.09212288
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.28029058,0.15271843,0.05735981,0.07021235,30422.0,0.0255982,0.23818154,0.32239961,0.1502335
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,159000 to 275000,0.22216424,0.106027,0.06333573,0.05280151,30662.0,0.02179883,0.18630516,0.25802332,0.16140796
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 275000,0.12766855,0.06800337,0.02709104,0.03257414,30822.0,0.01329676,0.10579538,0.14954172,0.17132781
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.43937511,0.20311732,0.10795246,0.12830533,223654.0,0.01367233,0.41688413,0.46186608,0.05118856
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 243000,0.54031802,0.25242823,0.12611995,0.16176985,74334.0,0.02604115,0.49748033,0.58315572,0.07928237
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,243000 to 410000,0.44964529,0.2043916,0.11042497,0.13482873,74005.0,0.02686585,0.40545098,0.49383961,0.09828707
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 410000,0.32965545,0.15319657,0.08759211,0.08886676,75315.0,0.01742074,0.30099833,0.35831256,0.0869305
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04469789,0.02842578,0.01077127,0.00550084,34722.0,0.00940815,0.02922147,0.0601743,0.34624485
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 81000,0.01935484,0.01290323,0.00209241,0.0043592,11470.0,0.00946299,0.00378822,0.03492146,0.80427528
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,81000 to 119000,0.04926151,0.03023458,0.01607298,0.00295395,11510.0,0.02163536,0.01367135,0.08485168,0.72247405
