Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17180496,0.08252731,0.04120157,0.04807609
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 190000,0.25157453,0.12123863,0.06048186,0.06985404
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,190000 to 375000,0.13516455,0.06497631,0.03160456,0.03858369
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 375000,0.12962409,0.06184209,0.03169946,0.03608254
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.3477408,0.15364942,0.08095329,0.11313809
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 288000,0.45352082,0.19832573,0.10817191,0.14702318
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,288000 to 471000,0.30686607,0.13671155,0.07221708,0.09793744
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 471000,0.28815825,0.12817169,0.06390966,0.0960769
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.6113811,0.25081796,0.15134115,0.20922198
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 378000,0.70140812,0.2792362,0.18133342,0.2408385
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,378000 to 636000,0.58677364,0.24220186,0.13942867,0.20514311
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 636000,0.55163271,0.23276385,0.13496604,0.18390282
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.19327032,0.10423479,0.04837207,0.04066346
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 169000,0.29786595,0.15954313,0.08674482,0.051578
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,169000 to 320000,0.20010853,0.11425298,0.03629567,0.04955987
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 320000,0.08577891,0.04123652,0.02296717,0.02157522
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.41637105,0.19465048,0.09636726,0.12535331
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 222000,0.66123199,0.29909869,0.15666801,0.2054653
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,222000 to 414000,0.41037547,0.20917168,0.09670393,0.10449986
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 414000,0.18329505,0.07853902,0.0371968,0.06755924
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07039112,0.03802515,0.01159711,0.02076887
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 90000,0.06672319,0.03281051,0.01721068,0.01670199
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,90000 to 140000,0.08506569,0.05488109,0.00282721,0.02735739
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 140000,0.0593361,0.02630705,0.01485477,0.01817427
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30663697,0.16046179,0.07305082,0.07312436
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 124000,0.35474055,0.18648302,0.08981422,0.07844331
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,124000 to 183000,0.35519143,0.17955386,0.09179773,0.08383984
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 183000,0.21144248,0.11610931,0.0380584,0.05727477
"2-4 Units (Own/Rent), 3 BR",All Values,,0.65271542,0.30155606,0.17531829,0.17584107
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 153000,0.80548278,0.39455464,0.21135853,0.19956961
"2-4 Units (Own/Rent), 3 BR",Second Tercile,153000 to 221000,0.71306662,0.33483208,0.17039824,0.2078363
