Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15388733,0.07369865,0.05091663,0.02927205,29892.0,0.02079283,0.11968312,0.18809153,0.22226786
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,350000,0.18523934,0.08753417,0.06655648,0.03114869,15731.0,0.03054334,0.13499555,0.23548312,0.27123714
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,350000,0.11905939,0.05832921,0.03354283,0.02718735,14161.0,0.02803748,0.07293773,0.16518105,0.38738362
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.40281605,0.18090463,0.10028704,0.12162438,191261.0,0.01247002,0.38230287,0.42332922,0.05092442
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,380000,0.4549334,0.20549476,0.1229514,0.12648723,98421.0,0.01975053,0.42244378,0.48742302,0.07141621
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,380000,0.3475657,0.15483628,0.07626023,0.11646919,92840.0,0.01590538,0.32140135,0.37373006,0.07527887
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.78487882,0.33026081,0.19625711,0.25836089,200487.0,0.01946512,0.7528587,0.81689894,0.04079626
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,500000,0.843187,0.34599575,0.2108802,0.28631105,104851.0,0.02849709,0.79630929,0.89006471,0.05559587
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,500000,0.72095236,0.31300975,0.18022502,0.2277176,95636.0,0.02486605,0.68004771,0.76185701,0.05673697
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.15843777,0.0886622,0.03491693,0.03485864,17155.0,0.02206423,0.12214212,0.19473343,0.22908459
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,308000,0.2297515,0.12494248,0.05602853,0.04878049,8692.0,0.04044742,0.16321549,0.2962875,0.28959988
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,308000,0.08519438,0.05140021,0.01323408,0.02056009,8463.0,0.02003733,0.05223297,0.11815578,0.38689652
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.37145317,0.18265954,0.09559852,0.09319511,27877.0,0.03179338,0.31915306,0.42375328,0.14079867
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,340000,0.56452303,0.27762726,0.15350064,0.13339512,14026.0,0.05818329,0.46881151,0.66023455,0.16954405
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,340000,0.17594398,0.08649195,0.03696484,0.05248719,13851.0,0.02739368,0.13088137,0.22100658,0.25611907
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05804805,0.03083138,0.00085052,0.02636615,4703.0,0.02085261,0.02374551,0.0923506,0.59093365
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,128000,0.08521601,0.03606817,0.0,0.04914784,2523.0,0.03645673,0.0252447,0.14518733,0.70375642
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,128000,0.0266055,0.02477064,0.00183486,0.0,2180.0,0.01874692,-0.00423318,0.05744419,1.1591091
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.32625276,0.17314135,0.08382636,0.06928505,14029.0,0.04894027,0.24574602,0.40675951,0.24676188
"2-4 Units  (Own/Rent), 2 BR",    Below Median,151000,0.41629712,0.22131375,0.10532151,0.08966186,7216.0,0.08571294,0.27529932,0.55729491,0.3386951
"2-4 Units  (Own/Rent), 2 BR",    Above Median,151000,0.23088214,0.12211948,0.06105974,0.04770292,6813.0,0.052545,0.14444562,0.31731866,0.37437509
