Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13403728,0.06444709,0.02890401,0.04068618,91579.0,0.00804559,0.12080229,0.14727227,0.09874111
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 73000,0.10388522,0.05088666,0.0207167,0.03228185,29831.0,0.01086056,0.0860196,0.12175084,0.17197462
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,73000 to 111000,0.17427495,0.08703916,0.03637555,0.05086023,30515.0,0.01729828,0.14581927,0.20273063,0.16328038
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 111000,0.1235232,0.0553261,0.02942401,0.03877309,31233.0,0.01325777,0.10171417,0.14533222,0.17655813
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.30433906,0.12921573,0.07395706,0.10116627,267777.0,0.00742481,0.29212524,0.31655287,0.04013227
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 104000,0.32458885,0.1313672,0.08398231,0.10923935,85006.0,0.01686768,0.29684153,0.35233618,0.08548453
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,104000 to 178000,0.31190263,0.13886595,0.07474352,0.09829316,88409.0,0.01694265,0.28403198,0.33977329,0.0893569
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 178000,0.27901062,0.11823615,0.06418897,0.09658549,94362.0,0.01276992,0.2580041,0.30001714,0.07528932
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.6020953,0.23709627,0.15864059,0.20635844,118551.0,0.02078997,0.5678958,0.6362948,0.05680081
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 140000,0.62197672,0.2722955,0.15732686,0.19235435,38741.0,0.03781503,0.559771,0.68418243,0.10001293
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,140000 to 265000,0.58750695,0.2382625,0.16634659,0.18289786,39574.0,0.03899233,0.52336457,0.65164932,0.10917722
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 265000,0.59730092,0.20205786,0.15232627,0.24291679,40236.0,0.03480217,0.54005136,0.65455049,0.09584711
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1140466,0.03708566,0.02986544,0.0470955,6094.0,0.02998237,0.0647256,0.16336761,0.4324636
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 100000,0.1571355,0.0618238,0.04430706,0.05100464,1941.0,0.06347671,0.05271631,0.26155468,0.66451684
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,100000 to 133000,0.10843373,0.0173494,0.03614458,0.05493976,2075.0,0.05085383,0.02477919,0.19208828,0.77148081
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 133000,0.07940327,0.03368624,0.01010587,0.03561116,2078.0,0.03343711,0.02439923,0.13440732,0.69271759
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.42771816,0.23223325,0.07329419,0.12219073,9878.0,0.05521452,0.33689028,0.51854604,0.21235451
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 140000,0.534378,0.26606972,0.0892229,0.17908539,3127.0,0.12775759,0.32421677,0.74453923,0.39328197
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,140000 to 202000,0.41607944,0.28795644,0.07783472,0.05028828,3122.0,0.094901,0.25996728,0.57219159,0.37519795
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 202000,0.3458253,0.15513916,0.05566272,0.13502342,3629.0,0.07466268,0.22300519,0.4686454,0.35515073
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04491703,0.0181194,0.01258821,0.01420942,10486.0,0.01682588,0.01723846,0.07259561,0.61621561
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 57000,0.01288498,0.01037084,0.0,0.00251414,3182.0,0.00929594,-0.00240684,0.0281768,1.1867945
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,57000 to 77000,0.04122056,0.0,0.01284797,0.02837259,3736.0,0.02049364,0.00750853,0.07493259,0.81784509
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 77000,0.07735426,0.04400224,0.0235426,0.00980942,3568.0,0.03914016,0.01296869,0.14173983,0.83234675
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.20965937,0.1135629,0.04537544,0.05072103,16088.0,0.02599463,0.16689821,0.25242054,0.20395541
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 77000,0.17681385,0.1192375,0.01906244,0.03851391,5141.0,0.03932129,0.11213032,0.24149738,0.36582841
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,77000 to 98000,0.22338665,0.11013054,0.05920206,0.05405405,5439.0,0.05134475,0.13892454,0.30784876,0.37809829
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 98000,0.22676107,0.11165577,0.05628177,0.05882353,5508.0,0.04703286,0.14939202,0.30413013,0.34119197
"2-4 Units (Own/Rent), 3 BR",All Values,,0.45364491,0.2476505,0.11176022,0.09423419,3937.0,0.08258687,0.31778951,0.5895003,0.29947519
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 84000,0.56089744,0.31730769,0.18589744,0.05769231,1248.0,0.15321537,0.30885815,0.81293672,0.44935003
"2-4 Units (Own/Rent), 3 BR",Second Tercile,84000 to 111000,0.3898051,0.21589205,0.09295352,0.08095952,1334.0,0.13632956,0.16554298,0.61406722,0.5753186
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 111000,0.41771218,0.21476015,0.06199262,0.14095941,1355.0,0.1360233,0.19395385,0.6414705,0.53567585
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,270.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 55000,0.0,0.0,0.0,0.0,63.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,55000 to 155000,0.0,0.0,0.0,0.0,49.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 155000,0.0,0.0,0.0,0.0,158.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.01694915,0.01694915,0.0,0.0,944.0,0.01903175,-0.01435807,0.04825638,1.8471264
"5-49 Units (Own), 2 BR",First Tercile,Below 81000,0.0,0.0,0.0,0.0,235.0,.,.,.,.
"5-49 Units (Own), 2 BR",Second Tercile,81000 to 159000,0.0,0.0,0.0,0.0,324.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 159000,0.04155844,0.04155844,0.0,0.0,385.0,0.04780492,-0.03708065,0.12019753,1.892253
"5-49 Units (Own), 3 BR",All Values,,0.40583554,0.15649867,0.15649867,0.0928382,377.0,0.30213953,-0.09118398,0.90285506,1.2246821
"5-49 Units (Own), 3 BR",First Tercile,Below 147000,0.0,0.0,0.0,0.0,24.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,147000 to 167000,0.0,0.0,0.0,0.0,72.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 167000,0.54448399,0.20996441,0.20996441,0.12455516,281.0,0.43159848,-0.16549551,1.2544635,1.3039493
"5-49 Units (Rent), 0-1 BR",All Values,,0.01840078,0.00886416,0.00623548,0.00330114,16358.0,0.0072315,0.00650496,0.0302966,0.64648452
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 56000,0.0046503,0.0,0.0,0.0046503,5376.0,0.00516024,-0.00383829,0.01313889,1.8253867
"5-49 Units (Rent), 0-1 BR",Second Tercile,56000 to 79000,0.0,0.0,0.0,0.0,5454.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 79000,0.04992764,0.0262301,0.01845152,0.00524602,5528.0,0.02105925,0.01528518,0.08457011,0.69385343
"5-49 Units (Rent), 2 BR",All Values,,0.14467207,0.08310836,0.03319041,0.0283733,18891.0,0.02033898,0.11121444,0.17812969,0.23126528
"5-49 Units (Rent), 2 BR",First Tercile,Below 74000,0.22243902,0.12731707,0.04552846,0.0495935,6150.0,0.0446981,0.14891065,0.2959674,0.33055518
"5-49 Units (Rent), 2 BR",Second Tercile,74000 to 101000,0.14563716,0.0737602,0.04205901,0.02981795,6372.0,0.0360771,0.08629034,0.20498399,0.40749781
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 101000,0.0686136,0.04977233,0.01240383,0.00643743,6369.0,0.02470912,0.02796709,0.1092601,0.59239723
"5-49 Units (Rent), 3 BR",All Values,,0.62465478,0.34521717,0.1805172,0.09892041,3983.0,0.13869456,0.39650223,0.85280734,0.36524583
"5-49 Units (Rent), 3 BR",First Tercile,Below 78000,0.68656716,0.58374793,0.04560531,0.05721393,1206.0,0.26978839,0.24276526,1.1303691,0.64640712
"5-49 Units (Rent), 3 BR",Second Tercile,78000 to 115000,0.45575568,0.11354738,0.13625685,0.20595145,1277.0,0.18974768,0.14362075,0.7678906,0.68487337
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 115000,0.71866667,0.35066667,0.32666667,0.04133333,1500.0,0.24242478,0.31987791,1.1174554,0.55490087
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,108.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 85000,0.0,0.0,0.0,0.0,17.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,85000 to 112000,0.0,0.0,0.0,0.0,6.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 112000,0.0,0.0,0.0,0.0,85.0,.,.,.,.
