Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17995979,0.09098525,0.02630697,0.06266756,5968.0,0.03661349,0.11973059,0.24018898,0.33468143
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,130000,0.23598435,0.12092568,0.01890482,0.09615385,3068.0,0.05548635,0.14470931,0.3272594,0.38678431
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,130000,0.12068966,0.05931034,0.03413793,0.02724138,2900.0,0.04337287,0.04934129,0.19203802,0.5911722
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.3678484,0.16122651,0.09144151,0.11518038,38418.0,0.02287432,0.33022015,0.40547666,0.10229284
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,200000,0.3609479,0.16583431,0.08049354,0.11462005,20424.0,0.03471805,0.30383672,0.41805909,0.15822557
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,200000,0.37568078,0.15599644,0.10386796,0.11581638,17994.0,0.03634194,0.31589829,0.43546327,0.15913108
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.8071621,0.31663217,0.21486312,0.27566681,25607.0,0.05477946,0.71704989,0.89727432,0.11164079
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,280000,0.86774699,0.37219028,0.21828093,0.27727578,13391.0,0.08315938,0.73094981,1.0045442,0.15764639
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,280000,0.74074984,0.25573019,0.21111657,0.27390308,12216.0,0.06565582,0.63274602,0.84875365,0.14580336
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.09054527,0.05502751,0.0,0.03551776,1999.0,0.03623785,0.03093401,0.15015654,0.65835866
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,150000,0.0696143,0.03762935,0.0,0.03198495,1063.0,0.04442847,-0.00347054,0.14269914,1.0498538
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,150000,0.11431624,0.07478632,0.0,0.03952991,936.0,0.06322138,0.01031706,0.21831542,0.90974981
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.37223632,0.21094599,0.06669083,0.09459949,5518.0,0.05867072,0.27572298,0.46874965,0.25927974
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,175000,0.36013767,0.22309136,0.06758448,0.06946183,3196.0,0.07452241,0.23754831,0.48272704,0.34039584
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,175000,0.38888889,0.19422911,0.06546081,0.12919897,2322.0,0.10307171,0.21933593,0.55844185,0.43599332
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05458515,0.05458515,0.0,0.0,916.0,0.03984186,-0.01095471,0.12012502,1.2006904
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,78000,0.0,0.0,0.0,0.0,615.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,78000,0.16611296,0.16611296,0.0,0.0,301.0,0.12506872,-0.03962509,0.37185101,1.2385431
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.25510204,0.14091351,0.04033042,0.07385811,2058.0,0.08059933,0.12251614,0.38768794,0.51973671
"2-4 Units  (Own/Rent), 2 BR",    Below Median,88000,0.25631769,0.13898917,0.03610108,0.08122744,1108.0,0.11050702,0.07453364,0.43810174,0.70921383
"2-4 Units  (Own/Rent), 2 BR",    Above Median,88000,0.25368421,0.14315789,0.04526316,0.06526316,950.0,0.11298554,0.06782299,0.43954543,0.73264796
"2-4 Units (Own/Rent), 3 BR",All Values,,0.49306931,0.23366337,0.22178218,0.03762376,505.0,0.18364619,0.19097133,0.79516728,0.61268866
"2-4 Units (Own/Rent), 3 BR",    Below Median,89000,0.56901408,0.27042254,0.29859155,0.0,355.0,0.23109026,0.18887061,0.94915756,0.66807392
"2-4 Units (Own/Rent), 3 BR",    Above Median,89000,0.31333333,0.14666667,0.04,0.12666667,150.0,0.28675492,-0.15837851,0.78504518,1.5054633
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,68.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,140000,0.0,0.0,0.0,0.0,58.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,140000,0.0,0.0,0.0,0.0,10.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,201.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Below Median,200000,0.0,0.0,0.0,0.0,138.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Above Median,200000,0.0,0.0,0.0,0.0,63.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.45808383,0.17664671,0.17664671,0.10479042,334.0,0.35025642,-0.11808798,1.0342556,1.2577868
"5-49 Units (Own), 3 BR",    Below Median,155000,0.51342282,0.19798658,0.19798658,0.11744966,298.0,0.4031502,-0.14975926,1.1766049,1.291688
"5-49 Units (Own), 3 BR",    Above Median,155000,0.0,0.0,0.0,0.0,36.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.01122875,0.01122875,0.0,0.0,3117.0,0.00869337,-0.00307185,0.02552934,1.2735697
"5-49 Units (Rent), 0-1 BR",    Below Median,84000,0.0,0.0,0.0,0.0,1648.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",    Above Median,84000,0.02382573,0.02382573,0.0,0.0,1469.0,0.01869088,-0.00692076,0.05457223,1.2904743
"5-49 Units (Rent), 2 BR",All Values,,0.09751222,0.09040426,0.00710795,0.0,4502.0,0.03385153,0.04182645,0.15319798,0.57106447
"5-49 Units (Rent), 2 BR",    Below Median,99000,0.11017662,0.09671993,0.01345669,0.0,2378.0,0.04516533,0.03587965,0.18447359,0.67434427
"5-49 Units (Rent), 2 BR",    Above Median,99000,0.08333333,0.08333333,0.0,0.0,2124.0,0.05433685,-0.00605078,0.17271745,1.0726094
